type,group
camera_surveillance,services
public_building,services
university,education
college,education
school,education
kindergarten,education
picnic_site,entertainment
dog_park,entertainment
monument,landmark
camp_site,entertainment
pitch,entertainment
arts_centre,entertainment
theme_park,entertainment
golf_course,entertainment
park,entertainment
observation_tower,landmark
battlefield,landmark
hunting_stand,entertainment
track,entertainment
sports_centre,entertainment
ice_rink,entertainment
swimming_pool,entertainment
nightclub,entertainment
artwork,entertainment
theatre,entertainment
stadium,entertainment
playground,entertainment
cinema,entertainment
viewpoint,landmark
attraction,entertainment
caravan_site,entertainment
tourist_info,entertainment
museum,entertainment
zoo,entertainment
food_court,food
cafe,food
biergarten,food
supermarket,food
fast_food,food
beverages,food
bar,food
restaurant,food
pub,food
greengrocer,food
dentist,health
pharmacy,health
hospital,health
chemist,health
veterinary,health
doctors,health
nursing_home,health
wayside_shrine,landmark
graveyard,landmark
tower,landmark
castle,landmark
ruins,landmark
memorial,landmark
archaeological,landmark
wayside_cross,landmark
fort,landmark
chalet,lodging
shelter,lodging
hostel,lodging
hotel,lodging
alpine_hut,lodging
motel,lodging
guesthouse,lodging
clothes,retail
car_sharing,retail
department_store,retail
garden_centre,retail
outdoor_shop,retail
convenience,retail
newsagent,retail
stationery,retail
furniture_shop,retail
mall,retail
car_rental,retail
video_shop,retail
sports_shop,retail
car_dealership,retail
kiosk,retail
florist,retail
bookshop,retail
mobile_phone_shop,retail
vending_machine,retail
jeweller,retail
bakery,retail
bicycle_shop,retail
gift_shop,retail
toy_shop,retail
vending_any,retail
computer_shop,retail
recycling,services
bench,services
doityourself,services
community_centre,services
police,services
post_office,services
town_hall,services
laundry,services
wastewater_plant,services
fire_station,services
fountain,services
telephone,services
travel_agent,services
courthouse,services
lighthouse,landmark
toilet,services
recycling_glass,services
car_wash,services
water_mill,services
waste_basket,services
bank,services
butcher,services
comms_tower,services
atm,services
post_box,services
embassy,services
bicycle_rental,services
recycling_paper,services
library,services
shoe_shop,services
water_well,services
water_works,services
prison,services
optician,health
beauty_shop,services
recycling_metal,services
drinking_water,services
water_tower,services
hairdresser,services
market_place,retail
windmill,landmark
general,0
