country,iso2,iso3,hr_regex,ge_regex,year_label,start_year,end_year,Dates of Fieldwork,Phase,Recode,hr_fname,ge_fname,prev_year,survey_name,iso_a3,geometry,epsg,config_str
Albania,AL,ALB,ALHR**DT,ALGE**FL,2017-18,2017,2017,09/2017- 12/2017,DHS-VII,DHS-VII,,,2016,AL_2017-18_DHS,ALB,POINT (20.03242643144321 41.141353306048785),32634,"
    [AL_2017-18_DHS]
    output_name = AL_2017-18_DHS
    country_name = albania
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32634
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_al_dhs_buffer
    ntl_year = 2016
    geospatial_variable_years = [2016]
    "
Angola,AO,AGO,AOHR**DT,AOGE**FL,2015-16,2015,2016,11/2015- 02/2016,DHS-VII,DHS-VII,AOHR71DT,AOGE71FL,2014,AO_2015-16_DHS,AGO,POINT (17.47057255231345 -12.245869036133188),32733,"
    [AO_2015-16_DHS]
    output_name = AO_2015-16_DHS
    country_name = angola
    osm_date = 220101
    dhs_hh_file_name = AOHR71DT
    dhs_geo_file_name = AOGE71FL
    country_utm_epsg_code = 32733
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ao_dhs_buffer
    ntl_year = 2014
    geospatial_variable_years = [2014]
    "
Armenia,AM,ARM,AMHR**DT,AMGE**FL,2015-16,2015,2016,12/2015- 04/2016,DHS-VII,DHS-VII,,,2014,AM_2015-16_DHS,ARM,POINT (45.00029001101479 40.21660761230143),32638,"
    [AM_2015-16_DHS]
    output_name = AM_2015-16_DHS
    country_name = armenia
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32638
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_am_dhs_buffer
    ntl_year = 2014
    geospatial_variable_years = [2014]
    "
Bangladesh,BD,BGD,BDHR**DT,BDGE**FL,2014,2014,2014,06/2014- 11/2014,DHS-VII,DHS-VI,BDHR7RDT,BDGE7SFL,2013,BD_2014_DHS,BGD,POINT (90.26792827719598 23.83946179534406),32646,"
    [BD_2014_DHS]
    output_name = BD_2014_DHS
    country_name = bangladesh
    osm_date = 220101
    dhs_hh_file_name = BDHR7RDT
    dhs_geo_file_name = BDGE7SFL
    country_utm_epsg_code = 32646
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_bd_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
Bangladesh,BD,BGD,BDHR**DT,BDGE**FL,2017-18,2017,2018,10/2017- 03/2018,DHS-VII,DHS-VII,BDHR7RDT,BDGE7SFL,2016,BD_2017-18_DHS,BGD,POINT (90.26792827719598 23.83946179534406),32646,"
    [BD_2017-18_DHS]
    output_name = BD_2017-18_DHS
    country_name = bangladesh
    osm_date = 220101
    dhs_hh_file_name = BDHR7RDT
    dhs_geo_file_name = BDGE7SFL
    country_utm_epsg_code = 32646
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_bd_dhs_buffer
    ntl_year = 2016
    geospatial_variable_years = [2016]
    "
Benin,BJ,BEN,BJHR**DT,BJGE**FL,2017-18,2017,2018,11/2017- 02/2018,DHS-VII,DHS-VII,BJHR71DT,BJGE71FL,2016,BJ_2017-18_DHS,BEN,POINT (2.337377553496156 9.647430780663699),32631,"
    [BJ_2017-18_DHS]
    output_name = BJ_2017-18_DHS
    country_name = benin
    osm_date = 220101
    dhs_hh_file_name = BJHR71DT
    dhs_geo_file_name = BJGE71FL
    country_utm_epsg_code = 32631
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_bj_dhs_buffer
    ntl_year = 2016
    geospatial_variable_years = [2016]
    "
Burundi,BU,BDI,BUHR**DT,BUGE**FL,2016-17,2016,2017,10/2016- 02/2017,DHS-VII,DHS-VII,BUHR71DT,BUGE71FL,2015,BU_2016-17_DHS,BDI,POINT (29.91389229542573 -3.3773910753554657),32735,"
    [BU_2016-17_DHS]
    output_name = BU_2016-17_DHS
    country_name = burundi
    osm_date = 220101
    dhs_hh_file_name = BUHR71DT
    dhs_geo_file_name = BUGE71FL
    country_utm_epsg_code = 32735
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_bu_dhs_buffer
    ntl_year = 2015
    geospatial_variable_years = [2015]
    "
Cambodia,KH,KHM,KHHR**DT,KHGE**FL,2014,2014,2014,06/2014- 12/2014,DHS-VII,DHS-VI,KHHR73DT,KHGE71FL,2013,KH_2014_DHS,KHM,POINT (104.87608532525192 12.684728629393506),32648,"
    [KH_2014_DHS]
    output_name = KH_2014_DHS
    country_name = cambodia
    osm_date = 220101
    dhs_hh_file_name = KHHR73DT
    dhs_geo_file_name = KHGE71FL
    country_utm_epsg_code = 32648
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_kh_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
Cameroon,CM,CMR,CMHR**DT,CMGE**FL,2018,2018,2018,06/2018- 12/2018,DHS-VII,DHS-VII,CMHR71DT,CMGE71FL,2017,CM_2018_DHS,CMR,POINT (12.611551546501774 5.663095287992696),32633,"
    [CM_2018_DHS]
    output_name = CM_2018_DHS
    country_name = cameroon
    osm_date = 220101
    dhs_hh_file_name = CMHR71DT
    dhs_geo_file_name = CMGE71FL
    country_utm_epsg_code = 32633
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_cm_dhs_buffer
    ntl_year = 2017
    geospatial_variable_years = [2017]
    "
Chad,TD,TCD,TDHR**DT,TDGE**FL,2014-15,2014,2015,10/2014- 04/2015,DHS-VII,DHS-VI,TDHR71DT,TDGE71FL,2013,TD_2014-15_DHS,TCD,POINT (18.581329525332894 15.328867399839682),32634,"
    [TD_2014-15_DHS]
    output_name = TD_2014-15_DHS
    country_name = chad
    osm_date = 220101
    dhs_hh_file_name = TDHR71DT
    dhs_geo_file_name = TDGE71FL
    country_utm_epsg_code = 32634
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_td_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
East Timor,TL,TLS,TLHR**DT,TLGE**FL,2016,2016,2016,09/2016- 12/2016,DHS-VII,DHS-VII,TLHR71DT,TLGE71FL,2015,TL_2016_DHS,TLS,POINT (125.96630027368401 -8.767760362467003),32751,"
    [TL_2016_DHS]
    output_name = TL_2016_DHS
    country_name = east-timor
    osm_date = 220101
    dhs_hh_file_name = TLHR71DT
    dhs_geo_file_name = TLGE71FL
    country_utm_epsg_code = 32751
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_tl_dhs_buffer
    ntl_year = 2015
    geospatial_variable_years = [2015]
    "
Ethiopia,ET,ETH,ETHR**DT,ETGE**FL,2016,2016,2016,01/2016- 06/2016,DHS-VII,DHS-VII,ETHR81DT,ETGE81FL,2015,ET_2016_DHS,ETH,POINT (39.551255792937745 8.653999188132575),32637,"
    [ET_2016_DHS]
    output_name = ET_2016_DHS
    country_name = ethiopia
    osm_date = 220101
    dhs_hh_file_name = ETHR81DT
    dhs_geo_file_name = ETGE81FL
    country_utm_epsg_code = 32637
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_et_dhs_buffer
    ntl_year = 2015
    geospatial_variable_years = [2015]
    "
Ghana,GH,GHA,GHHR**DT,GHGE**FL,2014,2014,2014,09/2014- 12/2014,DHS-VII,DHS-VI,GHHR72DT,GHGE71FL,2013,GH_2014_DHS,GHA,POINT (-1.2369685557063992 7.928651813099648),32630,"
    [GH_2014_DHS]
    output_name = GH_2014_DHS
    country_name = ghana
    osm_date = 220101
    dhs_hh_file_name = GHHR72DT
    dhs_geo_file_name = GHGE71FL
    country_utm_epsg_code = 32630
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_gh_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
Guatemala,GU,GTM,GUHR**DT,GUGE**FL,2014-15,2014,2015,10/2014- 06/2015,DHS-VII,DHS-VI,GUHR71DT,GUGE71FL,2013,GU_2014-15_DHS,GTM,POINT (-90.36945836053154 15.699360612026911),32615,"
    [GU_2014-15_DHS]
    output_name = GU_2014-15_DHS
    country_name = guatemala
    osm_date = 220101
    dhs_hh_file_name = GUHR71DT
    dhs_geo_file_name = GUGE71FL
    country_utm_epsg_code = 32615
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_gu_dhs_buffer
    ntl_year = 2013
    geospatial_variable_years = [2013]
    "
Guinea,GN,GIN,GNHR**DT,GNGE**FL,2018,2018,2018,02/2018- 06/2018,DHS-VII,DHS-VII,GNHR71DT,GNGE71FL,2017,GN_2018_DHS,GIN,POINT (-11.060853741185456 10.44827287727134),32629,"
    [GN_2018_DHS]
    output_name = GN_2018_DHS
    country_name = guinea
    osm_date = 220101
    dhs_hh_file_name = GNHR71DT
    dhs_geo_file_name = GNGE71FL
    country_utm_epsg_code = 32629
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_gn_dhs_buffer
    ntl_year = 2017
    geospatial_variable_years = [2017]
    "
Haiti,HT,HTI,HTHR**DT,HTGE**FL,2016-17,2016,2017,11/2016- 04/2017,DHS-VII,DHS-VII,HTHR71DT,HTGE71FL,2015,HT_2016-17_DHS,HTI,POINT (-72.65801330535574 18.900700691843337),32618,"
    [HT_2016-17_DHS]
    output_name = HT_2016-17_DHS
    country_name = haiti
    osm_date = 220101
    dhs_hh_file_name = HTHR71DT
    dhs_geo_file_name = HTGE71FL
    country_utm_epsg_code = 32618
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_ht_dhs_buffer
    ntl_year = 2015
    geospatial_variable_years = [2015]
    "
India,IN,IND,INHR**DT,INGE**FL,2015-16,2015,2016,01/2015- 12/2016,DHS-VII,DHS-VI,,,2014,IN_2015-16_DHS,IND,POINT (79.59370376325381 22.92500640740852),32644,"
    [IN_2015-16_DHS]
    output_name = IN_2015-16_DHS
    country_name = india
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32644
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_in_dhs_buffer
    ntl_year = 2014
    geospatial_variable_years = [2014]
    "
India,IN,IND,INHR**DT,INGE**FL,2019-21,2019,2021,06/2019- 04/2021,DHS-VII,DHS-VII,,,2018,IN_2019-21_DHS,IND,POINT (79.59370376325381 22.92500640740852),32644,"
    [IN_2019-21_DHS]
    output_name = IN_2019-21_DHS
    country_name = india
    osm_date = 220101
    dhs_hh_file_name = None
    dhs_geo_file_name = None
    country_utm_epsg_code = 32644
    geom_id = DHSID
    geom_label = dhs-buffers
    geoquery_data_file_name = merge_in_dhs_buffer
    ntl_year = 2018
    geospatial_variable_years = [2018]
    "
