DHSID,education_buildings_count,education_buildings_avgarea,education_buildings_totalarea,education_buildings_ratio,recreational_buildings_count,recreational_buildings_avgarea,recreational_buildings_totalarea,recreational_buildings_ratio,commercial_buildings_count,commercial_buildings_avgarea,commercial_buildings_totalarea,commercial_buildings_ratio,government_buildings_count,government_buildings_avgarea,government_buildings_totalarea,government_buildings_ratio,religious_buildings_count,religious_buildings_avgarea,religious_buildings_totalarea,religious_buildings_ratio,industrial_buildings_count,industrial_buildings_avgarea,industrial_buildings_totalarea,industrial_buildings_ratio,health_buildings_count,health_buildings_avgarea,health_buildings_totalarea,health_buildings_ratio,residential_buildings_count,residential_buildings_avgarea,residential_buildings_totalarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,buffer_area,all_buildings_ratio
BD201800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,671.7776543810102,671.7776543810102,8.567094134280013e-06,1.0,671.7776543810102,671.7776543810102,78413712.26364692,8.567094134280013e-06
BD201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182.5195801757348,182.5195801757348,2.3276487607429146e-06,1.0,182.5195801757348,182.5195801757348,78413712.26364931,2.3276487607429146e-06
BD201800000003,2.0,493.71577323957695,987.4315464791539,1.2592587673430736e-05,1.0,91.62634175950912,91.62634175950912,1.1684989667551654e-06,1.0,4.231167536888312,4.231167536888312,5.3959536090601184e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.153719060132254,28.153719060132254,3.590407627363949e-07,0.0,0.0,0.0,0.0,341.0,64.72649774595759,22071.735731371537,0.00028147801059539846,346.0,23183.17850620722,67.0034060873041,78413712.26364765,0.00029565209753441136
BD201800000004,8.0,572.8327140993558,4582.661712794847,5.84420961653597e-05,0.0,0.0,0.0,0.0,2.0,1135.2513927627247,2270.5027855254493,2.8955430370283515e-05,0.0,0.0,0.0,0.0,2.0,186.9169275666519,373.8338551333038,4.767455134331393e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,72.99271408747762,5693.431698823255,7.260760311513562e-05,90.0,12920.430052276854,143.56033391418725,78413712.26364604,0.00016477258478511022
BD201800000005,1.0,1429.9532516526715,1429.9532516526715,1.8236010136146235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1429.9532516526715,1429.9532516526715,78413712.26364428,1.8236010136146235e-05
BD201800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364602,0.0
BD201800000007,9.0,571.6690884935575,5145.021796442018,6.56138020751144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1613.3153286647143,3226.6306573294287,4.114880630164019e-05,2.0,880.5962711236042,1761.1925422472084,2.2460262260324943e-05,3.0,452.63272514926797,1357.8981754478039,1.7317101005015197e-05,16.0,11490.74317146646,718.1714482166537,78413712.26364872,0.00014653997164209475
BD201800000008,2.0,686.1331565620886,1372.2663131241773,1.7500336019167608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,339.20357579370676,339.20357579370676,4.325819630286215e-06,3.0,1711.469888917884,570.489962972628,78413712.26364876,2.1826155649453823e-05
BD201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1473.7085001481305,2947.417000296261,3.758803039940512e-05,2.0,2947.417000296261,1473.7085001481305,78413712.26364943,3.758803039940512e-05
BD201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364604,0.0
