DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
BD201800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,671.3522508633807,671.3522508633807,8.56166901786416e-06,1.0,671.3522508633807,671.3522508633807,8.56166901786416e-06
BD201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182.5153487992899,182.5153487992899,2.327594798542647e-06,1.0,182.5153487992899,182.5153487992899,2.327594798542647e-06
BD201800000003,1.0,4.231167536888313,4.231167536888313,5.395953609060119e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.153719060132254,28.153719060132254,3.590407627363949e-07,6.0,558.1914569530131,93.03190949216885,7.1185439489999625e-06,1.0,91.47157356001611,91.47157356001611,1.1665252277875135e-06,0.0,0.0,0.0,0.0,318.0,21137.163786578672,66.46906851125368,0.0002695595346322839,327.0,21819.21170368872,66.72541805409395,0.0002782576041078984
BD201800000004,2.0,2274.8360062334204,1137.4180031167102,2.901069137735587e-05,0.0,0.0,0.0,0.0,8.0,4577.565430109486,572.1956787636858,5.8377103926907506e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,372.9454260355322,186.4727130177661,4.75612511216914e-06,76.0,5631.139953210571,74.09394675277066,7.18132044849159e-05,88.0,12856.48681558901,146.09644108623877,0.00016395712490134844
BD201800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1429.227882449934,1429.227882449934,1.8226759595879775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1429.227882449934,1429.227882449934,1.8226759595879775e-05
BD201800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,547.2080071751343,547.2080071751343,6.978473424842695e-06,0.0,0.0,0.0,0.0,2.0,1760.4478922339713,880.2239461169856,2.2450765834358864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1356.4582718295258,452.15275727650857,1.729873809913164e-05,6.0,3664.1141712386316,610.6856952064386,4.6727977358333196e-05
BD201800000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,340.19712944057557,340.19712944057557,4.338490292319511e-06,1.0,340.19712944057557,340.19712944057557,4.338490292319511e-06
BD201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2947.4621792344024,1473.7310896172012,3.7588606560599857e-05,2.0,2947.4621792344024,1473.7310896172012,3.7588606560599857e-05
BD201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
