DHSID,education_pois_count,food_pois_count,services_pois_count,lodging_pois_count,entertainment_pois_count,retail_pois_count,landmark_pois_count,health_pois_count,all_pois_count
BD201800000001,5.0,1.0,19.0,2.0,0.0,0.0,3.0,0.0,30.0
BD201800000002,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
BD201800000003,8.0,10.0,7.0,1.0,1.0,0.0,0.0,1.0,28.0
BD201800000004,44.0,11.0,92.0,13.0,12.0,19.0,2.0,2.0,195.0
BD201800000005,3.0,9.0,8.0,0.0,0.0,7.0,0.0,4.0,31.0
BD201800000006,21.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,45.0
BD201800000007,4.0,6.0,7.0,0.0,3.0,0.0,0.0,4.0,24.0
BD201800000008,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
BD201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000011,13.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,25.0
BD201800000012,2.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0
BD201800000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000014,1.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,11.0
BD201800000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000017,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
BD201800000018,6.0,3.0,11.0,3.0,6.0,0.0,1.0,0.0,30.0
BD201800000019,1.0,2.0,5.0,1.0,1.0,2.0,0.0,2.0,14.0
BD201800000020,60.0,8.0,27.0,2.0,0.0,7.0,1.0,1.0,106.0
BD201800000021,37.0,6.0,7.0,1.0,3.0,8.0,2.0,2.0,66.0
BD201800000022,69.0,0.0,50.0,0.0,0.0,6.0,2.0,1.0,128.0
BD201800000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
BD201800000026,87.0,1.0,53.0,1.0,1.0,0.0,1.0,1.0,145.0
BD201800000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000030,7.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,17.0
BD201800000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000033,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0
BD201800000034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000036,9.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,13.0
BD201800000037,20.0,0.0,26.0,6.0,0.0,0.0,1.0,1.0,54.0
BD201800000038,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0
BD201800000039,18.0,0.0,132.0,2.0,2.0,0.0,0.0,0.0,154.0
BD201800000040,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,16.0
BD201800000041,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BD201800000042,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
BD201800000043,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
BD201800000044,33.0,20.0,64.0,3.0,4.0,16.0,4.0,18.0,162.0
BD201800000045,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0
BD201800000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000048,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
BD201800000049,11.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,23.0
BD201800000050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000051,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0
BD201800000052,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0
BD201800000053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000054,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,15.0
BD201800000055,7.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,11.0
BD201800000056,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BD201800000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000058,4.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,17.0
BD201800000059,8.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,13.0
BD201800000060,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
BD201800000061,8.0,4.0,27.0,7.0,13.0,4.0,3.0,6.0,72.0
BD201800000062,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
BD201800000063,4.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,19.0
BD201800000064,9.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,16.0
BD201800000065,19.0,21.0,30.0,7.0,93.0,5.0,2.0,6.0,183.0
BD201800000066,13.0,16.0,27.0,7.0,86.0,4.0,2.0,6.0,161.0
BD201800000067,23.0,22.0,33.0,10.0,106.0,5.0,4.0,11.0,214.0
BD201800000068,34.0,32.0,45.0,10.0,113.0,6.0,3.0,11.0,254.0
BD201800000069,21.0,7.0,20.0,1.0,92.0,0.0,0.0,2.0,143.0
BD201800000070,7.0,8.0,14.0,3.0,20.0,1.0,3.0,5.0,61.0
BD201800000071,10.0,5.0,12.0,0.0,19.0,0.0,0.0,0.0,46.0
BD201800000072,0.0,1.0,3.0,0.0,3.0,0.0,2.0,9.0,18.0
BD201800000073,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0
BD201800000074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000075,2.0,0.0,3.0,1.0,10.0,1.0,0.0,1.0,18.0
BD201800000076,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
BD201800000077,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
BD201800000078,4.0,0.0,2.0,0.0,3.0,0.0,3.0,1.0,13.0
BD201800000079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000081,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
BD201800000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
BD201800000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000084,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
BD201800000085,0.0,0.0,0.0,36.0,0.0,0.0,1.0,0.0,37.0
BD201800000086,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0
BD201800000087,0.0,13.0,9.0,0.0,0.0,5.0,0.0,4.0,31.0
BD201800000088,8.0,8.0,26.0,1.0,3.0,12.0,1.0,1.0,60.0
BD201800000089,3.0,13.0,33.0,1.0,3.0,7.0,0.0,7.0,67.0
BD201800000090,0.0,4.0,23.0,0.0,0.0,4.0,0.0,1.0,32.0
BD201800000091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000092,1.0,16.0,24.0,2.0,3.0,8.0,0.0,3.0,57.0
BD201800000093,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000094,3.0,13.0,34.0,1.0,3.0,6.0,0.0,7.0,67.0
BD201800000095,1.0,11.0,24.0,1.0,0.0,11.0,0.0,5.0,53.0
BD201800000096,5.0,8.0,23.0,4.0,4.0,12.0,2.0,8.0,66.0
BD201800000097,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
BD201800000098,5.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,12.0
BD201800000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000100,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
BD201800000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000102,3.0,2.0,6.0,0.0,1.0,0.0,1.0,1.0,14.0
BD201800000103,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,6.0
BD201800000104,5.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,10.0
BD201800000105,2.0,4.0,2.0,1.0,3.0,1.0,0.0,1.0,14.0
BD201800000106,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
BD201800000107,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
BD201800000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000109,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0
BD201800000110,0.0,2.0,4.0,3.0,0.0,3.0,0.0,0.0,12.0
BD201800000111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000113,1.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,10.0
