DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,unknown_roads_count,unknown_roads_length,links_roads_count,links_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
BD201800000001,146.0,70448.6486900996,2.0,96.82285374484158,10.0,1433.6268154534612,9.0,7279.114539155897,1.0,942.6574681622825,0.0,0.0,431869263,0.36109301431883384,661773473,0.41877031092491435,550647359,0.36129041410316604,244861073,0.4205434027967703,791120036,0.6583654544544283,524460731,0.7856163572701251,80200.87036661609,168.0,0.36109301431883384
BD201800000002,155.0,160483.40165712847,3.0,4194.782486019521,0.0,0.0,18.0,10993.890070188516,0.0,0.0,0.0,0.0,550213544,0.0001209551164207303,310465275,0.0006724999733634699,504548128,0.00015618902025855494,550581516,0.00032845591279734103,310462745,0.001418525548169085,307968120,0.0003352354164399028,175672.0742133365,176.0,0.0001209551164207303
BD201800000003,465.0,223615.11122586572,35.0,20874.675540129665,18.0,10991.39449959196,13.0,3070.07946638023,4.0,1853.971803821822,0.0,0.0,465585636,0.18829202576098036,837753940,0.24423649412054033,465585637,0.1857380833259093,327665433,0.21002953342097547,857901217,0.630911169310694,551359658,0.6715936453841158,260405.2325357894,535.0,0.1857380833259093
BD201800000004,659.0,226106.80258814484,29.0,26091.45992612335,40.0,24807.913095558706,38.0,34303.523527999576,57.0,21153.407853991816,0.0,0.0,521758694,0.003902343693652248,521781413,0.005044655625788081,521819911,0.0014126517675894868,221222819,0.018626361896395893,521758668,0.003778662088062854,520116740,0.09742347361702854,332463.10699181835,823.0,0.0014126517675894868
BD201800000005,40.0,31749.51133220755,0.0,0.0,0.0,0.0,9.0,1814.5003522746347,1.0,1401.9110041232902,0.0,0.0,468767832,0.026294995727646854,560927607,0.1166905742131431,837749884,0.05862474356686685,235664636,0.01065274847905541,529367965,0.13223528298769777,857545453,0.16903897133894893,34965.922688605475,50.0,0.01065274847905541
BD201800000006,108.0,41648.229275447935,38.0,20473.68426741465,0.0,0.0,27.0,11521.564351362038,0.0,0.0,0.0,0.0,165022259,0.4443355666375235,837753940,0.4970565612735956,465585637,0.4420808621064895,327665433,0.44112856191269306,857901217,0.8796799616867368,311197624,0.80440495255204,73643.47789422463,173.0,0.44112856191269306
BD201800000007,14.0,7262.841081525585,1.0,1565.0774596551482,1.0,214.7479730078301,14.0,18336.819140151947,0.0,0.0,0.0,0.0,519897832,0.08305294457143327,520033669,0.04591975861845438,520033647,0.03535783493518383,519535123,0.12269754346733527,520344624,0.13090320239412995,555415230,0.3997383936311098,27379.48565434051,30.0,0.03535783493518383
BD201800000008,9.0,3518.5609807324518,1.0,1236.7735455589134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470118624,0.06268622211662546,669413483,0.06487517555059431,669413488,0.09714412972590447,385132525,0.044234030405098365,173334977,0.3247764551055907,101865827,0.7043359805512726,4755.334526291365,10.0,0.044234030405098365
BD201800000009,39.0,14850.359394214516,0.0,0.0,2.0,1407.5636741477638,18.0,11996.528122048248,0.0,0.0,0.0,0.0,464492491,0.014988111643766032,519271552,0.1251872968132526,520756058,0.07341323060778675,163795112,0.04217526372265792,524901924,0.12162842197377578,555415231,0.1914036621686941,28254.45119041053,59.0,0.014988111643766032
BD201800000010,12.0,11517.358478553453,0.0,0.0,0.0,0.0,2.0,837.9268100951986,0.0,0.0,0.0,0.0,467565891,0.12669348015611953,837791820,0.19597376737539823,721594499,0.18016485168427082,238824591,0.11754934003211794,354130676,0.26951109677783613,367224903,0.44928163538601706,12355.28528864865,14.0,0.11754934003211794
BD201800000011,46.0,25319.5493291185,1.0,369.73803487158307,1.0,112.43204046466127,18.0,5031.866666478418,8.0,12197.52016651397,0.0,0.0,766286481,0.31676795933658247,837811517,0.3735610495187196,662228400,0.37105221442169006,133807007,0.21394945498232917,138303239,0.2451394489570905,735349983,0.5814602383626715,43031.10623744713,74.0,0.21394945498232917
BD201800000012,6.0,355.00720575764683,0.0,0.0,0.0,0.0,37.0,16989.937886485484,0.0,0.0,0.0,0.0,753741339,0.34759217252032953,715024344,0.371290558895431,753741340,0.3446047053960375,753741344,0.3409601306341861,550298578,0.6024340051847595,692088804,0.5561134952533472,17344.94509224313,43.0,0.3409601306341861
BD201800000013,19.0,33173.06122281827,0.0,0.0,0.0,0.0,5.0,3003.2415780955225,0.0,0.0,0.0,0.0,470125234,0.20108821251098827,663409644,0.26307324514089714,819658947,0.21501515343544017,261561732,0.13021216316612677,520120946,0.2525534981730264,558731078,0.3440887410592269,36176.30280091379,24.0,0.13021216316612677
BD201800000014,173.0,106734.9023497871,6.0,1363.3808662962292,5.0,2206.058667694486,8.0,20056.438335465602,0.0,0.0,1.0,473.3328517449713,758330930,0.00628608577801678,838322454,0.054738892662941796,607725262,0.04155848410290681,274741513,0.02108166692692257,770437030,0.05429304183572605,559552496,0.044651261451800914,130834.11307098837,193.0,0.00628608577801678
BD201800000015,20.0,22671.092644171647,3.0,2570.0394517035465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766286481,0.22023285525205435,837811517,0.25558900320091044,662228400,0.2875124744608645,133807007,0.09947972381158467,138303239,0.1272586208641034,735349983,0.5170955577865809,25241.132095875193,23.0,0.09947972381158467
BD201800000016,46.0,87542.57018832186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693496368,0.0012174470987344897,693494412,0.011942123046969844,521164363,0.04214707451177552,621731863,0.012184284378136899,551565982,0.08348596585114473,655505871,0.1765297099127769,87542.57018832186,46.0,0.0012174470987344897
BD201800000017,18.0,15865.837399326436,0.0,0.0,0.0,0.0,2.0,1567.1754174195128,0.0,0.0,0.0,0.0,556724033,0.0004537929898999057,651855985,0.02927054781326854,556655486,0.0047875468347051186,236723056,0.020115905646285598,518609355,0.27583215542429107,555415237,0.12992872113183293,17433.012816745948,20.0,0.0004537929898999057
BD201800000018,141.0,40657.4782148999,3.0,1555.10492641875,9.0,20641.89162531238,17.0,4088.4814337289586,1.0,479.3197150855782,0.0,0.0,616030757,0.20108461755369225,550791888,0.2334882034867572,616511222,0.22970979992409774,165012265,0.1782025168526002,588083952,0.2945266430753523,551359658,0.31764466703047645,67422.27591544557,171.0,0.1782025168526002
BD201800000019,19.0,16361.24285088339,0.0,0.0,2.0,19617.922292431427,15.0,24026.866242935255,0.0,0.0,0.0,0.0,113156502,0.799986508591097,706851981,0.8258949921464432,550647359,0.8016910647775186,524904779,0.8241768762321922,578665925,1.0174131491506297,524460731,1.2121270781663178,60006.03138625007,36.0,0.799986508591097
BD201800000020,71.0,13939.673372313722,0.0,0.0,0.0,0.0,26.0,21854.030404118632,0.0,0.0,0.0,0.0,483454685,0.013290939988539098,838322454,0.030681542315458037,477714877,0.04068667396309757,483454682,0.012019804255874117,770437030,0.09511454624985984,559552496,0.05164598667930085,35793.703776432354,97.0,0.012019804255874117
BD201800000021,69.0,30124.472941916487,1.0,488.92294375087846,9.0,2169.536647065963,33.0,21786.3957376197,0.0,0.0,0.0,0.0,706521263,0.0034048019536313872,523993611,0.009936012298956014,591715270,0.04814171197250676,236822017,0.002343952044092584,157068296,0.09479551014874586,845967655,0.06685103575621874,54569.32827035303,112.0,0.002343952044092584
BD201800000022,49.0,12840.190486381734,66.0,26078.590440648644,16.0,6223.479983348698,17.0,6454.103583926348,0.0,0.0,0.0,0.0,658988527,0.5786895434301815,837753940,0.639077390342052,465585637,0.5819418649542092,327665433,0.5889221403303906,857901217,0.979271926634602,311197624,0.9432054751734786,51596.364494305424,148.0,0.5786895434301815
BD201800000023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.5169160366993,0.0,0.0,0.0,0.0,692193215,0.028525988005936073,837745305,0.10630444445459274,837745304,0.11188467277723467,175792573,0.03785183891311748,164049970,0.1125143494429597,589090852,0.36455129683619736,942.5169160366993,1.0,0.028525988005936073
BD201800000024,2.0,1610.6498060425424,0.0,0.0,0.0,0.0,4.0,6660.9532955186,0.0,0.0,0.0,0.0,467899789,0.33109981286925316,838519461,0.33892600989207455,772238747,0.4380344586951893,426581293,0.32980355026615055,656903589,0.41012766448344923,844011632,0.4639974348443892,8271.603101561142,6.0,0.32980355026615055
