DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
BD201800000001,0.0,9450.286162748169,102821.42323815204,159.5854031892532,4826.277935465139,995.3588530387726,118252.93159259338,981122155,0.1430525383991804,235842913,0.009840000374354204,345913146,0.00028567826492615473,397276967,0.013082936734698979,397276961,0.018207467921129296,287208810,0.02379511897250319,0.00028567826492615473,345913146
BD201800000002,0.0,39300.39053483729,116280.92630777588,435.48722252164583,0.0,0.0,156016.8040651348,981122164,0.12213866828308936,539359563,0.007705893461719279,628942499,0.0010760995771494797,837796026,0.014596299418989002,310627059,0.05954376223499586,580600044,0.07549774780663225,0.0010760995771494797,628942499
BD201800000003,0.0,9534.515524801343,214261.75688112178,7844.250219726756,1203.547676206638,449.01803842611196,233293.08834028261,981122156,0.10841961486561043,596084957,0.002925412135467015,594403946,0.00027177296380740464,595714079,0.0023763018655048413,588588942,0.006352271042345005,440671852,0.020257137989284624,0.00027177296380740464,594403946
BD201800000004,0.0,34663.699841543414,246824.23396986115,6092.918232638524,4907.716553692414,5517.5382254812,298006.1068232167,534660557,0.135893237341797,532652549,0.006684974688686541,978305018,0.00024045110824407799,546418032,0.005070553886748426,535526940,0.0065789200405126915,594400781,0.011596510753815492,0.00024045110824407799,978305018
BD201800000005,0.0,13372.735000486167,14161.096030255063,0.0,0.0,470.3782533251024,28004.209284066335,534660557,0.07255300214399919,525659724,0.006024798128291577,525650724,0.0024163425573457136,525651471,0.000542864208073898,526489849,0.007333506867889798,580592510,0.028477487129291986,0.000542864208073898,525651471
BD201800000006,0.0,20063.600165127184,61065.16545396191,8988.828771615987,0.0,0.0,90117.59439070508,409705239,0.17729349362365654,653516829,0.001682537649652259,524909289,0.0007506495334970101,653450786,0.0013291818675555073,525600362,0.008925700551101695,585025104,0.05210944144745787,0.0007506495334970101,524909289
BD201800000007,0.0,29019.81452243357,12439.412073608532,80.89816638773465,367.759587971315,0.0,41907.88435040115,546870445,0.152899695944135,331563123,0.0048174735691555864,468231539,0.0062720067141617385,558213100,0.029176666836793957,705094754,0.02539633600673767,524371117,0.09750063649098917,0.0048174735691555864,331563123
BD201800000008,0.0,0.0,10054.520095548469,0.0,0.0,0.0,10054.520095548469,546870445,0.08432254324065977,524118284,0.002368286260241437,524217879,2.2391581792955303e-05,524331314,0.005650148059895835,528440776,0.0053320387863009236,532030233,0.07257293774572877,2.2391581792955303e-05,524217879
BD201800000009,0.0,5151.917317092818,21988.218445142884,0.0,272.4278857094288,0.0,27412.56364794513,633618206,0.10563838319348393,526407365,0.014033754577411177,533350456,0.004899345639255073,543002675,0.003776012202707135,542939548,0.00755688906387001,542934826,0.011986110614321853,0.003776012202707135,543002675
BD201800000010,0.0,1833.9375210005733,13913.35981187533,0.0,0.0,0.0,15747.297332875904,523262002,0.07478289590385317,523250683,0.007604739218160419,523257346,0.000309204752648587,523320344,0.0036479058434838512,523316690,0.0009883176890684408,523326146,0.02532606964682357,0.000309204752648587,523257346
BD201800000011,0.0,16654.07023979439,19740.79315826467,7.2732483251779,11.335359115389513,1837.0451117652487,38250.51711726487,370133634,0.1369577085417043,524772347,0.002124333535906516,327054266,0.0003700643918871304,302066513,0.010333071004096481,524772355,0.007921871945997184,322069482,0.00036165748460609704,0.00036165748460609704,322069482
BD201800000012,0.0,31612.138109679636,8854.411695928,0.0,0.0,0.0,40466.54980560763,546870445,0.176933180530578,235004401,0.0024087135095876952,688091501,0.0007302111657053804,705123634,0.005314391274630033,704744951,0.010778678251619895,688421955,0.05055247453089707,0.0007302111657053804,688091501
