DHSID,residential_buildings_count,residential_buildings_avgarea,residential_buildings_totalarea,residential_buildings_ratio,education_buildings_count,education_buildings_avgarea,education_buildings_totalarea,education_buildings_ratio,recreational_buildings_count,recreational_buildings_avgarea,recreational_buildings_totalarea,recreational_buildings_ratio,health_buildings_count,health_buildings_avgarea,health_buildings_totalarea,health_buildings_ratio,commercial_buildings_count,commercial_buildings_avgarea,commercial_buildings_totalarea,commercial_buildings_ratio,industrial_buildings_count,industrial_buildings_avgarea,industrial_buildings_totalarea,industrial_buildings_ratio,religious_buildings_count,religious_buildings_avgarea,religious_buildings_totalarea,religious_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,buffer_area,all_buildings_ratio
BJ201700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.2636469,0.0
BJ201700000002,0.0,0.0,0.0,0.0,2.0,190.22968500338607,380.45937000677213,4.8519494744434715e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,380.45937000677213,190.22968500338607,78413712.26364875,4.8519494744434715e-06
BJ201700000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364751,0.0
BJ201700000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364735,0.0
BJ201700000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364648,0.0
BJ201700000006,0.0,0.0,0.0,0.0,2.0,254.3194277601959,508.6388555203918,6.48660598812376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,508.6388555203918,254.3194277601959,78413712.26364787,6.48660598812376e-06
BJ201700000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364733,0.0
BJ201700000008,0.0,0.0,0.0,0.0,11.0,279.3045371230604,3072.3499083536644,3.918128372782082e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3072.3499083536644,279.3045371230604,78413712.26364721,3.918128372782082e-05
BJ201700000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.263648,0.0
BJ201700000010,0.0,0.0,0.0,0.0,2.0,254.3194277601959,508.6388555203918,6.486605988123791e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,508.6388555203918,254.3194277601959,78413712.2636475,6.486605988123791e-06
