DHSID,landmark_pois_count,food_pois_count,retail_pois_count,lodging_pois_count,other_pois_count,services_pois_count,education_pois_count,health_pois_count,entertainment_pois_count,all_pois_count
BJ201700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BJ201700000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000006,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
BJ201700000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000008,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,5.0,15.0
BJ201700000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000010,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0
BJ201700000011,0.0,1.0,0.0,2.0,0.0,19.0,5.0,0.0,10.0,37.0
BJ201700000012,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0
BJ201700000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000014,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0
BJ201700000015,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,6.0
BJ201700000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000017,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0
BJ201700000018,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,9.0,18.0
BJ201700000019,0.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,5.0,16.0
BJ201700000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000021,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0
BJ201700000022,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
BJ201700000023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
BJ201700000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ201700000027,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0
BJ201700000028,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,7.0
BJ201700000029,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
BJ201700000030,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,8.0
BJ201700000031,0.0,0.0,2.0,0.0,0.0,3.0,6.0,1.0,11.0,23.0
BJ201700000032,2.0,0.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,14.0
BJ201700000033,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,11.0
