DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
BJ201700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629646399,0.4780496916161586,718918310,0.07133073051870259,374926950,0.10896047684882698,711353573,0.2769643840890275,716734140,0.1582693347463627,410309485,1.394191694266303,0.07133073051870259,718918310
BJ201700000002,0.0,10032.019926014435,13217.694977758016,171.32034901719481,7861.166824440048,0.0,31282.202077229696,685172781,0.7950739638775508,313703043,0.0018490305723187499,402233581,0.0033258580482603338,728000235,0.035859850976352234,402233611,0.027969134906618846,410309485,0.9946975652325423,0.0018490305723187499,313703043
BJ201700000003,0.0,10259.358461377842,0.0,0.0,0.0,0.0,10259.358461377842,629646399,0.7014250318757621,718928419,0.021071309600664744,374926949,0.060726457019796905,313703037,0.188779734619385,555198256,0.10247563470393557,410309485,1.1654123569651027,0.021071309600664744,718928419
BJ201700000004,0.0,0.0,7162.026215883105,1129.662009017925,190.2847538294735,0.0,8481.972978730504,616952917,0.8903285762698342,689079769,0.09275929387934749,947113271,0.015465248013781461,667652421,0.03317783558426102,667652423,0.03638678430498041,410309485,0.9608570269987701,0.015465248013781461,947113271
BJ201700000005,0.0,0.0,60716.527193545844,0.0,0.0,0.0,60716.527193545844,629646399,0.8626644108744992,639596239,0.09179554217579225,375069503,0.002196530946782076,728000235,0.22562731065663133,402751435,0.11840756845541378,410309485,1.1295395296487145,0.002196530946782076,375069503
BJ201700000006,0.0,21875.683574825976,16603.183358032853,43.02240025412173,5595.57364442978,0.0,44117.46297754273,625442373,0.7399668232859966,639600658,0.007637119077811218,375906805,0.019108887402670204,728310147,0.024834902138510376,728280924,0.023199880570931083,410309485,0.8311332745744151,0.007637119077811218,639600658
BJ201700000007,0.0,9731.928490429706,14131.724206510879,0.0,0.0,0.0,23863.652696940582,637263460,0.7863922030885856,375759281,0.01202447065051821,947090981,0.015600151872672056,862158705,0.041517865737419904,376181348,0.05164185581847419,410309485,0.8542071755755822,0.01202447065051821,375759281
BJ201700000008,0.0,34863.62498348544,35972.53836799358,0.0,3508.8916074780136,0.0,74345.05495895703,625442373,0.8765391188287744,376242364,0.003678845337597639,374922785,0.005242940259107045,727675355,0.06515858196075527,374922786,0.0028189343348715176,410309485,0.9811579520147772,0.0028189343348715176,374922786
BJ201700000009,0.0,10150.562602634665,13897.55958365558,0.0,0.0,0.0,24048.122186290246,629646399,0.7883619057838726,374562853,0.00643500612661227,375069492,0.006148795875870263,313703037,0.0907874041820312,402819477,0.06741784677607805,410309485,1.1081007829667302,0.006148795875870263,375069492
BJ201700000010,0.0,23072.157131805143,12584.251670088772,205.90478826539413,10774.090155465337,0.0,46636.40374562465,625442373,0.7343048471653514,247812749,0.010190580972385985,728283998,0.011242921540311864,728310147,0.012355213004476076,728310153,0.011479443371131461,410309485,0.8222442405679261,0.010190580972385985,247812749
BJ201700000011,0.0,3986.653750648576,61624.001821761085,627.1352974075271,27478.346220966727,0.0,93716.13709078392,629646399,0.021564377631336208,710521393,0.0005766917281844131,619413036,0.0016469267641661127,710645226,0.013158427508975714,710521387,0.000866645999868622,410309485,1.8580595830845084,0.0005766917281844131,710521393
BJ201700000012,0.0,3900.5538168683506,780.7642727805986,0.0,0.0,0.0,4681.318089648949,629646399,0.6804034446993318,374729294,0.008940263032365158,390169016,0.010483850689520641,375982864,0.15644321474951609,722919350,0.020500967404138815,410309485,1.885890189429438,0.008940263032365158,374729294
BJ201700000013,0.0,4657.952763972058,39991.56719233433,0.0,0.0,0.0,44649.519956306394,616952915,1.065391779922895,375623497,0.04064385463795615,375623467,0.010086676971786997,520410243,0.1354485873411668,375623418,0.045449136994290706,410309485,1.1628358978989557,0.010086676971786997,375623467
BJ201700000014,0.0,9543.07381276989,6857.267106914702,0.0,9215.592637777127,0.0,25615.933557461714,629646399,1.0210672440409743,318683469,0.011417497414266696,947612737,0.001382027113005809,718285597,0.0675485423620172,718325308,0.011499308838758954,410309485,1.3686730775937168,0.001382027113005809,947612737
BJ201700000015,0.0,19057.957811918466,20792.011464570292,0.0,1911.4158709354804,0.0,41761.38514742424,616952915,1.146667950569845,318683467,0.008681679822030844,718410131,0.012642866256103528,446087967,0.11553100568400139,718414660,0.03072469339130143,410309485,1.2520705295406998,0.008681679822030844,318683467
BJ201700000016,0.0,1158.1937887868994,20724.46436588658,1715.55823806133,9395.00977715298,0.0,32993.226169887785,629646399,1.191081007009083,384287719,0.039329191668650336,362188769,0.010845321711054843,896302343,0.04022852726704084,362334491,0.030320943828010743,410309485,1.6369084728657708,0.010845321711054843,362188769
BJ201700000017,0.0,7395.988980576515,35144.32484772844,1727.7133553694262,13417.618240515078,0.0,57685.64542418946,629646399,1.1478176667815552,318683465,0.006504824920102361,445635413,0.0002872521998658921,445635421,0.002837703411380393,445635418,0.0008777619011657691,410309485,1.3159865921629024,0.0002872521998658921,445635413
BJ201700000018,0.0,26078.805739783576,30440.081003229116,305.5871420034405,10683.090579531685,0.0,67507.56446454782,629646399,0.6349160303288904,318691524,0.0005579522491536544,719954823,0.0028199680351392166,720565406,0.039923772747324664,720560829,0.008119828236658537,410309485,1.5266544938000022,0.0005579522491536544,318691524
BJ201700000019,0.0,18710.61774093497,23798.002771591367,1509.810594071668,11815.101735194075,0.0,55833.53284179208,629646399,0.9154674433462423,374920256,0.004944590206931043,374920269,0.0014319017903793227,718075346,0.005847035853352083,718075347,0.00538497537636374,410309485,1.3295447969359244,0.0014319017903793227,374920269
BJ201700000020,0.0,0.0,6391.255872017307,0.0,17556.214543932037,0.0,23947.470415949345,629646399,0.7020077228273499,374729294,0.07916518513097155,390168996,0.015517671092289203,375982864,0.0698927530862834,390169032,0.009921414502805606,410309485,1.9708896739423476,0.009921414502805606,390169032
BJ201700000021,0.0,13755.556758944247,84636.54891742389,496.5744151938759,34900.871624781335,0.0,133789.55171634335,629646399,0.05549920600473509,79900279,0.02872433981004741,711047820,0.007240719584088341,710645225,0.041402576493358004,711047821,0.007216257326815176,410309485,1.9122380602332318,0.007216257326815176,711047821
BJ201700000022,0.0,13511.16504755543,37270.98412439246,91.49603980857381,6042.152359917888,0.0,56915.79757167436,629646399,1.112722696607348,318683493,0.01682821657417365,718305456,0.012576218252708465,718292392,0.021115010101996158,718302108,0.0058771304885329835,410309485,1.2651323135938446,0.0058771304885329835,718302108
BJ201700000023,0.0,18855.259534672994,25643.000870617707,0.0,667.9686262436899,0.0,45166.229031534385,629646399,0.9878411918651446,274739668,0.010700514956121615,718095865,0.0028837369989358997,718075346,0.083412452716781,718098840,0.031021298136561345,410309485,1.258416592120733,0.0028837369989358997,718095865
BJ201700000024,0.0,0.0,2652.470446115502,0.0,0.0,0.0,2652.470446115502,629646399,0.6163322355145634,376234617,0.04393187481154754,390169010,0.01435938643823143,374861648,0.10631816844121796,390168998,0.021929168806871735,410309485,2.0142698206614,0.01435938643823143,390169010
BJ201700000025,0.0,0.0,5150.404622714175,0.0,476.6670057052755,0.0,5627.0716284194505,629646399,0.6358618801320334,376234617,0.06600341522681906,390169010,0.0017252828828505293,374861648,0.08347227508165633,390169034,0.010345597571774567,410309485,2.0286006126362115,0.0017252828828505293,390169010
BJ201700000026,0.0,0.0,2120.827385808123,0.0,699.9252769688258,0.0,2820.7526627769485,629646399,0.66909535351585,667613805,0.11096294551300548,390169023,0.0023861804179436618,374861668,0.04118014597812322,390169069,0.01436799273905378,410309485,2.0866308354349234,0.0023861804179436618,390169023
BJ201700000027,0.0,10684.4067322719,16286.052931852797,0.0,2303.7789651910743,0.0,29274.238629315772,629646399,0.16316314579698857,223641544,0.0012769901350079057,711514907,0.0022372551405991288,711580392,0.05292167585916929,712465296,0.010512636890612199,410309485,1.699783116518183,0.0012769901350079057,223641544
BJ201700000028,0.0,15444.833654491442,11503.856142876135,0.0,31647.69854472082,0.0,58596.388342088394,629646399,0.49413162719097814,715337529,0.000578423531274959,715345045,0.00026502559128148136,942383743,0.08792824025634599,762249108,0.00207671587703756,410309485,1.4825938394549492,0.00026502559128148136,715345045
BJ201700000029,0.0,0.0,11985.12960848025,2767.3020416663217,7027.3517218411125,0.0,21779.783371987687,607250380,0.3179911263410747,367018182,0.04818915019632517,715281355,0.0005390929105138135,712996463,0.03987981415937603,714728865,0.024430356863877935,410309485,1.2960887785447035,0.0005390929105138135,715281355
BJ201700000030,0.0,5371.11936293941,13248.32160198614,299.88373062131456,3149.307385037906,0.0,22068.63208058477,629646399,0.30287594452570304,628288967,0.009560169934039176,467661967,0.01141254656252032,715837979,0.015462101505810493,718877232,0.0048384277169667865,410309485,1.6383602719248573,0.0048384277169667865,718877232
BJ201700000031,0.0,37934.21686241049,76079.21239314516,98.60564194204485,8173.923877347115,0.0,122285.95877484481,625442373,0.7995601102163397,238863851,0.0041572088865320725,318402206,0.006219131831177594,727675355,0.019219317490573457,727675421,0.013825957419146016,410309485,0.8974646453696186,0.0041572088865320725,238863851
BJ201700000032,0.0,3117.357871781246,19531.919104853903,0.0,4691.340027145332,0.0,27340.61700378048,629646399,0.19822885535236737,38873520,0.04469606119662376,716032805,0.015908430938274938,703240375,0.061232538212095206,716030105,0.016567680826110143,410309485,1.7134829972662875,0.015908430938274938,716032805
