DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
BU201600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,299.58827013511564,299.58827013511564,3.820610725938129e-06,0.0,0.0,0.0,0.0,1.0,299.58827013511564,299.58827013511564,3.820610725938129e-06
BU201600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,810.7900365760007,810.7900365760007,1.0339901187816688e-05,0.0,0.0,0.0,0.0,1.0,810.7900365760007,810.7900365760007,1.0339901187816688e-05
BU201600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,29163.25287580763,219.2725780135912,0.002324470111311025,133.0,29163.25287580763,219.2725780135912,0.002324470111311025
BU201600000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,321.97269458391713,321.97269458391713,4.106076415581071e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,321.97269458391713,321.97269458391713,4.106076415581071e-06
BU201600000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2323.776613511201,211.25241941010918,0.00018521765409616837,0.0,0.0,0.0,0.0,1.0,380.3926125099148,380.3926125099148,3.0319363279132856e-05,0.0,0.0,0.0,0.0,1.0,614.2656704418789,614.2656704418789,4.8960319941917895e-05,3.0,445.4303835219,148.4767945073,3.5503227900389236e-05,16.0,3763.865279984894,235.2415799990559,0.0003000005652176083
BU201600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,563.1910778278292,281.5955389139146,7.182303471798843e-06,0.0,0.0,0.0,0.0,2.0,62.11561795533683,31.057808977668415,7.921524968297381e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,625.306695783166,156.3266739457915,7.97445596862858e-06
BU201600000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,259.3126896724846,259.3126896724846,3.3069814218284678e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1514.2690619321488,757.1345309660744,1.931127883399759e-05,0.0,0.0,0.0,0.0,3.0,1773.5817516046334,591.1939172015444,2.2618260255826058e-05
BU201600000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1125.7724421210314,281.44311053025785,1.4356831345210481e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,525.5023003492795,525.5023003492795,6.701663333861956e-06,0.0,0.0,0.0,0.0,5.0,1651.274742470311,330.2549484940622,2.1058494679072438e-05
BU201600000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1285.506779422287,257.1013558844574,0.00010246189269008493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1285.506779422287,257.1013558844574,0.00010246189269008493
BU201600000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,456.0973756944485,228.04868784722424,5.816551245028919e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,456.0973756944485,228.04868784722424,5.816551245028919e-06
BU201600000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,477.44837958517604,238.72418979258802,6.088837855040875e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,465.2950050546308,465.2950050546308,5.933847430793614e-06,103.0,7479.588133586576,72.61736052025802,9.53862266900245e-05,106.0,8422.331518226383,79.45595771911682,0.00010740891197585899
BU201600000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BU201600000013,2.0,833.6403187033002,416.8201593516501,6.644567437870218e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2761.7451751011217,1380.8725875505609,0.00022012613414279012,11.0,8230.916853164073,748.2651684694612,0.0006560489083759894,15.0,11826.302346968496,788.4201564645664,0.0009426207168974817
BU201600000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1373.1106010258386,343.27765025645965,1.7511103114326514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,713.1959590196387,713.1959590196387,9.09529645301957e-06,0.0,0.0,0.0,0.0,5.0,2086.3065600454775,417.2613120090955,2.6606399567346084e-05
BU201600000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,386.3985875852907,193.19929379264536,3.079807220818999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,386.3985875852907,193.19929379264536,3.079807220818999e-05
BU201600000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,734.662755664171,183.66568891604274,9.369059753146746e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,6741.582913953151,99.1409252051934,8.597454092322733e-05,72.0,7476.245669617321,103.83674541135169,9.534360067637406e-05
BU201600000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BU201600000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1464.3117883513717,1464.3117883513717,1.8674180141197397e-05,0.0,0.0,0.0,0.0,1.0,1464.3117883513717,1464.3117883513717,1.8674180141197397e-05
BU201600000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BU201600000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,423.2552256124969,211.62761280624844,5.39771952371551e-06,1.0,548.6900616235414,548.6900616235414,6.997373874848647e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,971.9452872360382,323.98176241201276,1.2395093398564157e-05
BU201600000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,556.4924431442981,556.4924431442981,7.096876644141379e-06,0.0,0.0,0.0,0.0,1.0,556.4924431442981,556.4924431442981,7.096876644141379e-06
