DHSID,retail_pois_count,lodging_pois_count,landmark_pois_count,education_pois_count,services_pois_count,other_pois_count,health_pois_count,entertainment_pois_count,food_pois_count,all_pois_count
BU201600000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0
BU201600000002,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
BU201600000003,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0
BU201600000004,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
BU201600000005,52.0,10.0,0.0,20.0,47.0,0.0,33.0,6.0,47.0,215.0
BU201600000006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
BU201600000007,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
BU201600000008,0.0,18.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,27.0
BU201600000009,3.0,1.0,0.0,5.0,2.0,0.0,16.0,6.0,4.0,37.0
BU201600000010,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0
BU201600000011,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,14.0
BU201600000012,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
BU201600000013,2.0,47.0,3.0,2.0,11.0,0.0,12.0,7.0,6.0,90.0
BU201600000014,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
BU201600000015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BU201600000016,0.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,10.0
BU201600000017,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0
BU201600000018,0.0,11.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,16.0
BU201600000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BU201600000020,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,11.0
BU201600000021,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
BU201600000022,2.0,42.0,0.0,1.0,2.0,0.0,12.0,4.0,1.0,64.0
BU201600000023,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0
BU201600000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
BU201600000025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BU201600000026,2.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,12.0
BU201600000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BU201600000028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
BU201600000029,0.0,4.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,10.0
BU201600000030,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0
BU201600000031,27.0,48.0,0.0,40.0,32.0,0.0,33.0,21.0,19.0,220.0
BU201600000032,0.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,9.0
BU201600000033,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,9.0
BU201600000034,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,8.0
BU201600000035,1.0,9.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,18.0
BU201600000036,1.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0
BU201600000037,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0
BU201600000038,0.0,18.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,26.0
BU201600000039,0.0,16.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,24.0
BU201600000040,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,6.0
BU201600000041,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0
BU201600000042,51.0,80.0,6.0,31.0,103.0,0.0,55.0,76.0,84.0,486.0
BU201600000043,0.0,18.0,0.0,2.0,1.0,0.0,11.0,1.0,0.0,33.0
BU201600000044,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0
BU201600000045,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
BU201600000046,1.0,19.0,0.0,6.0,9.0,0.0,8.0,2.0,4.0,49.0
BU201600000047,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
BU201600000048,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,11.0
BU201600000049,8.0,40.0,0.0,27.0,20.0,0.0,33.0,13.0,9.0,150.0
BU201600000050,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,8.0
BU201600000051,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0
BU201600000052,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,8.0
BU201600000053,2.0,15.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,27.0
BU201600000054,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0
BU201600000055,38.0,63.0,1.0,35.0,31.0,0.0,34.0,114.0,42.0,358.0
BU201600000056,0.0,8.0,0.0,0.0,2.0,0.0,3.0,5.0,6.0,24.0
BU201600000057,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0
BU201600000058,1.0,0.0,0.0,1.0,2.0,0.0,5.0,2.0,1.0,12.0
BU201600000059,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0
BU201600000060,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,8.0
BU201600000061,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
BU201600000062,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,8.0
BU201600000063,0.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0
BU201600000064,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
BU201600000065,0.0,4.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,12.0
BU201600000066,0.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,10.0
BU201600000067,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
BU201600000068,0.0,24.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,32.0
BU201600000069,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0
BU201600000070,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0
BU201600000071,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0
BU201600000072,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0
BU201600000073,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
BU201600000074,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0
BU201600000075,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0
BU201600000076,3.0,2.0,0.0,1.0,3.0,0.0,5.0,2.0,2.0,18.0
BU201600000077,0.0,18.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,24.0
BU201600000078,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,6.0
BU201600000079,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0
BU201600000080,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0
BU201600000081,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0
BU201600000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BU201600000083,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
BU201600000084,1.0,0.0,0.0,0.0,5.0,0.0,2.0,4.0,0.0,12.0
BU201600000085,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
BU201600000086,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0
BU201600000087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
BU201600000088,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,6.0
BU201600000089,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
BU201600000090,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
BU201600000091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
BU201600000092,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0
BU201600000093,16.0,25.0,4.0,29.0,35.0,0.0,15.0,93.0,42.0,259.0
BU201600000094,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0
BU201600000095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
BU201600000096,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
BU201600000097,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0
BU201600000098,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,8.0
BU201600000099,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
BU201600000100,1.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,11.0
BU201600000101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
BU201600000102,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
BU201600000103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BU201600000104,2.0,42.0,0.0,1.0,2.0,0.0,12.0,3.0,1.0,63.0
BU201600000105,1.0,9.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,16.0
BU201600000106,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,7.0
BU201600000108,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,11.0
BU201600000109,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0
BU201600000110,1.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,13.0
BU201600000111,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,7.0
BU201600000112,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0
BU201600000113,9.0,12.0,3.0,10.0,33.0,0.0,15.0,8.0,24.0,114.0
BU201600000114,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0
