DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
CM201800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000005,63.0,17414.643722036264,276.4229162227978,0.0013880419651192033,0.0,0.0,0.0,0.0,137.0,52141.08721834095,380.59187750613836,0.004155928672512353,0.0,0.0,0.0,0.0,9.0,1998.0352433424157,222.00391592693506,0.00015925429252606888,1.0,572.106011938902,572.106011938902,4.559996550852953e-05,98.0,34210.51627711765,349.0869007869148,0.00272676449768221,0.0,0.0,0.0,0.0,38.0,14443.223225421463,380.08482172161746,0.001151203565715278,5.0,1626.5423786212577,325.30847572425154,0.00012964428762411246,351.0,122406.15407681892,348.73548170033877,0.009756437246687757
CM201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.16341058525666,166.16341058525666,1.3244128943494615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.16341058525666,166.16341058525666,1.3244128943494615e-05
CM201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2328.751489836734,232.8751489836734,2.969826861412772e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1131.060262830898,1131.060262830898,1.4424266243485215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1085.2094279511036,35.00675574035818,1.3839536435953191e-05,42.0,4545.021180618735,108.21479001473179,5.796207129356612e-05
CM201800000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2376.336099856517,125.07032104507985,0.0001894069314581944,19.0,2376.336099856517,125.07032104507985,0.0001894069314581944
CM201800000012,30.0,35876.723864611515,1195.8907954870506,0.0028595703185165786,0.0,0.0,0.0,0.0,1.0,155.0937676767005,155.0937676767005,1.2361818105489412e-05,0.0,0.0,0.0,0.0,1.0,197.25523503831175,197.25523503831175,1.572231671476438e-05,0.0,0.0,0.0,0.0,509.0,68432.39878335671,134.44479132290118,0.0054544349457393195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,104661.47165068323,193.45928216392466,0.008342089399076153
CM201800000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000017,3.0,2509.9071277430744,836.6357092476915,0.00020005326996444176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,71650.08559289093,125.48176110839042,0.005710902111736321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,74159.992720634,129.19859358995473,0.005910955381700763
CM201800000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3502.0779419351798,109.43993568547437,0.00027913468837570046,0.0,0.0,0.0,0.0,7.0,654.8271370483697,93.54673386405281,5.2193289775539765e-05,1.0,285.15496730924457,285.15496730924457,2.27284041812803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1922.4837010269543,274.64052871813635,0.0001532324230616609,0.0,0.0,0.0,0.0,47.0,6364.543747319749,135.41582441105848,0.0005072888053941815
CM201800000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3827.345790570204,115.98017547182437,4.8809649232032684e-05,33.0,3827.345790570204,115.98017547182437,4.8809649232032684e-05
CM201800000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1628.9574277832703,814.4787138916352,0.00012983678019750044,0.0,0.0,0.0,0.0,1.0,1450.6593999242327,1450.6593999242327,0.00011562545615799848,0.0,0.0,0.0,0.0,3.0,3079.616827707503,1026.5389425691676,0.0002454622363554989
CM201800000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1099.0142297888117,274.7535574472029,1.4015587300517272e-05,0.0,0.0,0.0,0.0,14.0,2172.252500588698,155.1608928991927,2.770245710705518e-05,0.0,0.0,0.0,0.0,1.0,416.07189216144604,416.07189216144604,5.306111394936846e-06,12.0,1309.2552905647574,109.10460754706311,1.669676454243966e-05,31.0,4996.593913103713,161.18044880979718,6.372092034494895e-05
CM201800000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.05422014121723,367.05422014121723,2.9256220750897778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28781.924452633437,28781.924452633437,0.002294076158824556,2.0,29148.978672774654,14574.489336387327,0.0023233323795754535
CM201800000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.05422014121723,367.05422014121723,2.9256220750896454e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.05422014121723,367.05422014121723,2.9256220750896454e-05
CM201800000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16023.069591160858,2289.0099415944082,0.00020434014828027685,7.0,16023.069591160858,2289.0099415944082,0.00020434014828027685
CM201800000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
