DHSID,entertainment_pois_count,health_pois_count,food_pois_count,landmark_pois_count,education_pois_count,other_pois_count,retail_pois_count,lodging_pois_count,services_pois_count,all_pois_count
CM201800000001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
CM201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CM201800000005,61.0,69.0,397.0,1.0,142.0,49.0,488.0,62.0,508.0,1777.0
CM201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000008,8.0,3.0,2.0,1.0,4.0,0.0,5.0,5.0,9.0,37.0
CM201800000010,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,10.0
CM201800000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CM201800000012,11.0,12.0,18.0,3.0,31.0,0.0,14.0,28.0,40.0,157.0
CM201800000013,12.0,4.0,0.0,3.0,1.0,0.0,2.0,2.0,8.0,32.0
CM201800000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000015,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
CM201800000017,9.0,2.0,10.0,1.0,16.0,0.0,9.0,7.0,15.0,69.0
CM201800000018,5.0,2.0,0.0,1.0,7.0,0.0,3.0,1.0,11.0,30.0
CM201800000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
CM201800000020,5.0,4.0,2.0,3.0,4.0,0.0,1.0,2.0,9.0,30.0
CM201800000021,6.0,3.0,5.0,25.0,29.0,0.0,0.0,0.0,110.0,178.0
CM201800000022,4.0,2.0,9.0,1.0,1.0,0.0,3.0,10.0,6.0,36.0
CM201800000024,3.0,3.0,9.0,1.0,1.0,0.0,3.0,8.0,5.0,33.0
CM201800000026,12.0,4.0,1.0,0.0,12.0,0.0,0.0,3.0,17.0,49.0
CM201800000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000028,15.0,6.0,4.0,0.0,8.0,0.0,10.0,4.0,19.0,66.0
CM201800000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CM201800000031,32.0,32.0,10.0,1.0,61.0,0.0,7.0,15.0,84.0,242.0
CM201800000032,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,5.0,17.0
CM201800000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
CM201800000035,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
CM201800000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000038,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,19.0
CM201800000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000044,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,10.0
CM201800000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000047,3.0,2.0,5.0,5.0,3.0,0.0,1.0,4.0,5.0,28.0
CM201800000048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000049,2.0,5.0,13.0,0.0,19.0,0.0,155.0,3.0,202.0,399.0
CM201800000050,5.0,1.0,2.0,1.0,54.0,0.0,5.0,16.0,30.0,114.0
CM201800000051,14.0,9.0,364.0,6.0,100.0,72.0,660.0,8.0,603.0,1836.0
CM201800000052,165.0,98.0,377.0,20.0,150.0,21.0,405.0,64.0,544.0,1844.0
CM201800000053,63.0,28.0,52.0,17.0,75.0,0.0,32.0,42.0,79.0,388.0
CM201800000054,0.0,7.0,26.0,1.0,42.0,0.0,11.0,12.0,26.0,125.0
CM201800000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CM201800000056,47.0,44.0,75.0,9.0,78.0,0.0,383.0,15.0,354.0,1005.0
