DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
CM201800000001,0.0,6794.245603132361,18613.39892618022,0.0,0.0,0.0,25407.64452931258,622932302,0.10051825430855474,202817461,0.001711432866628162,375539078,0.0019190813370441526,319500250,0.0190578685770138,319562272,0.010131880092031307,930066956,0.12363168690354302,0.001711432866628162,202817461
CM201800000002,0.0,11071.436490301428,0.0,0.0,4988.875912824382,0.0,16060.31240312581,730065406,0.12398888965125329,334819549,0.005899139646815728,414510728,0.013297214837622529,299218311,0.05554859483894849,302744992,0.005965829309475139,803515674,0.9279075252784265,0.005899139646815728,334819549
CM201800000003,0.0,4190.754620070216,5032.163526007189,0.0,2531.6938183411453,0.0,11754.611964418551,721542525,0.037761543507564735,230362025,0.0030684848632412504,326251142,0.002416291688182998,673047170,0.02345855216376454,728058126,0.0022852360981144007,756529551,0.26399040552011854,0.0022852360981144007,728058126
CM201800000005,73.06993336678704,35644.01466270309,171331.73770943534,579.5222255209009,2268.9423899593585,0.0,209897.28692098547,608566612,0.008272081730036022,198706237,8.105286279050677e-05,613424554,0.00016160524118944623,198990310,0.0054357361761067915,198706235,0.0034783522499896567,756529551,0.11156899495878406,8.105286279050677e-05,198706237
CM201800000007,0.0,0.0,11686.042512130176,1888.615793157962,3534.488652351385,0.0,17109.146957639525,308993080,0.11612947713345205,626129196,0.040477217790582276,371831031,0.017497105191154886,374718048,0.029425429130082954,319156526,0.03251277566229973,930066956,0.7482462988215837,0.017497105191154886,371831031
CM201800000008,16.732410878721133,18191.66937528637,99065.1653802229,304.33190037890233,2453.130559821851,0.0,120031.02962658874,608621011,0.010254247581106215,322709511,0.000685426510001403,322727781,0.00020162339781834863,280033257,0.0110445804494485,357519840,0.002604007868903939,958495174,0.42411512128992257,0.00020162339781834863,322727781
CM201800000010,0.0,30523.499150548792,139247.24613004876,6025.904955324491,1682.0260437864815,0.0,177478.67627970854,626797814,0.09983948322877731,203530462,0.00401325548338208,375987580,0.004196678656459407,317748050,0.002006750071075748,547001182,0.011488336601203741,803515674,0.4644496384956882,0.002006750071075748,317748050
CM201800000011,0.0,5894.3286417975705,15628.905442047662,0.0,95.24990509002458,0.0,21618.48398893526,732844594,0.03305308335594307,230393838,0.0036835317543505337,730132416,0.0006334572311550606,695686154,0.01701396719270007,695686155,0.01611386901125047,958495437,1.1105447491184786,0.0006334572311550606,730132416
CM201800000012,112.5682592900595,21537.820187785746,103202.51152257371,0.0,2590.4519824907825,0.0,127443.35195214029,963935413,0.012748743428214483,610504977,0.001084782164806805,59065651,0.0008274134320480614,615562200,0.031553602900962215,884737008,0.002191273317703517,930066956,1.3142961302782867,0.0008274134320480614,59065651
CM201800000013,19.093628743253184,19421.636176400007,57832.337708322164,277.07967666799516,961.6552494771413,0.0,78511.80243961056,628241563,0.007296642210969502,313721666,0.0003152684910373709,605031580,0.0003957756202493022,605669062,0.0023842583698046385,448025220,0.002071571028968997,958495437,0.22822852114120473,0.0003152684910373709,313721666
CM201800000014,0.0,9669.563276242838,53276.72767776421,242.8841115693059,0.0,0.0,63189.17506557635,448617494,0.1279825948030191,212739957,0.002640685958238498,287672385,0.0027229457992188092,846742903,0.02469428984152068,341863462,0.002379721253135862,803515674,0.6967594649765583,0.002379721253135862,341863462
CM201800000015,0.0,22181.027648037045,10799.35450501867,27.986169980196653,10538.849860220382,0.0,43547.2181832563,630147571,0.04569640190722212,303162904,0.0008539131994527972,383101037,0.001221136422922274,221489271,0.014819359518995818,812912889,0.02529905714050631,958495174,0.8970249389295477,0.0008539131994527972,303162904
CM201800000017,0.0,12218.799732408375,128657.84116200739,0.0,537.9709875384902,0.0,141414.61188195425,606441174,0.023506087164753407,59067837,0.002110135610292781,604217037,0.0001836605443746853,59064861,0.03150594330080251,470010771,0.008856411264828423,958495437,1.3211271426330369,0.0001836605443746853,604217037
CM201800000018,0.0,3868.519017915295,33556.07945088188,945.8343341554482,1296.0301337988412,0.0,39666.462936751464,742805930,0.22143574081118486,306116378,0.007032441413710028,157283336,0.0002875811168087264,157283328,0.0008255785798178637,157283372,0.007685847658383697,976279321,0.338141131951326,0.0002875811168087264,157283336
CM201800000019,0.0,20403.631167988206,15959.07569770572,0.0,27805.790687431574,0.0,64168.4975531255,605674631,0.10542100747890151,626568862,0.012181867699663625,236989129,0.0016307373416284308,373975512,0.052408771559798596,301646792,0.000656297041945962,756529551,1.264210220681823,0.000656297041945962,301646792
CM201800000020,0.0,10738.493350195451,73521.79671175315,4874.8785444278465,1545.4372696291816,0.0,90680.60587600563,611423884,0.012472218610751193,304236226,0.0006521732593446913,608812898,0.0006521732593446913,276190160,0.003151507260554322,556838344,0.008417627172221808,756529551,0.18745829040732967,0.0006521732593446913,304236226
CM201800000021,63.00430051993687,75821.0334681257,345695.37780492334,7692.175771227263,1132.3705704727927,0.0,430403.961915269,610724652,0.01265957034180286,627061985,0.003626234675877411,611559381,0.00044135834590400524,673511410,0.003176161666706335,610724650,0.01505535551889044,958495174,0.41806564193983825,0.00044135834590400524,611559381
CM201800000022,12.696236717256745,11511.660471043158,94279.29379244665,1911.3469109911812,4475.122455423147,0.0,112190.11986662139,603476521,0.004277299300480674,603476532,0.004033117263701757,336910746,0.0006748007319412263,473891566,0.006751366390733699,603464310,0.002327700106174488,976241935,0.9466986636454037,0.0006748007319412263,336910746
CM201800000024,12.696236717256745,15016.782882354833,96950.82179729672,255.74214025867008,678.5794284659219,0.0,112914.62248509341,603476523,0.0062565260380681165,79639867,0.0007907435205247048,608416586,0.0001952904114053531,518457587,0.010907279062588857,608626509,0.0063266623186220405,976241935,0.9321864575495259,0.0001952904114053531,608416586
CM201800000026,0.0,36269.83334191999,257746.80816458896,1206.0742070993322,1535.9489995876627,0.0,296758.66471319593,938592755,0.03847490941566784,167168003,0.0018234591814804036,610120275,2.299222506960021e-05,358495722,0.007372843623897684,610078110,0.012452544667466927,756529551,0.1709583614899768,2.299222506960021e-05,610120275
CM201800000027,0.0,0.0,18836.927931635946,0.0,9839.510567426294,0.0,28676.438499062242,608379243,0.1407422561155908,79212758,0.0032433178105819387,857151873,0.0005210912822915412,727964968,0.009818560129615317,320458300,0.004370821930892242,803515674,0.08225975911465326,0.0005210912822915412,857151873
CM201800000028,0.0,7197.786975915831,96338.03820553851,562.098960704071,2317.449061872192,0.0,106415.3732040306,448617491,0.06871695412560519,313403320,0.00020714554801537074,607036856,0.0004559527730696079,445369002,0.006735488296509821,490923833,0.0010725065526026368,803515674,0.5858724250190256,0.00020714554801537074,313403320
CM201800000029,0.0,11575.182790473324,16544.426221978632,17267.313777574225,551.7594458632062,0.0,45938.682235889384,628241563,0.1915120601268115,188313120,0.0015984748331414177,848880456,0.0001817304306206299,929592949,0.0016338881745384369,837783768,0.008516548966284258,958495175,0.08847622772658367,0.0001817304306206299,848880456
CM201800000030,0.0,9278.30111709933,33322.0873207222,6369.270853935586,0.0,0.0,48969.65929175712,626124421,0.1182418203588868,317690167,0.0054386227821945155,476436493,0.0002624343113142917,355994231,0.0049411324429226335,357204345,0.01236069237266633,958495437,0.5385432520110379,0.0002624343113142917,476436493
CM201800000031,73.06993336678704,13938.35666389608,160643.35832139087,227.0581981382211,1418.9419810380575,0.0,176300.78509783003,608566612,0.008338129104702609,679282831,0.00026255358294622466,676551148,0.00026255358294622466,613807139,0.007750992984883209,612246144,0.00681718390942785,756529551,0.11808593054915895,0.00026255358294622466,679282831
CM201800000032,0.0,5733.0830404612,111085.34325358711,434.6745255581297,3005.194553486589,0.0,120258.29537309305,606441173,0.038407367221127024,59073117,0.012502887834015255,613038021,0.00031362525367638843,59068459,0.009369540774950056,610215087,0.013236339484083167,958495437,1.282189677326656,0.00031362525367638843,613038021
CM201800000033,0.0,18267.374132550354,25398.11421891623,0.0,0.0,0.0,43665.488351466585,725224947,0.2917049872939352,303177888,0.0036550726982484388,303177897,0.007436857354992989,303177895,0.10242425398629211,649811973,0.06423907520965029,756529551,0.5771710671287362,0.0036550726982484388,303177888
CM201800000034,0.0,13825.243104776422,63841.94848122646,12329.850292357261,15127.642030854926,0.0,105124.68390921508,596673963,0.1745166044786535,345661213,0.02215807335624012,360624005,0.004843224670364856,364430005,0.01592059768377072,362631480,0.004884695653583066,958495437,1.0201363293792196,0.004843224670364856,360624005
CM201800000035,0.0,14061.684264472224,37866.88033088819,1563.051785505425,4237.213092171902,0.0,57728.82947303774,647614711,0.035938559692399806,236562728,0.0007857029606545007,375929431,0.0002532812670091864,1004176945,0.0012916306554913558,317729753,0.0030709757955918716,803515674,0.26235375455694615,0.0002532812670091864,375929431
CM201800000037,0.0,11724.646995142097,2589.201967920511,29902.745090724777,11961.710433237657,0.0,56178.30448702504,622242920,0.19120175609156553,80346624,0.004421224538411197,359172344,0.01021951951265464,359172355,0.004457715873677272,314101768,0.0004643044217971471,803515674,0.29226623112220185,0.0004643044217971471,314101768
CM201800000038,0.0,17522.235225063636,11522.451436832682,0.0,49354.182448493375,0.0,78398.8691103897,611592551,0.22144226154732308,306538731,0.010187078768925108,86387823,0.017696139432277443,732252201,0.04191074652297341,435300011,0.0020323671333169766,958495174,0.14051075004496785,0.0020323671333169766,435300011
CM201800000040,0.0,0.0,27613.722506521997,0.0,9918.001018938152,0.0,37531.72352546015,329695898,0.06408994778239067,338457436,0.002978713672821947,540965755,0.0006707616448939513,971354505,0.0030198898586395943,369082482,0.0025060284098443273,958495437,0.3977914935519719,0.0006707616448939513,540965755
CM201800000041,0.0,20586.88295178944,7083.763321051211,3689.5070198635485,0.0,0.0,31360.1532927042,721542526,0.32896288352783565,600771021,0.007287084284460241,320954030,0.006826460219340035,356063282,0.017313281601498802,356063280,0.03942762484203252,756529551,0.4936906265579916,0.006826460219340035,320954030
CM201800000043,0.0,16094.244010579489,31884.15608863651,2068.821108476616,0.0,0.0,50047.221207692615,630159021,0.22809965210923797,337866106,0.0005462840360376371,189648956,0.0025952176445431466,927440509,0.017877153026979124,227653594,0.013276947265063399,958495182,0.10525972396014999,0.0005462840360376371,337866106
CM201800000044,0.0,7458.652174773328,32862.67815211413,2252.056415704656,9776.184350892792,0.0,52349.571093484905,608379243,0.02663910917770247,605153486,0.0005604681703714282,207209416,0.0005427126749547127,404865222,0.0015136695750650076,207209417,0.0004284269084426716,803515674,0.10467282872002076,0.0004284269084426716,207209417
CM201800000045,0.0,12860.392426306775,8961.914527654979,794.2659972402328,118.26021399162741,0.0,22734.833165193613,228691345,0.13599759740683467,625006769,0.0036894777231450964,380062303,0.0031612641135420117,665886842,0.01847837941301779,379373646,0.015483542825329084,958495437,0.6459151674986924,0.0031612641135420117,380062303
CM201800000046,0.0,0.0,39662.604710621126,0.0,0.0,0.0,39662.604710621126,645152268,0.17840100268353265,320569301,0.0184520324696468,375822032,0.001534069512571319,450223937,0.000981898312357913,375053372,0.000535139015569702,803515674,0.40033731052316074,0.000535139015569702,375053372
CM201800000047,0.0,43787.21767240514,94127.495279542,6116.969879805443,7235.536579286187,0.0,151267.21941103874,610860736,0.08118990554820156,626591268,0.0030773341989052266,226959791,0.0010260495695520113,948435341,0.004217619428092219,701287054,0.0038283895351965565,958495437,0.3812373674810706,0.0010260495695520113,226959791
CM201800000048,0.0,10035.61154800996,730.4075597609656,0.0,16842.84722968271,0.0,27608.866337453634,608379243,0.04568867827828414,371955593,0.0005933470546786728,374593808,0.00659708413021624,450547649,0.015516369312262645,683390936,0.005684093728702281,803515674,0.16990685197170818,0.0005933470546786728,371955593
CM201800000049,192.29114761491752,14335.229947714935,69445.50026209585,72.39255223038568,2745.9914272194587,0.0,86791.40533687556,79212749,0.0008020319081889218,604099940,0.0007618026657917105,307522401,0.001021894761286596,949668526,0.01307015038851114,689129002,0.007691395377946335,976279323,0.6287902451413643,0.0007618026657917105,604099940
CM201800000050,4463.761270882952,28899.292537187084,144652.1463350935,336.1777084790461,14130.739075063862,0.0,192482.11692670648,616984582,0.0023637342656123287,59069380,0.002059555536678179,59072501,3.729206328616753e-05,378675290,0.009528960518246069,59068560,0.006358305934866115,930066956,1.3248440207829197,3.729206328616753e-05,59072501
CM201800000051,7.769587575187625,15818.241401180489,161680.39906739251,1358.6096040305144,1612.1689546574244,0.0,180477.18861483614,613886278,0.00813222969813173,323441042,0.0009994642724977382,611609518,0.00022050367397601536,293010173,0.006617380512572135,762588617,0.005135451584177498,756529551,0.13113086900958143,0.00022050367397601536,611609518
CM201800000052,674.8806198152727,67124.79598326757,108120.83088338957,5907.002441330369,15998.897975487844,0.0,197826.40790329064,614819463,0.0023808541402646722,48801969,9.560071532605358e-05,816266272,0.00017232948670095553,188702648,0.0012988302416042955,199127829,0.00046136310716058315,756529551,0.08583967839266846,9.560071532605358e-05,48801969
CM201800000053,4864.169073099185,55237.882818974016,123037.12905126679,1726.3578370747437,10723.507215818583,0.0,195589.04599623336,649914593,0.006637998874227196,59066829,0.0007473245619533954,616602802,0.00018390425324363958,454491422,0.007070813975709044,791656118,0.00254990216887859,930066956,1.2864127904854228,0.00018390425324363958,616602802
