DHSID,ground_transport_count,air_transport_count,water_transport_count,all_transport_count
CM201800000001,0.0,0.0,0.0,0.0
CM201800000002,0.0,0.0,0.0,0.0
CM201800000003,0.0,0.0,0.0,0.0
CM201800000005,9.0,0.0,0.0,9.0
CM201800000007,0.0,0.0,0.0,0.0
CM201800000008,0.0,0.0,0.0,0.0
CM201800000010,0.0,0.0,0.0,0.0
CM201800000011,0.0,0.0,0.0,0.0
CM201800000012,1.0,0.0,0.0,1.0
CM201800000013,2.0,0.0,0.0,2.0
CM201800000014,0.0,0.0,0.0,0.0
CM201800000015,0.0,1.0,0.0,1.0
CM201800000017,1.0,0.0,0.0,1.0
CM201800000018,0.0,0.0,0.0,0.0
CM201800000019,0.0,1.0,0.0,1.0
CM201800000020,1.0,0.0,0.0,1.0
CM201800000021,0.0,0.0,0.0,0.0
CM201800000022,0.0,0.0,0.0,0.0
CM201800000024,0.0,0.0,0.0,0.0
CM201800000026,0.0,0.0,0.0,0.0
CM201800000027,0.0,0.0,0.0,0.0
CM201800000028,7.0,0.0,0.0,7.0
CM201800000029,0.0,0.0,0.0,0.0
CM201800000030,0.0,0.0,0.0,0.0
CM201800000031,1.0,0.0,0.0,1.0
CM201800000032,0.0,0.0,0.0,0.0
CM201800000033,0.0,0.0,0.0,0.0
CM201800000034,0.0,0.0,0.0,0.0
CM201800000035,0.0,0.0,0.0,0.0
CM201800000037,0.0,0.0,0.0,0.0
CM201800000038,0.0,0.0,0.0,0.0
CM201800000040,0.0,0.0,0.0,0.0
CM201800000041,0.0,0.0,0.0,0.0
CM201800000043,0.0,0.0,0.0,0.0
CM201800000044,0.0,0.0,0.0,0.0
CM201800000045,0.0,0.0,0.0,0.0
CM201800000046,0.0,0.0,0.0,0.0
CM201800000047,1.0,0.0,0.0,1.0
CM201800000048,0.0,0.0,0.0,0.0
CM201800000049,1.0,0.0,0.0,1.0
CM201800000050,1.0,3.0,0.0,4.0
CM201800000051,4.0,0.0,0.0,4.0
CM201800000052,34.0,2.0,0.0,36.0
CM201800000053,5.0,3.0,0.0,8.0
CM201800000054,0.0,0.0,0.0,0.0
CM201800000055,0.0,0.0,0.0,0.0
CM201800000056,7.0,1.0,0.0,8.0
CM201800000058,1.0,0.0,0.0,1.0
CM201800000059,0.0,0.0,0.0,0.0
CM201800000060,1.0,0.0,0.0,1.0
CM201800000061,3.0,0.0,0.0,3.0
CM201800000062,1.0,0.0,0.0,1.0
CM201800000063,3.0,0.0,0.0,3.0
CM201800000064,1.0,1.0,0.0,2.0
CM201800000065,42.0,2.0,0.0,44.0
CM201800000066,1.0,1.0,0.0,2.0
CM201800000067,2.0,0.0,0.0,2.0
CM201800000068,0.0,0.0,2.0,2.0
CM201800000069,0.0,0.0,0.0,0.0
CM201800000070,0.0,0.0,0.0,0.0
CM201800000071,0.0,0.0,0.0,0.0
CM201800000072,6.0,3.0,0.0,9.0
CM201800000073,1.0,0.0,0.0,1.0
CM201800000074,6.0,2.0,0.0,8.0
CM201800000075,0.0,0.0,0.0,0.0
CM201800000077,1.0,0.0,0.0,1.0
CM201800000078,1.0,0.0,0.0,1.0
CM201800000079,0.0,0.0,0.0,0.0
CM201800000080,0.0,0.0,0.0,0.0
CM201800000081,0.0,0.0,0.0,0.0
CM201800000082,0.0,0.0,0.0,0.0
CM201800000083,0.0,0.0,0.0,0.0
CM201800000084,0.0,0.0,0.0,0.0
CM201800000085,0.0,0.0,0.0,0.0
CM201800000086,0.0,0.0,0.0,0.0
CM201800000087,0.0,0.0,0.0,0.0
CM201800000088,0.0,0.0,0.0,0.0
CM201800000089,23.0,0.0,0.0,23.0
CM201800000090,0.0,0.0,0.0,0.0
CM201800000091,1.0,0.0,0.0,1.0
CM201800000092,0.0,0.0,0.0,0.0
CM201800000093,0.0,0.0,0.0,0.0
CM201800000094,1.0,3.0,0.0,4.0
CM201800000095,4.0,0.0,0.0,4.0
CM201800000096,0.0,0.0,0.0,0.0
CM201800000097,0.0,0.0,0.0,0.0
CM201800000098,0.0,0.0,0.0,0.0
CM201800000099,0.0,0.0,0.0,0.0
CM201800000100,0.0,0.0,0.0,0.0
CM201800000101,0.0,0.0,0.0,0.0
CM201800000102,0.0,0.0,0.0,0.0
CM201800000103,0.0,0.0,0.0,0.0
CM201800000105,0.0,0.0,0.0,0.0
CM201800000106,0.0,0.0,0.0,0.0
CM201800000107,1.0,0.0,0.0,1.0
CM201800000108,0.0,0.0,0.0,0.0
CM201800000109,0.0,0.0,0.0,0.0
CM201800000110,7.0,4.0,0.0,11.0
CM201800000112,0.0,4.0,0.0,4.0
CM201800000113,0.0,0.0,0.0,0.0
CM201800000114,0.0,0.0,0.0,0.0
CM201800000115,0.0,0.0,0.0,0.0
CM201800000116,0.0,0.0,0.0,0.0
CM201800000117,7.0,0.0,0.0,7.0
CM201800000118,1.0,0.0,0.0,1.0
CM201800000119,0.0,0.0,0.0,0.0
CM201800000120,0.0,0.0,0.0,0.0
CM201800000121,2.0,0.0,0.0,2.0
CM201800000122,0.0,0.0,0.0,0.0
CM201800000123,0.0,0.0,0.0,0.0
CM201800000125,0.0,0.0,0.0,0.0
CM201800000126,0.0,0.0,0.0,0.0
CM201800000127,0.0,0.0,0.0,0.0
CM201800000128,0.0,0.0,0.0,0.0
CM201800000129,0.0,0.0,0.0,0.0
CM201800000130,0.0,0.0,0.0,0.0
CM201800000132,0.0,0.0,0.0,0.0
CM201800000133,0.0,0.0,0.0,0.0
CM201800000134,0.0,0.0,0.0,0.0
CM201800000135,0.0,0.0,0.0,0.0
CM201800000136,0.0,0.0,0.0,0.0
CM201800000137,0.0,0.0,0.0,0.0
CM201800000138,0.0,0.0,0.0,0.0
CM201800000140,0.0,0.0,0.0,0.0
CM201800000141,0.0,0.0,0.0,0.0
CM201800000143,0.0,0.0,0.0,0.0
CM201800000144,0.0,0.0,0.0,0.0
CM201800000145,0.0,0.0,0.0,0.0
CM201800000146,4.0,1.0,0.0,5.0
CM201800000147,3.0,0.0,0.0,3.0
CM201800000149,15.0,0.0,0.0,15.0
CM201800000150,0.0,0.0,0.0,0.0
CM201800000151,0.0,0.0,0.0,0.0
CM201800000152,0.0,0.0,0.0,0.0
CM201800000153,9.0,3.0,0.0,12.0
CM201800000155,0.0,0.0,0.0,0.0
CM201800000156,0.0,0.0,0.0,0.0
CM201800000157,0.0,0.0,0.0,0.0
CM201800000158,2.0,0.0,0.0,2.0
CM201800000159,3.0,0.0,0.0,3.0
CM201800000160,4.0,0.0,0.0,4.0
CM201800000161,0.0,0.0,0.0,0.0
CM201800000162,1.0,0.0,0.0,1.0
CM201800000163,29.0,0.0,0.0,29.0
CM201800000164,0.0,0.0,0.0,0.0
CM201800000165,0.0,0.0,0.0,0.0
CM201800000166,0.0,0.0,0.0,0.0
CM201800000167,2.0,1.0,0.0,3.0
CM201800000168,0.0,0.0,0.0,0.0
CM201800000169,0.0,0.0,0.0,0.0
CM201800000170,0.0,0.0,0.0,0.0
