wb_aid.na.sum,wdpa_iucn_cat_201704.na.categorical_count,wdpa_iucn_cat_201704.na.categorical_unprotected,wdpa_iucn_cat_201704.na.categorical_ia,wdpa_iucn_cat_201704.na.categorical_ib,wdpa_iucn_cat_201704.na.categorical_ii,wdpa_iucn_cat_201704.na.categorical_iii,wdpa_iucn_cat_201704.na.categorical_iv,wdpa_iucn_cat_201704.na.categorical_v,wdpa_iucn_cat_201704.na.categorical_vi,wdpa_iucn_cat_201704.na.categorical_not_applicable,wdpa_iucn_cat_201704.na.categorical_not_assigned,wdpa_iucn_cat_201704.na.categorical_not_reported,wdpa_iucn_cat_201704.na.categorical_mix,wdpa_iucn_cat_201704.na.count,viirs.2012.mean,viirs.2013.mean,viirs.2014.mean,viirs.2012.min,viirs.2013.min,viirs.2014.min,viirs.2012.max,viirs.2013.max,viirs.2014.max,viirs.2012.median,viirs.2013.median,viirs.2014.median,viirs.2012.sum,viirs.2013.sum,viirs.2014.sum,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2014.mean,udel_precip_v501_sum.2012.sum,udel_precip_v501_sum.2013.sum,udel_precip_v501_sum.2014.sum,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2014.mean,srtm_slope_500m.na.mean,srtm_elevation_500m.na.mean,ltdr_avhrr_ndvi_v5_yearly.2012.mean,ltdr_avhrr_ndvi_v5_yearly.2013.mean,ltdr_avhrr_ndvi_v5_yearly.2014.mean,esa_landcover.2012.categorical_count,esa_landcover.2012.categorical_mosaic_cropland,esa_landcover.2012.categorical_rainfed_cropland,esa_landcover.2012.categorical_urban,esa_landcover.2012.categorical_no_data,esa_landcover.2012.categorical_bare_areas,esa_landcover.2012.categorical_sparse_vegetation,esa_landcover.2012.categorical_water_bodies,esa_landcover.2012.categorical_grassland,esa_landcover.2012.categorical_forest,esa_landcover.2012.categorical_wetland,esa_landcover.2012.categorical_shrubland,esa_landcover.2012.categorical_irrigated_cropland,esa_landcover.2012.categorical_snow_ice,esa_landcover.2013.categorical_count,esa_landcover.2013.categorical_mosaic_cropland,esa_landcover.2013.categorical_rainfed_cropland,esa_landcover.2013.categorical_urban,esa_landcover.2013.categorical_no_data,esa_landcover.2013.categorical_bare_areas,esa_landcover.2013.categorical_sparse_vegetation,esa_landcover.2013.categorical_water_bodies,esa_landcover.2013.categorical_grassland,esa_landcover.2013.categorical_forest,esa_landcover.2013.categorical_wetland,esa_landcover.2013.categorical_shrubland,esa_landcover.2013.categorical_irrigated_cropland,esa_landcover.2013.categorical_snow_ice,esa_landcover.2014.categorical_count,esa_landcover.2014.categorical_mosaic_cropland,esa_landcover.2014.categorical_rainfed_cropland,esa_landcover.2014.categorical_urban,esa_landcover.2014.categorical_no_data,esa_landcover.2014.categorical_bare_areas,esa_landcover.2014.categorical_sparse_vegetation,esa_landcover.2014.categorical_water_bodies,esa_landcover.2014.categorical_grassland,esa_landcover.2014.categorical_forest,esa_landcover.2014.categorical_wetland,esa_landcover.2014.categorical_shrubland,esa_landcover.2014.categorical_irrigated_cropland,esa_landcover.2014.categorical_snow_ice,distance_to_coast_236.na.mean,dist_to_water.na.mean,accessibility_to_cities_2015_v1.0.mean,onshore_petroleum_v12.na.mean,globalwindatlas_windspeed.na.mean,globalsolaratlas_pvout.na.mean,gemdata_201708.na.sum,gdp_grid.na.sum,distance_to_gold_v12.na.mean,distance_to_gemdata_201708.na.mean,distance_to_drugdata_201708.na.mean,dist_to_onshore_petroleum_v12.na.mean,diamond_distance_201708.na.mean,diamond_binary_201708.na.mean,ambient_air_pollution_2013_o3.2013.mean,ambient_air_pollution_2013_fus_calibrated.2013.mean,worldpop_pop_count_1km_mosaic.2012.mean,worldpop_pop_count_1km_mosaic.2013.mean,worldpop_pop_count_1km_mosaic.2014.mean,modis_lst_mod11c3_006_day_annual_mean.2012.mean,modis_lst_mod11c3_006_day_annual_mean.2013.mean,modis_lst_mod11c3_006_day_annual_mean.2014.mean,DHSID
1522603.51629,61,61,0,0,0,0,0,0,0,0,0,0,0,65.7600021362,0.0360031083329,0.0395040022578,0.0435418266829,0.0,0.0,0.0,1.48939538002,1.01625156403,0.906610012054,0.0,0.0,0.0,13.1173477173,14.4329395294,15.934466362,99.8,141.60416666666669,125.00833333333335,NA,NA,NA,26.77083333333334,26.84583333333334,26.94166666666667,0.982975607003,70.9236510395,4952.53984305,4817.36210953,3997.33367453,828,67,758,3,0,0,0,0,0,0,0,0,0,0,828,67,756,5,0,0,0,0,0,0,0,0,0,0,828,67,756,5,0,0,0,0,0,0,0,0,0,0,20423.7978287,20423.8419405,35.1865154751,0.0,3.82286973458,3.49074697965,0.0,26.7540206909,25582.3524242,723788.633836,211384.953814,760539.416659,26698.4936257,0.0,58.7541765165,17.5495460917,62.7026026773,58.4875365456,70.2103007675,299.976596691,301.181835984,300.738792325,GH201400000001
3358123.39901,63,63,0,0,0,0,0,0,0,0,0,0,0,65.75,0.355720933175,0.40805095781,0.416544706097,0.0,0.0,0.0,4.64177513123,4.93094205856,4.2311463356,0.318781077862,0.329139024019,0.334837913513,129.553070068,148.944061279,152.109390259,69.875,43.69166666666668,70.76666666666667,33.53999925032258,20.97199953123927,33.967999240756036,26.975,27.56666666666667,27.56666666666667,2.46564095256,86.1574035028,4739.20913947,5083.03592372,4747.75539261,828,0,827,1,0,0,0,0,0,0,0,0,0,0,828,0,827,1,0,0,0,0,0,0,0,0,0,0,828,0,827,1,0,0,0,0,0,0,0,0,0,0,34034.7564861,34034.7564861,13.1354908859,0.0,3.54901104307,3.65914366661,0.0,40.1709365845,57016.885294,523639.320345,15418.4874746,572441.059758,48860.8498351,0.0,63.8198919615,24.1138321184,310.402985864,297.618838192,321.564647836,303.331249746,304.208509559,302.934944527,GH201400000002
6981231.94403,10,10,0,0,0,0,0,0,0,0,0,0,0,10.9899997711,8.52797938749,10.2500446708,10.447394096,5.9190363884,6.81812477112,7.02390289307,12.0920352936,13.4791688919,14.7126340866,8.33924484253,9.84136295319,10.3082723618,504.512390137,607.392700195,618.919189453,107.9,121.15833333333333,100.84166666666665,NA,NA,NA,26.2,26.11666666666667,26.616666666666667,0.841366260641,263.886309731,3605.43720095,4105.66197876,3783.28831026,133,0,0,133,0,0,0,0,0,0,0,0,0,0,133,0,0,133,0,0,0,0,0,0,0,0,0,0,133,0,0,133,0,0,0,0,0,0,0,0,0,0,183618.247283,102195.930176,0.0,0.0,3.10653695382,3.64798388255,0.0,145.627243042,26764.2034227,625154.180612,27756.6194815,710676.500777,36445.3048835,0.0,67.1700439453,38.7875228892,10361.1103021,10860.6297512,11569.8757728,305.066736412,305.857043796,306.294181341,GH201400000003
847181.547368,9,9,0,0,0,0,0,0,0,0,0,0,0,10.9500007629,5.10250856598,7.16231488219,7.82195646898,1.23337948322,1.77350914478,2.26138162613,9.87314224243,11.9797782898,14.2723588943,4.69577884674,6.93498802185,7.51476669312,301.787414551,423.851379395,462.111633301,69.875,43.69166666666668,70.76666666666667,NA,NA,NA,26.975,27.56666666666667,27.56666666666667,0.425158962879,15.941226926,3085.70930348,2772.07897061,3094.23380817,131,6,63,59,0,0,0,0,0,0,0,3,0,0,131,6,63,59,0,0,0,0,0,0,0,3,0,0,131,6,63,59,0,0,0,0,0,0,0,3,0,0,4598.02296144,4598.02296144,0.139475370255,0.0,4.41344325803,3.8850670526,0.0,19.198261261,86754.421907,538610.665117,42414.8449818,576926.580436,66173.2550244,0.0,62.477532038,20.6426048345,2125.89318567,2283.30322751,2094.47035285,303.166595076,304.483883542,303.032929638,GH201400000004
1402031.31331,64,64,0,0,0,0,0,0,0,0,0,0,0,66.5,0.000116477388647,0.00208482682547,0.000883800062193,0.0,0.0,0.0,0.232925862074,0.640369653702,0.276954621077,0.0,0.0,0.0,0.0269217249006,0.717479526997,0.296578675508,97.40833333333333,71.83888888888889,70.275,35.39999920874834,24.97499944176525,25.115999438613656,28.386111111111113,28.66388888888889,28.549999999999997,1.49944552799,282.87257967,3577.54527575,3455.20220917,3540.97817251,842,121,714,0,0,0,0,0,0,0,0,7,0,0,842,121,714,0,0,0,0,0,0,0,0,7,0,0,842,121,714,0,0,0,0,0,0,0,0,7,0,0,510036.471711,41666.5449734,30.541858201,0.0,4.05337616377,4.27830224903,0.0,2.10624265671,208915.78396,537417.975582,305093.578487,713254.925692,100089.823196,0.0,64.0891778785,29.42787646,120.654657751,121.624609256,126.808276901,306.648955379,309.447324946,308.736001998,GH201400000005
3338795.42173,9,9,0,0,0,0,0,0,0,0,0,0,0,11.0,8.11703339827,9.76230024301,9.68751314854,4.62034082413,5.2744474411,5.53094291687,10.9579496384,12.9863595963,13.215054512,8.52725505829,9.81401348114,9.36529064178,479.29309082,577.002563477,572.194824219,107.9,121.15833333333333,100.84166666666665,12.947999710589647,14.538999675028027,12.100999729521572,26.2,26.11666666666667,26.616666666666667,0.84345968756,276.335903722,4404.65426803,4731.09027937,4417.45408347,133,5,9,102,0,0,0,0,17,0,0,0,0,0,133,5,9,102,0,0,0,0,17,0,0,0,0,0,133,5,9,102,0,0,0,0,17,0,0,0,0,0,180053.644065,96894.5936693,0.0,0.0,3.07468739582,3.63857012322,0.0,111.617355347,28916.3656204,620031.785759,26079.8052618,705003.990623,37497.3749175,0.0,67.2129233228,30.0061648999,6488.97329493,7127.15286729,7316.46021431,304.269714281,303.865476183,304.796904756,GH201400000006
2052512.09658,66,62,0,0,0,0,0,0,0,0,0,4,0,65.7999954224,0.133386954186,0.214026110652,0.158268956126,0.0,0.0,0.0,1.69358587265,2.85869598389,1.917973876,0.0,0.0,0.0,49.3111419678,79.1917724609,58.5272598267,79.89115122952708,105.89309761903543,98.40710475380975,40.951999084651476,52.59799882434309,48.95399890579283,26.94733580050688,27.125116690018487,27.31399779957281,0.87024876667,97.0837128272,5109.6064566,4804.45472046,5683.24592373,835,0,824,11,0,0,0,0,0,0,0,0,0,0,835,0,822,13,0,0,0,0,0,0,0,0,0,0,835,0,822,13,0,0,0,0,0,0,0,0,0,0,35223.0312067,35223.0312067,26.2063358069,0.0,3.7058832123,3.57206487727,0.0,25.7918891907,74262.7268861,613408.316894,100001.534676,658450.487826,51996.6292098,0.0,61.6612390264,43.0908259355,187.036782521,190.991511435,197.127497125,300.187398246,301.064470175,300.337097499,GH201400000007
9828354.71631,10,10,0,0,0,0,0,0,0,0,0,0,0,11.0100002289,11.8701059436,13.3616572711,15.0430526912,8.35221672058,9.72024250031,10.3000421524,18.5323104858,22.2992992401,30.1140918732,11.4390058517,12.7278633118,14.0874137878,700.36114502,788.038330078,886.703125,107.9,121.15833333333333,100.84166666666665,12.947999710589647,14.538999675028027,12.100999729521572,26.2,26.11666666666667,26.616666666666667,0.755406089347,277.590066859,3549.69585422,4071.4292549,3671.3362557,129,0,0,129,0,0,0,0,0,0,0,0,0,0,129,0,0,129,0,0,0,0,0,0,0,0,0,0,129,0,0,129,0,0,0,0,0,0,0,0,0,0,180692.240093,101815.880753,0.0,0.0,3.10463438461,3.63210883292,0.0,316.912139893,24904.6235852,624967.806765,29745.6412404,709742.041703,34183.9016319,0.0,67.1511509693,38.8613813605,12974.5355653,13298.0280196,14347.5530918,305.999360339,307.002700785,307.110476765,GH201400000008
337380.945647,10,10,0,0,0,0,0,0,0,0,0,0,0,10.9699993134,1.82578195458,2.10515066561,1.68544076262,0.262256592512,0.302349299192,0.403599530458,4.37277650833,4.83870792389,3.54969286919,1.48937749863,1.78342080116,1.34703993797,109.151191711,126.039413452,100.754241943,101.575,120.62500000000001,112.71666666666668,NA,NA,NA,26.541666666666668,26.708333333333332,26.925000000000004,0.712031862115,154.451728537,5801.2829508,5819.52544617,5583.01847274,137,0,87,50,0,0,0,0,0,0,0,0,0,0,137,0,85,52,0,0,0,0,0,0,0,0,0,0,137,0,85,52,0,0,0,0,0,0,0,0,0,0,60420.9868794,60420.9868794,0.201153256507,0.0,3.73089633572,3.64643820446,0.0,16.3053321838,48486.176413,617855.177283,102547.653083,670165.870662,42437.4389452,0.0,62.1900233885,20.8085939855,773.127822293,803.272676356,806.273306063,299.994487398,300.84204727,300.281451619,GH201400000009
3259477.79865,64,64,0,0,0,0,0,0,0,0,0,0,0,66.1600036621,0.0640934424571,0.0856502419576,0.0397008075037,0.0,0.0,0.0,1.68185210228,2.51392102242,1.3567647934,0.0,0.0,0.0,23.9936237335,32.0454025269,14.8603887558,104.6,84.05,93.61666666666666,25.103999438881875,20.171999549120667,22.467999497801067,28.449999999999996,28.574999999999996,28.666666666666668,1.03878424932,107.117651754,4530.84659324,4424.67671349,4639.01519113,834,399,304,5,0,0,0,40,0,31,0,54,1,0,834,399,303,6,0,0,0,40,0,31,0,54,1,0,834,399,302,7,0,0,0,40,0,31,0,54,1,0,309150.799987,1188.11775502,32.5671108705,0.0,3.5115105533,3.93643706235,0.0,3.86158871651,268418.996649,433946.352387,134508.886708,582677.302207,218142.051065,0.0,79.4210181844,33.9199102922,142.883514346,152.092125361,148.766129443,303.327762212,304.752560214,304.91071802,GH201400000010
