DHSID,landmark_pois_count,other_pois_count,retail_pois_count,services_pois_count,lodging_pois_count,entertainment_pois_count,food_pois_count,health_pois_count,education_pois_count,all_pois_count
GH201400000001,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0
GH201400000002,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,7.0
GH201400000003,3.0,0.0,7.0,34.0,2.0,14.0,3.0,8.0,10.0,81.0
GH201400000004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
GH201400000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000006,1.0,0.0,1.0,1.0,1.0,19.0,2.0,0.0,2.0,27.0
GH201400000007,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,9.0
GH201400000008,4.0,0.0,36.0,90.0,8.0,50.0,12.0,19.0,25.0,244.0
GH201400000009,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,8.0
GH201400000010,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0
GH201400000011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000012,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,10.0
GH201400000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH201400000017,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,8.0
GH201400000018,5.0,0.0,6.0,29.0,12.0,10.0,10.0,2.0,22.0,96.0
GH201400000019,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0
GH201400000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000022,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0
GH201400000023,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,4.0,13.0
GH201400000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000028,0.0,0.0,13.0,36.0,12.0,11.0,22.0,28.0,21.0,143.0
GH201400000029,1.0,0.0,2.0,3.0,0.0,4.0,2.0,3.0,9.0,24.0
GH201400000030,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0
GH201400000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
