DHSID,residential_buildings_count,residential_buildings_avgarea,residential_buildings_totalarea,residential_buildings_ratio,recreational_buildings_count,recreational_buildings_avgarea,recreational_buildings_totalarea,recreational_buildings_ratio,industrial_buildings_count,industrial_buildings_avgarea,industrial_buildings_totalarea,industrial_buildings_ratio,government_buildings_count,government_buildings_avgarea,government_buildings_totalarea,government_buildings_ratio,religious_buildings_count,religious_buildings_avgarea,religious_buildings_totalarea,religious_buildings_ratio,commercial_buildings_count,commercial_buildings_avgarea,commercial_buildings_totalarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_avgarea,damaged_buildings_totalarea,damaged_buildings_ratio,health_buildings_count,health_buildings_avgarea,health_buildings_totalarea,health_buildings_ratio,education_buildings_count,education_buildings_avgarea,education_buildings_totalarea,education_buildings_ratio,all_buildings_count,all_buildings_avgarea,all_buildings_totalarea,all_buildings_ratio,buffer_area
GH201400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,123.25785320016114,4314.02486200564,5.501620491452653e-05,78413712.26364908
GH201400000002,3.0,193.3728128098746,580.1184384296238,7.3981759271784726e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,292.95819747981096,104586.07650029252,0.0013337727991839655,78413712.26364851
GH201400000003,141.0,246.40805935817917,34743.536369503265,0.0027692491024948105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,597.9335861490608,3587.601516894365,0.00028595138316113737,8.0,170.05188447906997,1360.4150758325598,0.00010843249195198686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,616.1894989540766,1848.5684968622297,0.0001473409786612663,9847.0,158.4811080417605,1560563.4708872158,0.1243854092795792,12546193.962183788
GH201400000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962183516
GH201400000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165.11016823720774,165.11016823720774,2.105628766586946e-06,78413712.26364748
GH201400000006,6.0,249.17526135470163,1495.0515681282097,0.00011916375377541266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.21023567925646,25.21023567925646,2.0093931080010857e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4769.0,169.15663788099454,806708.006054463,0.06429902235578563,12546193.962183552
GH201400000007,1.0,383.88380560128843,383.88380560128843,4.895620861700357e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,577.4105801916593,2309.642320766637,2.9454571835611773e-05,82.0,325.3092720721202,26675.36030991386,0.00034018744349488046,78413712.26364885
GH201400000008,218.0,286.1279369062915,62375.89024557155,0.004971698224464158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,682.4048919198644,17060.12229799661,0.001359784676485846,17.0,3548.894249371352,60331.20223931299,0.00480872545260828,0.0,0.0,0.0,0.0,1.0,3199.495778411925,3199.495778411925,0.000255017241727311,18.0,555.1568783461946,9992.823810231503,0.0007964824902557333,23489.0,142.41872678092113,3345273.4733570563,0.2666365180898899,12546193.96218368
GH201400000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,189.8829770089638,151906.38160717103,0.012107766073523412,12546193.962183613
GH201400000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,97.65489861251999,204001.08320155425,0.002601599609461725,78413712.26364936
