DHSID,minor_roads_count,minor_roads_length,small_roads_count,small_roads_length,nocars_roads_count,nocars_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
GH201400000001,60.0,24060.970563481125,7.0,1476.7483780625616,0.0,0.0,12.0,16262.82342181072,2.0,1066.531229028134,0.0,0.0,527124197,0.001007684826057299,824416553,0.005638746228472553,823986269,0.0036664702548571586,208053133,0.00019486304530067527,635169629,0.15981849488019118,823984264,0.0035172083172933443,42867.07359238255,81.0,0.00019486304530067527
GH201400000002,733.0,139778.76866262525,36.0,20841.29247565986,4.0,15658.685123745783,30.0,82423.11994630448,4.0,2108.5367886124577,0.0,0.0,493127206,0.0008709752459133956,751650779,0.002944160683275617,634730898,0.031019633592379022,380148068,0.017593626843711015,638128165,0.04830811760691401,771693297,0.12965129473197975,260810.40299694784,807.0,0.0008709752459133956
GH201400000003,1031.0,607317.394558533,9.0,2599.919352871339,13.0,23606.187086598024,32.0,69765.85405788342,4.0,2305.63848056372,0.0,0.0,253024945,0.003891917661062547,510132894,0.008163160236828388,903044316,0.06757827724265661,400313751,0.01692839413912847,633142611,0.3238701693992031,803089968,0.1354539026394001,705594.9935364495,1089.0,0.003891917661062547
GH201400000004,978.0,351014.4760873131,28.0,17617.52815511772,13.0,3335.8660466922925,13.0,102643.94172026924,1.0,159.8790138510537,0.0,0.0,195530030,0.013674321254855622,903866161,0.04933953702752973,903866175,0.05032491979627153,37708641,0.013608415408424529,907245312,0.4493255724189157,970919733,0.2414466493119724,474771.69102324336,1033.0,0.013608415408424529
GH201400000005,8.0,1463.885249104814,1.0,86.77030585652088,0.0,0.0,8.0,2718.8938458627063,0.0,0.0,0.0,0.0,631030389,0.00011894463994133623,734285440,0.003351374198025772,628820770,0.010123909559104582,4816054,0.0036258347240026374,154767654,0.0429647636617526,823983968,0.23344057858354744,4269.549400824041,17.0,0.00011894463994133623
GH201400000006,700.0,469743.4902276803,45.0,17232.344520255763,56.0,29620.82387285697,41.0,47103.065638545995,1.0,1344.7529752811474,0.0,0.0,127816999,0.3984431965273942,158741879,0.4025166713479749,791478831,0.400990288970557,158033797,0.3946710293345284,524866827,0.4578712050832358,970919733,1.062491565827174,565044.4772346201,843.0,0.3946710293345284
GH201400000007,29.0,20664.320746409354,4.0,2764.106568577566,4.0,3628.4555576168827,5.0,963.4627715705545,0.0,0.0,0.0,0.0,512522458,0.24435351337770664,409967413,0.31710938767196395,996635593,0.3639213099119025,251145684,0.2939866520742553,907245311,0.4038353913464948,970919733,0.8206068949097665,28020.345644174355,42.0,0.24435351337770664
GH201400000008,875.0,475424.7484146919,80.0,42695.956332149544,87.0,127667.80954973736,105.0,132248.16818465912,19.0,6397.395026977266,0.0,0.0,526171436,0.0018788695339987868,930610636,0.024743649923636684,526171432,0.001447340843953723,321547365,0.0026161645332000243,626959762,0.0915194391904432,824265416,0.17183994417453177,784434.0775082152,1166.0,0.001447340843953723
GH201400000009,521.0,161927.73047888503,11.0,7874.482597753113,16.0,5167.22414117486,4.0,15611.54602081406,0.0,0.0,0.0,0.0,127816999,0.36607027840253176,930713780,0.3702779638485774,559136096,0.36912496151984425,158033797,0.35829554501447297,524866827,0.4221319892640887,970919733,1.1523245892372014,190580.9832386271,552.0,0.35829554501447297
GH201400000010,41.0,13575.549204369745,0.0,0.0,5.0,1524.2146820477224,5.0,24653.67277792123,0.0,0.0,0.0,0.0,316839076,0.0022985353412811583,791770487,0.0009320455657575071,510346203,0.0018349401812986276,166303683,0.008887025520335108,633142611,0.38172927182564914,803089968,0.06783400306364973,39753.4366643387,51.0,0.0009320455657575071
GH201400000011,34.0,6882.73743987127,198.0,194917.78158697928,99.0,188429.2519682151,7.0,4958.886534507041,0.0,0.0,0.0,0.0,643047041,0.0014363490615007793,642954619,0.0028486681602687704,643047046,0.010597651086672885,524804769,0.00625326771425433,406670295,0.20026355778276883,721917270,0.4178940140342816,395188.6575295727,338.0,0.0014363490615007793
GH201400000012,304.0,65120.22519072516,3.0,1868.1805715685477,0.0,0.0,7.0,25538.201647569935,0.0,0.0,0.0,0.0,518169807,0.006794225007257833,518169814,0.025021385715757165,309110092,0.02480143636549944,309110100,0.06673058850758391,638766989,0.10786085138888375,823977361,0.4584144807863338,92526.60740986365,314.0,0.006794225007257833
GH201400000013,0.0,0.0,0.0,0.0,0.0,0.0,2.0,701.6186613692445,0.0,0.0,0.0,0.0,996635615,0.048358932889813085,972390512,0.0572039035248583,892415735,0.13519822906311466,299819906,0.009354798543347958,907245305,0.09407057317950655,970919733,0.7714545848347321,701.6186613692445,2.0,0.009354798543347958
GH201400000014,27.0,8329.013683125382,1.0,363.1468906089964,0.0,0.0,3.0,1323.4906190426864,0.0,0.0,0.0,0.0,373861308,0.3249067166905142,406552356,0.34464118448536796,888163508,0.36586799954995336,645100539,0.29567338903282936,620772046,0.569585787664701,914670210,0.9736977274077037,10015.651192777064,31.0,0.29567338903282936
GH201400000015,31.0,8064.31697958816,1.0,155.9955373426249,0.0,0.0,8.0,29845.063194878905,0.0,0.0,0.0,0.0,168447762,0.3641167562931964,637698339,0.35900642269653665,336086072,0.36502645132949735,168515377,0.3644565689429907,637771084,0.3672334387032169,914670210,0.45068350316814854,38065.37571180969,40.0,0.35900642269653665
GH201400000016,18.0,35581.78700764635,0.0,0.0,0.0,0.0,3.0,3586.9307798718896,0.0,0.0,0.0,0.0,80234497,0.13904341143753055,819088507,0.18676009514839367,42682791,0.18717421470704973,75570956,0.19928723232689113,976237866,0.20763465824888558,803090528,0.8494214816255754,39168.71778751824,21.0,0.13904341143753055
GH201400000017,275.0,71999.92850440608,2.0,2880.1468641862157,0.0,0.0,9.0,2160.3514250526596,0.0,0.0,0.0,0.0,401798948,0.5709076046380381,410879439,0.5819789361836292,771467547,0.6008215627852315,372533223,0.584727041981934,524866827,0.8218509241900072,970919733,0.9140463878175001,77040.42679364496,286.0,0.5709076046380381
GH201400000018,881.0,964644.5766181004,51.0,254165.1255700581,29.0,21315.523042876313,17.0,17870.31550432974,1.0,348.3362372499444,0.0,0.0,515021291,0.0008035854078002321,289104860,0.010363195225456874,944005083,0.031656459143520006,169253519,0.0014654963433488664,638292074,0.028664439997808634,943987778,0.07988275013754491,1258343.8769726143,979.0,0.0008035854078002321
GH201400000019,196.0,42411.314636191084,2.0,461.3910959453283,4.0,2751.397375671846,6.0,1489.0752960764223,0.0,0.0,0.0,0.0,168410813,0.0008611144629546044,665266525,0.01398029094100467,637096359,0.024321860261663362,967482392,0.0008476638844255538,628103138,0.028001788969537252,943987778,0.05230496036237791,47113.17840388468,208.0,0.0008476638844255538
GH201400000020,44.0,11438.620349839817,29.0,48148.460887132074,13.0,88965.29030638377,6.0,1744.1139227646058,0.0,0.0,0.0,0.0,541575473,0.031807160101188496,541581137,0.025025255101470897,383498401,0.05951680391575369,325326000,0.02723800444406208,579642948,0.06561129331505418,914670210,1.1399822576500223,150296.48546612027,92.0,0.025025255101470897
GH201400000021,3.0,426.9233072739483,1.0,195.11138773511382,0.0,0.0,4.0,709.7244909862429,0.0,0.0,0.0,0.0,333978023,0.002666083209496902,171574416,0.018982722672949176,629129452,0.06379620849432338,639314923,0.0021698851454740177,635469721,0.09527855216315835,823974049,0.19856603169498038,1331.759185995305,8.0,0.0021698851454740177
GH201400000022,19.0,8567.610200670482,3.0,980.2847302301498,6.0,2806.0276748619467,7.0,9060.947276921808,0.0,0.0,0.0,0.0,620242274,0.008732024874493562,504416600,0.0579194529144542,548753709,0.027933049971382688,447520536,0.006829255818270859,626806582,0.03360216760912594,943987778,0.5343629708401594,21414.869882684387,35.0,0.006829255818270859
GH201400000023,793.0,194595.53753979193,11.0,97726.39415781967,11.0,93165.12044710481,14.0,11290.751653428788,2.0,261.2466852960145,0.0,0.0,170138752,0.009969193386128587,509733322,0.022678719119448333,917502356,0.047330584537401056,164461571,0.020425777087161746,631768906,0.19481971650510435,721917270,0.23735396879004497,397039.05048344115,831.0,0.009969193386128587
GH201400000024,6.0,50718.938199234915,4.0,1059.2258350288728,0.0,0.0,1.0,677.4725068697318,0.0,0.0,0.0,0.0,201761871,0.0006954758953097032,803470304,0.01232117244778357,816872212,0.08494178863480252,171841838,0.00620650462320446,517826764,0.26422095405395407,904290944,0.38870931682657334,52455.63654113352,11.0,0.0006954758953097032
GH201400000025,83.0,29896.36662647956,1.0,287.2492601304356,0.0,0.0,7.0,20128.250655303502,0.0,0.0,0.0,0.0,492609733,0.592782509721662,1002823620,0.5933889055524693,559136096,0.5913528770450246,158033797,0.5825055801083387,524866827,0.6362795219790971,970919733,1.2155764732071606,50311.8665419135,91.0,0.5825055801083387
GH201400000026,21.0,5836.055821632226,0.0,0.0,0.0,0.0,5.0,1709.5802370401273,0.0,0.0,0.0,0.0,127816999,0.2054623894974651,158741879,0.2096769070216762,254091470,0.2090166700221477,158033797,0.19916374545609417,524866827,0.2633833733299004,970919733,1.2601074206117708,7545.636058672353,26.0,0.19916374545609417
GH201400000027,17.0,4017.027047924813,4.0,1558.3021839734783,34.0,128136.93832573248,6.0,14904.3952014468,0.0,0.0,0.0,0.0,171768092,0.013400556610302546,1008021973,0.008201514735824176,764230115,0.07021618556847418,171768101,0.009410381562397273,628318515,0.08272303427830431,771693297,0.24326603734131894,148616.6627590776,61.0,0.008201514735824176
GH201400000028,4919.0,4224455.512598859,718.0,674926.120771182,106.0,142953.079450695,59.0,127652.59272930864,14.0,4215.610865309134,0.0,0.0,201572750,0.0024007624276118707,1008792531,0.018694762403886758,723823017,0.01289757712859847,194807673,0.03334198913690237,620772046,0.1722737013397243,721917270,0.6432875245575044,5174202.916415353,5816.0,0.0024007624276118707
GH201400000029,726.0,261453.8198474328,22.0,13317.082983680122,11.0,14859.124505697475,8.0,7640.673286686649,0.0,0.0,0.0,0.0,380800060,0.00045033728727875334,887046853,0.00994494583215139,887046860,0.025175041203371835,637587374,0.004671281264447775,448384120,0.04625659606913185,943987778,0.09628537720946373,297270.700623497,767.0,0.00045033728727875334
GH201400000030,32.0,19609.124477191606,0.0,0.0,0.0,0.0,7.0,5102.906081132091,0.0,0.0,0.0,0.0,519990206,0.025895740020135175,903043441,0.0933709259428275,518320441,0.09822796663590823,33821189,0.07997909053061432,635177485,0.2810985071093185,803088943,0.29890360041386,24712.0305583237,39.0,0.025895740020135175
GH201400000031,4.0,554.4814007521572,8.0,2452.495766479254,14.0,75138.08491109643,5.0,2251.8869005803463,0.0,0.0,0.0,0.0,621050228,0.002619400274726571,802442879,0.03480073867509388,627708595,0.0046338805580283,169390677,0.0029970482800648684,633243539,0.10081284154218191,721917270,0.08289057737885297,80396.94897890819,31.0,0.002619400274726571
GH201400000032,33.0,8793.94690292705,2.0,226.44828113408937,0.0,0.0,11.0,2287.1297014064507,0.0,0.0,0.0,0.0,127816999,0.5790415744642716,158741879,0.5832641972588148,559136096,0.5825332234212701,158033797,0.5716658731303292,524866827,0.6356428521307264,970919733,0.9853513460448547,11307.52488546759,46.0,0.5716658731303292
GH201400000033,64.0,26498.52973974403,2.0,458.86258256775847,1.0,66.99277672699017,9.0,61405.96076969341,0.0,0.0,0.0,0.0,314264841,0.028592349830521457,629345577,0.15230917880443037,622577717,0.19603300201121568,37287342,0.09611739955330541,620772046,0.22899568773654363,904290923,0.6809143196028623,88430.3458687322,76.0,0.028592349830521457
GH201400000034,12.0,3527.0037549362164,5.0,4462.371893060408,0.0,0.0,1.0,299.49316247052457,0.0,0.0,0.0,0.0,202252637,0.018198110751919655,943034384,0.05378091058505956,382748522,0.11347189425852777,515777889,0.00962902605927487,638291644,0.09237997671642799,914670210,0.42178033021830863,8288.86881046715,18.0,0.00962902605927487
GH201400000035,564.0,230486.23723878284,227.0,171106.4401232223,29.0,12470.645067067016,66.0,117997.43525085783,15.0,9304.948335006486,0.0,0.0,409967403,0.21304126474114604,409967413,0.219354460261534,996635593,0.29986082499542316,30699262,0.2494237976803237,976237866,0.34121078775190905,803090528,1.0106592465616315,541365.7060149364,901.0,0.21304126474114604
GH201400000036,100.0,19594.96800471672,0.0,0.0,0.0,0.0,12.0,3596.091805065,0.0,0.0,0.0,0.0,1006396952,0.0028347518815760933,1008402770,0.004461192142653796,828888120,0.016622553947237332,37805548,0.0030704831222614875,591053307,0.014601270122536624,943987778,0.1706839099945106,23191.05980978172,112.0,0.0028347518815760933
GH201400000037,8.0,3472.0260451554464,1.0,396.1145934149284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507184886,0.0029454920861199762,856390143,0.02140123924091049,943962998,0.05775112484011368,206125060,0.009496835929250044,528248598,0.12248542996844224,904290917,0.5354247753063728,3868.140638570375,9.0,0.0029454920861199762
GH201400000038,713.0,445681.58138781245,10.0,3132.583286328684,5.0,1173.777828298158,35.0,88380.50956088242,2.0,720.726108399554,0.0,0.0,383495150,0.3904935223665882,158741879,0.4164494875041645,791478831,0.4109817422751649,587303596,0.39962614347175596,524866827,0.45989428209463257,970919733,1.060916367733783,539089.1781717213,765.0,0.3904935223665882
GH201400000039,533.0,120823.94703080168,3.0,1224.1083869512545,7.0,1742.4179433409636,8.0,14382.869853322887,0.0,0.0,0.0,0.0,256576634,0.00042747633693791196,632030495,0.003705479554859117,630263427,0.006099370435507918,630263448,0.0015425451750840978,636925456,0.00462909774437941,823983968,0.20772561876751325,138173.34321441676,551.0,0.00042747633693791196
GH201400000040,23.0,5089.508713963106,0.0,0.0,0.0,0.0,2.0,549.0301205378398,0.0,0.0,0.0,0.0,506215375,0.009497706046160808,345986501,0.07145749937776945,527657205,0.051043401765180005,345987605,0.01984344728407329,637341465,0.2717216185659862,803092490,0.7300261689054329,5638.538834500946,25.0,0.009497706046160808
