DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
GN201800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,272.93265758475644,272.93265758475644,2.175421951927553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.24674836649344,32.24674836649344,2.5702414982336565e-06,29.0,2974.8929500089853,102.58251551755122,0.00023711517285447453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,17493.857332226784,48.325572740957966,0.0013943557213411467,393.0,20773.929688187018,52.859871980119635,0.0016557953552131304
GN201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,38199.05045757955,42.44338939731061,0.0004871475836923059,900.0,38199.05045757955,42.44338939731061,0.0004871475836923059
GN201800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,35451.37020180964,43.3390833762954,0.00045210677033900105,818.0,35451.37020180964,43.3390833762954,0.00045210677033900105
GN201800000005,2.0,703.4836558389424,351.7418279194712,5.607147936333205e-05,0.0,0.0,0.0,0.0,9.0,6435.990817415642,715.1100908239601,0.0005129835260649405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1370.7743941832196,152.30826602035773,0.0001092581860534728,0.0,0.0,0.0,0.0,17.0,8648.074547754915,508.710267514995,0.0006892986489625193,448.0,59393.359676422304,132.57446356344263,0.004733974291760822,485.0,76551.68309161502,157.8385218383815,0.006101586132205087
GN201800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,600.0570320494857,100.00950534158095,7.652450250434964e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,13580.121381792324,20.08893695531409,0.00017318554357090459,682.0,14180.17841384181,20.792050460178608,0.00018083799382133953
GN201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1695.421486678056,154.12922606164145,2.1621492437159323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,3589.877568382546,24.75777633367273,4.5781247498044785e-05,156.0,5285.299055060602,33.88012214782437,6.74027399352041e-05
GN201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,376.7868739332871,125.59562464442904,4.805114603762535e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,376.7868739332871,125.59562464442904,4.805114603762535e-06
GN201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,497.62984342099014,124.40746085524754,6.3462094709636975e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,841.5929841555645,18.29549965555575,1.0732727221559083e-05,50.0,1339.2228275765547,26.784456551531093,1.707893669252278e-05
GN201800000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.20258588456427,68.20258588456427,8.697788169401823e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,208.25396988319028,20.825396988319028,2.655836127015418e-06,11.0,276.45655576775454,25.132414160704958,3.5256149439556e-06
GN201800000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,141.94460594726797,47.31486864908933,1.8102013263957196e-06,3.0,141.94460594726797,47.31486864908933,1.8102013263957196e-06
GN201800000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,523.7522927554712,523.7522927554712,4.174591069882579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1667.3090644239699,1667.3090644239699,0.00013289361454553504,142.0,11684.479473408432,82.28506671414388,0.0009313166613418627,0.0,0.0,0.0,0.0,19.0,7107.751572690771,374.0921880363564,0.0005665265174533937,258.0,35705.52254710578,138.39349824459603,0.0028459246409491116,421.0,56688.814950384425,134.65276710305088,0.004518407344988729
