DHSID,food_pois_count,entertainment_pois_count,services_pois_count,retail_pois_count,landmark_pois_count,lodging_pois_count,health_pois_count,education_pois_count,all_pois_count
GN201800000001,16.0,2.0,547.0,52.0,3.0,4.0,2.0,5.0,631.0
GN201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000003,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,10.0
GN201800000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
GN201800000005,53.0,84.0,81.0,122.0,5.0,10.0,62.0,58.0,475.0
GN201800000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
GN201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GN201800000014,21.0,14.0,19.0,28.0,5.0,2.0,47.0,49.0,185.0
GN201800000015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
GN201800000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
GN201800000018,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
GN201800000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000020,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GN201800000021,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0
GN201800000022,21.0,12.0,27.0,31.0,4.0,5.0,47.0,61.0,208.0
GN201800000023,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
GN201800000024,0.0,6.0,6.0,1.0,0.0,1.0,1.0,3.0,18.0
GN201800000025,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,11.0
GN201800000026,0.0,3.0,8.0,1.0,1.0,0.0,1.0,10.0,24.0
GN201800000027,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
GN201800000028,11.0,8.0,19.0,9.0,4.0,3.0,4.0,7.0,65.0
GN201800000029,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
GN201800000030,0.0,0.0,6.0,1.0,1.0,0.0,2.0,8.0,18.0
GN201800000031,7.0,5.0,2.0,12.0,9.0,1.0,18.0,41.0,95.0
GN201800000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000034,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0
GN201800000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000036,12.0,33.0,5.0,3.0,0.0,4.0,2.0,9.0,68.0
GN201800000037,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,8.0
GN201800000038,3.0,2.0,31.0,5.0,0.0,4.0,1.0,11.0,57.0
GN201800000039,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0
GN201800000040,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0
GN201800000041,20.0,26.0,30.0,41.0,2.0,9.0,52.0,39.0,219.0
GN201800000042,54.0,94.0,81.0,122.0,5.0,9.0,61.0,59.0,485.0
GN201800000043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0
GN201800000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
GN201800000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000047,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,8.0
GN201800000048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000049,15.0,2.0,412.0,40.0,5.0,3.0,2.0,6.0,485.0
GN201800000050,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0
GN201800000051,1.0,8.0,1.0,1.0,0.0,1.0,1.0,4.0,17.0
GN201800000052,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,9.0
GN201800000053,7.0,9.0,1.0,8.0,2.0,1.0,15.0,30.0,73.0
GN201800000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000056,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
GN201800000057,21.0,13.0,22.0,13.0,0.0,4.0,48.0,51.0,172.0
GN201800000058,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GN201800000059,19.0,16.0,26.0,5.0,2.0,5.0,36.0,36.0,145.0
GN201800000060,31.0,8.0,138.0,56.0,0.0,2.0,7.0,10.0,252.0
GN201800000061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000062,21.0,17.0,27.0,31.0,5.0,5.0,54.0,65.0,225.0
GN201800000063,51.0,102.0,9.0,12.0,1.0,8.0,27.0,29.0,239.0
GN201800000064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
GN201800000065,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,9.0
GN201800000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000067,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0
GN201800000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000069,0.0,4.0,2.0,1.0,0.0,0.0,0.0,6.0,13.0
GN201800000070,2.0,4.0,6.0,4.0,0.0,0.0,1.0,1.0,18.0
GN201800000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000073,5.0,5.0,4.0,3.0,1.0,5.0,11.0,17.0,51.0
GN201800000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000075,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0
GN201800000076,7.0,8.0,6.0,2.0,3.0,5.0,1.0,3.0,35.0
GN201800000077,13.0,13.0,18.0,6.0,1.0,2.0,23.0,29.0,105.0
GN201800000078,3.0,2.0,33.0,14.0,0.0,0.0,1.0,2.0,55.0
GN201800000079,3.0,0.0,15.0,3.0,0.0,0.0,0.0,5.0,26.0
GN201800000080,2.0,8.0,9.0,4.0,2.0,6.0,8.0,2.0,41.0
GN201800000081,6.0,2.0,13.0,10.0,5.0,1.0,4.0,4.0,45.0
GN201800000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
GN201800000083,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
GN201800000084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
GN201800000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000086,8.0,5.0,2.0,9.0,8.0,1.0,18.0,32.0,83.0
GN201800000087,0.0,1.0,3.0,2.0,0.0,4.0,1.0,2.0,13.0
GN201800000088,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0
GN201800000089,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,9.0
GN201800000090,6.0,6.0,3.0,11.0,0.0,1.0,1.0,3.0,31.0
GN201800000091,1.0,1.0,108.0,4.0,0.0,0.0,0.0,7.0,121.0
GN201800000092,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0
GN201800000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000095,8.0,0.0,138.0,19.0,0.0,0.0,0.0,11.0,176.0
GN201800000096,1.0,3.0,23.0,0.0,4.0,0.0,0.0,4.0,35.0
GN201800000097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000101,4.0,2.0,6.0,1.0,1.0,1.0,2.0,7.0,24.0
GN201800000102,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0
GN201800000103,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
GN201800000104,70.0,46.0,80.0,26.0,15.0,19.0,42.0,27.0,325.0
GN201800000105,5.0,8.0,16.0,8.0,4.0,0.0,4.0,5.0,50.0
GN201800000106,4.0,3.0,6.0,1.0,3.0,1.0,2.0,12.0,32.0
GN201800000107,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
GN201800000108,5.0,5.0,0.0,2.0,0.0,3.0,0.0,2.0,17.0
GN201800000109,18.0,2.0,569.0,50.0,4.0,4.0,2.0,8.0,657.0
GN201800000110,10.0,3.0,7.0,12.0,0.0,0.0,13.0,12.0,57.0
GN201800000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000115,0.0,3.0,0.0,0.0,2.0,2.0,0.0,6.0,13.0
GN201800000116,6.0,3.0,298.0,16.0,1.0,3.0,4.0,8.0,339.0
GN201800000117,5.0,3.0,0.0,6.0,1.0,2.0,14.0,19.0,50.0
GN201800000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000119,1.0,3.0,8.0,2.0,0.0,2.0,0.0,4.0,20.0
GN201800000120,6.0,4.0,17.0,10.0,2.0,0.0,4.0,6.0,49.0
GN201800000121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000123,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
GN201800000124,10.0,0.0,53.0,15.0,0.0,0.0,0.0,14.0,92.0
GN201800000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000127,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
GN201800000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
GN201800000130,19.0,13.0,19.0,31.0,4.0,3.0,42.0,41.0,172.0
GN201800000131,2.0,4.0,0.0,0.0,0.0,2.0,6.0,2.0,16.0
GN201800000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000133,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0
GN201800000134,46.0,71.0,32.0,34.0,6.0,6.0,52.0,67.0,314.0
GN201800000135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000136,8.0,10.0,10.0,0.0,1.0,2.0,5.0,6.0,42.0
GN201800000137,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
GN201800000138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
GN201800000140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000141,42.0,41.0,12.0,16.0,3.0,1.0,44.0,43.0,202.0
GN201800000142,0.0,3.0,11.0,2.0,3.0,1.0,1.0,7.0,28.0
GN201800000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000146,1.0,5.0,6.0,4.0,0.0,2.0,1.0,16.0,35.0
GN201800000147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
GN201800000148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000150,0.0,3.0,13.0,3.0,1.0,1.0,1.0,1.0,23.0
GN201800000151,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0
GN201800000152,8.0,0.0,39.0,12.0,0.0,0.0,1.0,5.0,65.0
GN201800000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GN201800000154,13.0,11.0,20.0,8.0,4.0,4.0,3.0,9.0,72.0
GN201800000155,0.0,16.0,6.0,0.0,3.0,7.0,2.0,12.0,46.0
GN201800000156,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0
GN201800000157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
GN201800000158,0.0,5.0,1.0,0.0,4.0,0.0,0.0,1.0,11.0
GN201800000159,12.0,9.0,18.0,14.0,2.0,2.0,38.0,43.0,138.0
GN201800000160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000161,2.0,4.0,1.0,6.0,1.0,0.0,7.0,14.0,35.0
GN201800000162,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0
GN201800000163,2.0,4.0,6.0,4.0,0.0,0.0,1.0,1.0,18.0
GN201800000164,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0
GN201800000165,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,7.0
GN201800000166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000167,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0
GN201800000168,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
GN201800000169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000171,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
GN201800000172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000174,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,7.0
GN201800000175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
GN201800000176,3.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,11.0
GN201800000177,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
GN201800000178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000180,3.0,2.0,1.0,3.0,0.0,3.0,3.0,11.0,26.0
GN201800000181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
GN201800000183,0.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,9.0
GN201800000184,0.0,6.0,6.0,0.0,0.0,1.0,4.0,6.0,23.0
GN201800000185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000186,7.0,8.0,19.0,14.0,1.0,2.0,7.0,16.0,74.0
GN201800000187,17.0,24.0,19.0,25.0,6.0,2.0,50.0,48.0,191.0
GN201800000188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000189,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
GN201800000190,1.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,15.0
GN201800000191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
GN201800000192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000197,25.0,20.0,24.0,28.0,0.0,6.0,50.0,47.0,200.0
GN201800000198,0.0,5.0,11.0,1.0,0.0,2.0,3.0,6.0,28.0
GN201800000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000200,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,7.0
GN201800000201,59.0,109.0,73.0,77.0,7.0,13.0,78.0,91.0,507.0
GN201800000202,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0
GN201800000203,1.0,1.0,5.0,0.0,2.0,0.0,4.0,3.0,16.0
GN201800000204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000205,1.0,0.0,34.0,11.0,0.0,0.0,0.0,2.0,48.0
GN201800000206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000207,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
GN201800000208,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
GN201800000209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000210,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,8.0
GN201800000211,11.0,1.0,86.0,6.0,0.0,3.0,1.0,8.0,116.0
GN201800000212,24.0,13.0,22.0,15.0,0.0,4.0,49.0,51.0,178.0
GN201800000213,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,10.0
GN201800000214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000216,4.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,9.0
GN201800000217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
GN201800000219,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GN201800000220,14.0,5.0,385.0,35.0,5.0,3.0,2.0,7.0,456.0
GN201800000221,0.0,4.0,2.0,1.0,0.0,0.0,0.0,6.0,13.0
GN201800000222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000224,17.0,18.0,13.0,20.0,3.0,1.0,40.0,43.0,155.0
GN201800000225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
GN201800000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GN201800000228,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
GN201800000229,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0
GN201800000230,11.0,8.0,2.0,11.0,2.0,1.0,23.0,34.0,92.0
