DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
GN201800000001,0.0,3667.458420016855,61909.54586385921,18328.22492683924,14184.098921755129,0.0,98089.32813247043,631305208,0.8266688438037116,238481676,0.006715140581413967,271402444,0.00040621788291967135,271666045,0.005056349842419266,271443056,0.00048793859651446786,628102903,0.6106823326837666,0.00040621788291967135,271402444
GN201800000002,0.0,0.0,14949.61226506276,117.68799346451745,669.3293432334318,0.0,15736.62960176071,631305208,0.18686211158753963,253824920,0.0028179123701567244,253824849,0.00037452241953297993,313035756,0.0003291270980574669,313080124,0.0029347828451569183,708051075,0.9478030663865615,0.0003291270980574669,313035756
GN201800000003,0.0,17285.234347138685,6321.9715776804005,21851.536982960653,6885.133938571949,0.0,52343.87684635169,271880170,0.30981585195547673,253759128,0.007239987863301168,318499664,0.00826959697598514,318499665,0.011990614960590501,318499683,0.008418486812854087,641386832,0.7549714994280129,0.007239987863301168,253759128
GN201800000004,0.0,9977.407373784063,12326.588482624493,0.0,0.0,0.0,22303.995856408554,271880170,0.11968038107342581,686662758,0.007257012574567563,312020919,0.00514783627373658,314503285,0.0006563645589705744,313539872,0.005153739975426789,641386832,0.6824596653762469,0.0006563645589705744,314503285
GN201800000005,1898.701030705849,32642.64961737399,65850.25141787413,2225.012233932716,18350.279474296527,0.0,120966.8937741832,174022910,0.0025223271178159788,605957605,0.0010233981771554266,38894770,0.00011935569735511365,505453916,0.0011591616654391664,547783360,0.001719931583006663,443341793,0.45706060673347365,0.00011935569735511365,38894770
GN201800000006,0.0,18314.577522408672,36458.0108700101,28036.021786781548,95951.26616136513,0.0,178759.87634056545,688882441,0.4216149251213267,542054600,0.010115325690909716,689618577,0.010756027204041714,689163147,0.010088527742553872,689633584,0.0003145461339793644,305322966,0.15034678433865514,0.0003145461339793644,689633584
GN201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688882441,0.3455650261085077,692717585,0.07538903279078152,692541947,0.066964724584672,305329487,0.053505958521550025,305329489,0.0519345721400411,305322966,0.29766786702300113,0.0519345721400411,305329489
GN201800000008,0.0,7898.20635226623,46418.4682164079,1898.052187426557,15091.951751193163,0.0,71306.67850729384,332995896,0.19272917064794043,660483910,0.007800066479652029,334910833,0.002360382837065487,338791571,0.003747289059865819,334910815,0.007958110524150894,790577733,0.1816657186722664,0.002360382837065487,334910833
GN201800000009,0.0,5434.051215445068,38631.04779858941,36631.213208062734,16033.81978085441,0.0,96730.13200295162,690287042,0.2559849022417235,328380422,0.034679635594741826,328448384,0.012276839909857158,328447092,0.01248882567688667,328681613,0.010734255533021594,708051075,0.3047371019076502,0.010734255533021594,328681613
GN201800000010,0.0,0.0,0.0,11556.62155877724,48067.50397827297,0.0,59624.12553705021,270392552,0.15236791236684968,328864716,0.11729187022857783,328730673,0.07713956714659724,328324261,0.006217255526869828,328324258,0.0008515216309550457,708051075,0.30162391518400344,0.0008515216309550457,328324258
GN201800000011,0.0,17938.375361209088,25569.825536188742,5165.048081963214,4563.043709213833,0.0,53236.292688574875,496317105,0.4277605526549987,533813039,0.009476633673233049,960164014,0.0042760709699237506,330992869,0.00897339561616306,417564530,0.0011159769344117718,641386832,0.4754298380596564,0.0011159769344117718,417564530
GN201800000012,0.0,28235.472802657463,15068.194641538053,0.0,7285.238526895411,0.0,50588.90597109093,176301008,0.3196013917978437,510331455,0.0013532539428946274,510332435,0.0006898777724957401,270814623,0.04875840469725249,510331458,0.002517315218088725,474895123,0.1256058856881245,0.0006898777724957401,510332435
GN201800000013,0.0,25581.11253957252,6565.79024089962,0.0,0.0,0.0,32146.90278047214,176301008,0.8439667766989852,304937437,0.0011756202808353375,686885646,0.00830529414819424,849199763,0.06525101975345285,848997589,0.05076732366302162,628102901,0.3237845794222195,0.0011756202808353375,304937437
GN201800000014,1560.0964287380034,30419.589716385548,114035.56481973646,2615.233854768748,31725.46664014882,0.0,180355.9514597776,174021444,0.007459898605621006,548923581,0.0017128512458849587,269939781,0.0006679530124092994,270214822,0.0033279341594117306,93285303,0.00021586550721595956,443339589,0.44324486931730306,0.00021586550721595956,93285303
GN201800000015,0.0,16488.215357283138,8457.719833267087,4666.942170057099,12210.238541633586,0.0,41823.11590224091,631305208,0.5064079350850825,253844895,0.002418272379735318,635294645,0.0018170219895378024,318674735,0.001561566754451979,271942833,0.0030280571617081766,442209705,0.5144747782109419,0.001561566754451979,318674735
GN201800000016,0.0,11136.377955688306,21050.707039182722,0.0,1051.8682173817685,0.0,33238.953212252796,271880170,0.3187305699719961,689667374,0.016226777956346604,274171870,0.002778730687202843,319510940,0.03840366050319521,274171858,0.018996778499823525,641386832,0.2672967310635354,0.002778730687202843,274171870
GN201800000017,0.0,0.0,43604.9267518316,4945.916837274854,3932.9685114412287,0.0,52483.81210054768,631305208,0.5156509065558491,686681464,0.012803171964547323,632661015,0.0005889995495455149,693490315,0.017983869927164813,693490318,0.013584730616291507,442209705,0.4432712799855139,0.0005889995495455149,632661015
GN201800000018,0.0,2041.667080631095,109197.12864301176,5162.800814939498,4016.271269529135,0.0,120417.8678081115,631305208,0.20125982438508222,571741213,0.02109097563391541,440168081,0.0010995796972904186,417684749,0.026502119721246015,416899422,0.032845680389542185,442209705,0.6844988547751473,0.0010995796972904186,440168081
GN201800000019,0.0,7165.021860443684,23361.098076804417,3318.573617477995,1100.483640923362,0.0,34945.177195649456,685941329,0.6834809920635918,373172388,0.03088971681593948,304749729,0.003768188442631959,759335555,0.005143911502771506,373172426,0.03314186177630458,311690904,0.2380564073400445,0.003768188442631959,304749729
GN201800000020,0.0,9011.643932085055,2843.361142653263,0.0,0.0,0.0,11855.005074738317,332995896,0.002721245898157306,312734129,0.0003299015624254744,383246897,0.0001745009185847898,334094841,0.0019192142167841755,661102867,0.0015250902279501024,790577733,0.0015985865174805306,0.0001745009185847898,383246897
