DHSID,recreational_buildings_count,recreational_buildings_avgarea,recreational_buildings_totalarea,recreational_buildings_ratio,damaged_buildings_count,damaged_buildings_avgarea,damaged_buildings_totalarea,damaged_buildings_ratio,health_buildings_count,health_buildings_avgarea,health_buildings_totalarea,health_buildings_ratio,education_buildings_count,education_buildings_avgarea,education_buildings_totalarea,education_buildings_ratio,residential_buildings_count,residential_buildings_avgarea,residential_buildings_totalarea,residential_buildings_ratio,industrial_buildings_count,industrial_buildings_avgarea,industrial_buildings_totalarea,industrial_buildings_ratio,religious_buildings_count,religious_buildings_avgarea,religious_buildings_totalarea,religious_buildings_ratio,government_buildings_count,government_buildings_avgarea,government_buildings_totalarea,government_buildings_ratio,commercial_buildings_count,commercial_buildings_avgarea,commercial_buildings_totalarea,commercial_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,buffer_area,all_buildings_ratio
GU201500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1639.0192977418385,14751.173679676547,0.0011757488943768069,24.0,897.2806146930815,21534.734752633954,0.0017164356630815804,5.0,2498.4910899815336,12492.455449907668,0.0009957167478488072,4.0,684.4083594275551,2737.6334377102203,0.00021820429733204438,0.0,0.0,0.0,0.0,9.0,1218.6474568860217,10967.827111974195,0.0008741955644103288,51.0,62483.82443190258,1225.1730280765212,12546193.96218548,0.004980301167049567
GU201500000002,1.0,16669.370124572866,16669.370124572866,0.0013286395997716782,0.0,0.0,0.0,0.0,2.0,841.5778071707382,1683.1556143414764,0.00013415667089277107,8.0,1750.2085328645583,14001.668262916466,0.0011160092299800576,94.0,413.03613221845643,38825.39642853491,0.0030945955837732753,11.0,1919.7950195958144,21117.745215553958,0.0016831993255649685,4.0,802.1292744982743,3208.517097993097,0.0002557362900385757,0.0,0.0,0.0,0.0,14.0,1139.1856874051293,15948.599623671811,0.0012711902646925612,134.0,111454.45236758457,831.7496445342132,12546193.96218315,0.008883526964713888
GU201500000003,1.0,16669.370124572866,16669.370124572866,0.0013286395997715817,0.0,0.0,0.0,0.0,3.0,1285.84172751906,3857.52518255718,0.00030746576963374604,7.0,1661.2112301113243,11628.47861077927,0.0009268530875442457,198.0,207.04628940111286,40995.16530142035,0.0032675379820354578,8.0,991.8696768129146,7934.957414503317,0.000632459328974218,2.0,2233.1238756612356,4466.247751322471,0.0003559842741778384,0.0,0.0,0.0,0.0,30.0,1180.857962566806,35425.73887700418,0.0028236243584135704,249.0,120977.48326215963,485.853346434376,12546193.96218406,0.009642564400550658
GU201500000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9556.471564618794,19112.94312923759,0.0015234056787934657,11.0,1535.9023536864154,16894.92589055057,0.0013466176229597856,18.0,1010.9123159316509,18196.421686769718,0.0014503539273834133,1.0,6615.65681427742,6615.65681427742,0.0005273038846854421,3.0,572.0588477915909,1716.1765433747728,0.0001367886188072155,0.0,0.0,0.0,0.0,11.0,1164.877992707223,12813.657919779453,0.0010213183343410885,46.0,75349.78198398952,1638.038738782381,12546193.962185439,0.006005788066970411
GU201500000005,1.0,8539.957543921786,8539.957543921786,0.0006806811348256421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1152.233301424324,6913.399808545944,0.000551035623184537,10.0,442.6630975155082,4426.630975155082,0.00035282660131811253,0.0,0.0,0.0,0.0,2.0,650.1781998386,1300.3563996772,0.00010364548831276593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21180.344727300013,1114.754985647369,12546193.96218365,0.0016881888476410578
GU201500000006,1.0,16669.370124572866,16669.370124572866,0.0013286395997716164,0.0,0.0,0.0,0.0,2.0,9556.471564618794,19112.94312923759,0.0015234056787936728,10.0,1288.5817910322044,12885.817910322043,0.0010270698786549923,180.0,336.07098415239375,60492.777147430876,0.004821603852910766,21.0,1824.0496079618215,38305.04176719825,0.003053120482805851,6.0,1142.5132768246456,6855.079660947873,0.0005463871897413827,0.0,0.0,0.0,0.0,45.0,790.0800977426284,35553.604398418276,0.0028338159369751988,265.0,189874.63413812776,716.5080533514255,12546193.962183733,0.01513404261965348
GU201500000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,841.5778071707382,1683.1556143414764,0.0001341566708927603,16.0,1105.3628821542743,17685.80611446839,0.0014096550848628426,172.0,227.02412186514476,39048.1489608049,0.0031123501739651924,7.0,859.1142119535552,6013.799483674887,0.00047933257701907473,2.0,2233.1238756612356,4466.247751322471,0.0003559842741778357,0.0,0.0,0.0,0.0,22.0,960.7612287140422,21136.74703170893,0.001684713873818451,221.0,90033.90495632106,407.3932350964754,12546193.962184155,0.007176192654736157
GU201500000008,1.0,16669.370124572866,16669.370124572866,0.0013286395997715928,0.0,0.0,0.0,0.0,3.0,1285.84172751906,3857.52518255718,0.0003074657696337486,6.0,1422.6541217597278,8535.924730558367,0.000680359697633153,216.0,275.3972020788247,59485.79564902614,0.004741341942291418,11.0,1489.2331771546503,16381.564948701154,0.0013056999595317561,4.0,1475.8811973388729,5903.5247893554915,0.00047054308319714885,0.0,0.0,0.0,0.0,54.0,929.728029292176,50205.313581777504,0.0040016369691958835,295.0,161039.0190065487,545.894979683216,12546193.962183956,0.012835687021254701
GU201500000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5513.4346961785395,27567.173480892696,0.002197253889425266,11.0,1057.6555767533116,11634.211344286427,0.0009273100176319237,65.0,351.6321013352446,22856.0865867909,0.0018217546018882125,2.0,2779.5873757546324,5559.174751509265,0.0004430965094486328,2.0,2233.1238756612356,4466.247751322471,0.0003559842741778387,0.0,0.0,0.0,0.0,22.0,954.1705891968886,20991.75296233155,0.0016731570566821756,107.0,93074.6468771333,869.8565128704047,12546193.962184051,0.007418556349254049
GU201500000010,1.0,16669.370124572866,16669.370124572866,0.0013286395997715002,0.0,0.0,0.0,0.0,3.0,1285.84172751906,3857.52518255718,0.0003074657696337272,6.0,1784.3637994711764,10706.182796827059,0.000853341087272865,204.0,225.63060694989574,46028.64381777873,0.0036687336379871466,10.0,1116.409588845043,11164.095888450429,0.0008898392550043344,3.0,1527.5493479136603,4582.648043740981,0.0003652620115354047,0.0,0.0,0.0,0.0,36.0,1143.2966861786917,41158.6807024329,0.003280571050191656,263.0,134167.14655636015,510.14124165916405,12546193.962184832,0.010693852411396634
