DHSID,entertainment_pois_count,other_pois_count,health_pois_count,education_pois_count,services_pois_count,retail_pois_count,food_pois_count,landmark_pois_count,lodging_pois_count,all_pois_count
GU201500000001,76.0,0.0,23.0,23.0,96.0,38.0,84.0,7.0,10.0,357.0
GU201500000002,73.0,0.0,54.0,35.0,215.0,74.0,151.0,11.0,35.0,648.0
GU201500000003,120.0,0.0,53.0,42.0,131.0,51.0,69.0,3.0,8.0,477.0
GU201500000004,68.0,0.0,31.0,37.0,112.0,44.0,99.0,5.0,18.0,414.0
GU201500000005,69.0,0.0,0.0,11.0,19.0,4.0,16.0,1.0,0.0,120.0
GU201500000006,128.0,0.0,112.0,62.0,339.0,229.0,299.0,16.0,62.0,1247.0
GU201500000007,108.0,0.0,30.0,40.0,115.0,41.0,61.0,3.0,2.0,400.0
GU201500000008,133.0,0.0,68.0,43.0,266.0,104.0,212.0,12.0,33.0,871.0
GU201500000009,65.0,0.0,11.0,14.0,78.0,24.0,44.0,2.0,0.0,238.0
GU201500000010,138.0,0.0,58.0,42.0,172.0,72.0,97.0,7.0,25.0,611.0
GU201500000011,70.0,0.0,39.0,33.0,146.0,52.0,109.0,8.0,25.0,482.0
GU201500000012,73.0,0.0,43.0,28.0,166.0,51.0,131.0,8.0,33.0,533.0
GU201500000013,55.0,0.0,20.0,12.0,59.0,22.0,43.0,6.0,3.0,220.0
GU201500000014,74.0,0.0,31.0,27.0,142.0,47.0,111.0,8.0,16.0,456.0
GU201500000015,71.0,0.0,35.0,25.0,120.0,44.0,97.0,6.0,19.0,417.0
GU201500000016,111.0,1.0,94.0,26.0,175.0,174.0,159.0,9.0,5.0,754.0
GU201500000017,98.0,0.0,38.0,36.0,84.0,95.0,85.0,9.0,1.0,446.0
GU201500000018,96.0,0.0,40.0,35.0,90.0,101.0,84.0,9.0,1.0,456.0
GU201500000019,78.0,0.0,54.0,43.0,155.0,72.0,127.0,6.0,37.0,572.0
GU201500000020,68.0,0.0,26.0,35.0,100.0,41.0,100.0,3.0,17.0,390.0
GU201500000021,64.0,0.0,39.0,31.0,97.0,73.0,83.0,6.0,17.0,410.0
GU201500000022,131.0,0.0,139.0,69.0,396.0,254.0,301.0,13.0,62.0,1365.0
GU201500000023,119.0,1.0,89.0,29.0,155.0,177.0,146.0,10.0,5.0,731.0
GU201500000024,88.0,0.0,76.0,35.0,203.0,144.0,132.0,4.0,14.0,696.0
GU201500000025,61.0,0.0,52.0,22.0,169.0,99.0,93.0,3.0,5.0,504.0
GU201500000026,80.0,0.0,89.0,31.0,220.0,184.0,165.0,3.0,16.0,788.0
GU201500000027,55.0,0.0,26.0,12.0,108.0,79.0,60.0,2.0,3.0,345.0
GU201500000028,36.0,0.0,26.0,7.0,79.0,70.0,47.0,2.0,7.0,274.0
GU201500000029,60.0,0.0,38.0,8.0,128.0,137.0,125.0,13.0,17.0,526.0
GU201500000031,70.0,0.0,0.0,14.0,57.0,11.0,25.0,1.0,1.0,179.0
GU201500000032,29.0,0.0,5.0,8.0,26.0,9.0,25.0,1.0,0.0,103.0
GU201500000033,29.0,0.0,4.0,15.0,11.0,17.0,11.0,4.0,1.0,92.0
