DHSID,minor_roads_count,minor_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,nocars_roads_count,nocars_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
GU201500000001,1075,441802.7670278269,169.0,128571.55992284324,238.0,76443.39216550272,59.0,16538.102561558553,24.0,4815.775475613461,0.0,0.0,413967642,0.16298805976992967,1009003833,0.16200887430637942,233911907,0.16585683209085297,388364800,0.1771183779962296,694098543,0.2918883039011742,402417954,0.60799912846745,668171.597153345,1565.0,0.16200887430637942
GU201500000002,1122,573956.5548302204,181.0,58423.85869348111,395.0,172844.71197261338,80.0,30392.117658007523,53.0,14659.700893020441,0.0,0.0,580007055,0.5479418618349008,570159951,0.4935128351891305,570196979,0.5600299059800832,570159977,0.5463722176549506,406216886,0.726984554063049,379307602,1.4697979526374936,850276.9440473429,1831.0,0.4935128351891305
GU201500000003,1180,700288.9501964353,331.0,118334.98489266292,328.0,109602.97351596356,194.0,46796.706869567184,79.0,28798.11577732759,1.0,194.46815258394093,1004149458,0.019111080651242056,676130298,0.10049812388697599,566377084,0.01321460918978232,994032148,0.1308645007101547,652002654,0.12969245428654153,469059669,0.6798999634714783,1004016.1994045405,2113.0,0.01321460918978232
GU201500000004,1108,596206.6612292991,145.0,38890.27323598918,193.0,66150.29664694269,104.0,28600.72753372469,39.0,21025.27306648047,0.0,0.0,609611954,0.9568619061288263,609604830,0.965072365299242,658923209,0.9529237974119162,388364800,1.0212597949760385,694098543,1.093943006791215,1006418661,1.4363482031186459,750873.2317124363,1589.0,0.9529237974119162
GU201500000005,912,323754.2553173117,55.0,89145.77383939843,51.0,17984.26951922614,35.0,6921.325462406154,0.0,0.0,0.0,0.0,306020387,0.4605139330232206,866722226,0.48730171002973643,149403743,0.4873711313830383,774878732,0.6031326330224892,500514166,0.9570407008593705,1006418661,1.050260320640243,437805.62413834245,1053.0,0.4605139330232206
GU201500000006,1230,848437.0914612858,183.0,68884.66827467414,524.0,222361.67732220519,101.0,37637.876140544024,64.0,26161.252916249476,0.0,0.0,539712233,0.0010270990621563706,572866760,0.00031176246454952834,391114928,0.004649331076436285,995638733,0.037906939782641015,193674638,0.05040154539449758,535203362,0.06758933654861315,1203482.5661149586,2102.0,0.00031176246454952834
GU201500000007,1197,629109.2329777525,367.0,134447.48480297904,276.0,65594.87812558096,181.0,42344.55971119251,71.0,23558.33352881084,1.0,194.46815258394093,694147341,0.6095294589110586,913000773,0.6165645162419954,113171314,0.6149305286761779,725472522,0.638440353850291,694098543,0.8898901037370388,402417954,0.9594078239045964,895248.9572988998,2093.0,0.6095294589110586
GU201500000008,1240,742408.1161201939,310.0,107459.39254714274,437.0,206097.59920262036,203.0,50469.15715779295,77.0,28029.900360792748,1.0,194.46815258394093,996927836,0.005693773300741752,472466455,0.000675157265707293,472442196,0.0005577348612846832,467281537,0.004783592631220872,871410511,0.06324860339896071,384220247,0.06077265132248318,1134658.6335411265,2268.0,0.0005577348612846832
GU201500000009,1118,549163.3922856683,322.0,115431.29879667588,209.0,50846.75360959927,138.0,24652.24115048768,50.0,15004.019086791632,1.0,194.46815258394093,653389590,0.8242466036892754,1004066250,0.8086815118216806,653297677,0.8371023169469866,570159977,0.9478146962837908,570186791,0.9877816203360715,1006418661,1.4625097259345614,755292.1730818067,1838.0,0.8086815118216806
GU201500000010,1187,692711.8711932108,335.0,118385.3567694409,368.0,139370.96222046646,195.0,46889.91374789178,79.0,28458.240352700766,1.0,194.46815258394093,370234388,0.03694409401690882,669165373,0.042814079503723006,627449247,0.050724022118763694,505206915,0.1616461182183798,406216886,0.33422810692531146,379307602,0.8432335157667757,1026010.8124362947,2165.0,0.03694409401690882
