DHSID,air_transport_count,water_transport_count,ground_transport_count,all_transport_count
GU201500000001,0.0,0.0,33.0,33.0
GU201500000002,0.0,0.0,59.0,59.0
GU201500000003,1.0,0.0,19.0,20.0
GU201500000004,0.0,0.0,31.0,31.0
GU201500000005,0.0,0.0,3.0,3.0
GU201500000006,1.0,0.0,87.0,88.0
GU201500000007,0.0,0.0,7.0,7.0
GU201500000008,1.0,0.0,45.0,46.0
GU201500000009,1.0,0.0,2.0,3.0
GU201500000010,2.0,0.0,34.0,36.0
GU201500000011,0.0,0.0,28.0,28.0
GU201500000012,0.0,0.0,49.0,49.0
GU201500000013,0.0,0.0,30.0,30.0
GU201500000014,0.0,0.0,33.0,33.0
GU201500000015,0.0,0.0,27.0,27.0
GU201500000016,0.0,0.0,40.0,40.0
GU201500000017,0.0,0.0,20.0,20.0
GU201500000018,0.0,0.0,21.0,21.0
GU201500000019,0.0,0.0,51.0,51.0
GU201500000020,0.0,0.0,27.0,27.0
GU201500000021,0.0,0.0,29.0,29.0
GU201500000022,3.0,0.0,98.0,101.0
GU201500000023,0.0,0.0,37.0,37.0
GU201500000024,4.0,0.0,83.0,87.0
GU201500000025,0.0,0.0,49.0,49.0
GU201500000026,3.0,0.0,91.0,94.0
GU201500000027,0.0,0.0,42.0,42.0
GU201500000028,7.0,0.0,45.0,52.0
GU201500000029,8.0,0.0,23.0,31.0
GU201500000031,0.0,0.0,2.0,2.0
GU201500000032,1.0,0.0,2.0,3.0
GU201500000033,0.0,0.0,7.0,7.0
GU201500000034,0.0,0.0,21.0,21.0
GU201500000035,0.0,0.0,10.0,10.0
GU201500000036,0.0,0.0,7.0,7.0
GU201500000037,0.0,0.0,8.0,8.0
GU201500000038,0.0,0.0,0.0,0.0
GU201500000039,0.0,0.0,0.0,0.0
GU201500000040,0.0,0.0,10.0,10.0
GU201500000041,0.0,0.0,6.0,6.0
GU201500000042,0.0,0.0,9.0,9.0
GU201500000043,0.0,0.0,1.0,1.0
GU201500000044,0.0,0.0,23.0,23.0
GU201500000045,0.0,0.0,11.0,11.0
GU201500000046,0.0,0.0,37.0,37.0
GU201500000047,0.0,0.0,38.0,38.0
GU201500000048,1.0,0.0,0.0,1.0
GU201500000049,0.0,0.0,1.0,1.0
GU201500000050,0.0,0.0,2.0,2.0
GU201500000051,0.0,0.0,20.0,20.0
GU201500000052,0.0,0.0,0.0,0.0
GU201500000053,0.0,0.0,0.0,0.0
GU201500000054,0.0,0.0,0.0,0.0
GU201500000055,0.0,0.0,1.0,1.0
GU201500000056,0.0,0.0,0.0,0.0
GU201500000057,0.0,0.0,0.0,0.0
GU201500000058,0.0,0.0,1.0,1.0
GU201500000059,0.0,0.0,0.0,0.0
GU201500000060,0.0,0.0,0.0,0.0
GU201500000061,0.0,0.0,0.0,0.0
GU201500000062,0.0,0.0,0.0,0.0
GU201500000063,0.0,0.0,1.0,1.0
GU201500000064,0.0,0.0,11.0,11.0
GU201500000065,0.0,0.0,0.0,0.0
GU201500000066,0.0,0.0,0.0,0.0
GU201500000067,0.0,0.0,5.0,5.0
GU201500000068,0.0,0.0,8.0,8.0
GU201500000069,0.0,0.0,0.0,0.0
GU201500000070,0.0,0.0,10.0,10.0
GU201500000071,0.0,0.0,13.0,13.0
GU201500000072,0.0,0.0,6.0,6.0
GU201500000073,0.0,0.0,2.0,2.0
GU201500000074,0.0,0.0,2.0,2.0
GU201500000075,0.0,0.0,1.0,1.0
GU201500000076,0.0,0.0,1.0,1.0
GU201500000077,0.0,0.0,0.0,0.0
GU201500000078,0.0,0.0,3.0,3.0
GU201500000079,0.0,0.0,0.0,0.0
GU201500000080,0.0,0.0,0.0,0.0
GU201500000081,0.0,0.0,0.0,0.0
GU201500000082,0.0,0.0,0.0,0.0
GU201500000083,0.0,0.0,0.0,0.0
GU201500000084,0.0,0.0,0.0,0.0
GU201500000085,0.0,0.0,0.0,0.0
GU201500000086,0.0,0.0,9.0,9.0
GU201500000087,0.0,0.0,0.0,0.0
GU201500000088,0.0,0.0,0.0,0.0
GU201500000089,0.0,0.0,10.0,10.0
GU201500000090,0.0,0.0,9.0,9.0
GU201500000091,0.0,0.0,17.0,17.0
GU201500000092,0.0,0.0,12.0,12.0
GU201500000093,0.0,0.0,31.0,31.0
GU201500000094,0.0,0.0,2.0,2.0
GU201500000095,0.0,0.0,9.0,9.0
GU201500000096,0.0,0.0,3.0,3.0
GU201500000098,0.0,0.0,21.0,21.0
GU201500000099,0.0,0.0,16.0,16.0
GU201500000100,0.0,0.0,29.0,29.0
GU201500000101,0.0,0.0,34.0,34.0
GU201500000102,8.0,0.0,105.0,113.0
GU201500000103,0.0,0.0,6.0,6.0
GU201500000104,0.0,0.0,0.0,0.0
GU201500000105,0.0,0.0,8.0,8.0
GU201500000106,0.0,0.0,7.0,7.0
GU201500000107,0.0,0.0,26.0,26.0
GU201500000108,0.0,0.0,5.0,5.0
GU201500000109,0.0,0.0,0.0,0.0
GU201500000110,0.0,0.0,0.0,0.0
GU201500000111,0.0,0.0,0.0,0.0
GU201500000112,0.0,0.0,0.0,0.0
GU201500000113,0.0,0.0,0.0,0.0
GU201500000114,0.0,0.0,0.0,0.0
GU201500000115,0.0,0.0,0.0,0.0
GU201500000116,0.0,0.0,0.0,0.0
GU201500000117,0.0,0.0,0.0,0.0
GU201500000118,0.0,0.0,3.0,3.0
GU201500000119,0.0,0.0,3.0,3.0
GU201500000120,0.0,0.0,2.0,2.0
GU201500000121,0.0,0.0,1.0,1.0
GU201500000122,0.0,0.0,0.0,0.0
GU201500000123,0.0,0.0,0.0,0.0
GU201500000124,0.0,0.0,0.0,0.0
GU201500000125,0.0,0.0,0.0,0.0
GU201500000126,0.0,0.0,0.0,0.0
GU201500000127,0.0,0.0,1.0,1.0
GU201500000128,0.0,0.0,0.0,0.0
GU201500000129,0.0,0.0,1.0,1.0
GU201500000130,0.0,0.0,0.0,0.0
GU201500000131,0.0,0.0,0.0,0.0
GU201500000132,0.0,0.0,0.0,0.0
GU201500000133,0.0,0.0,0.0,0.0
