DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
KE201400000001,1,3148.1885322403223,3148.1885322403223,0.00025092777472829255,0,0.0,0,0.0,5,3108.7248925230447,621.744978504609,0.00024778230767778884,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1833.4423297681476,458.3605824420369,0.00014613534074910925,4,32181.549167699,8045.38729192475,0.0025650447669388204,0,0.0,0.0,0.0,1,704.7807699652831,704.7807699652831,5.6174866424798045e-05,59,43340.812591947695,734.5900439313168,0.0034544988482231097,74.0,84317.49828414348,1139.4256524884254,0.006720563904741918
KE201400000002,1,3148.1885322403223,3148.1885322403223,0.0002509277747283024,0,0.0,0,0.0,7,6836.052605323395,976.5789436176279,0.0005448706297645801,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,31159.003619768053,10386.334539922684,0.0024835423167924387,0,0.0,0.0,0.0,1,1280.3037042839026,1280.3037042839026,0.00010204717925954188,83,69290.727893417,834.8280469086386,0.005522848451273177,95.0,111714.27635503268,1175.9397511056072,0.008904236351818041
KE201400000003,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1833.4423297681476,458.3605824420369,0.0001461353407491084,2,25835.670505187456,12917.835252593728,0.002059243670475689,0,0.0,0.0,0.0,1,704.7807699652831,704.7807699652831,5.6174866424797726e-05,31,23718.903730605984,765.1259267937414,0.0018905258281593875,38.0,52092.79733552687,1370.8630877770229,0.004152079705808983
KE201400000004,1,143.30188964731224,143.30188964731224,1.1421941194218331e-05,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1573.4612026309403,786.7306013154702,0.00012541342875566007,3.0,1716.7630922782525,572.2543640927508,0.0001368353699498784
KE201400000005,0,0.0,0.0,0.0,0,0.0,0,0.0,8,7250.944651289234,906.3680814111542,0.0005779397858143158,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1833.4423297681476,458.3605824420369,0.00014613534074911201,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,32,24954.44654916628,779.8264546614463,0.001989005321006782,44.0,34038.83353022367,773.6098529596288,0.00271308044757021
KE201400000006,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KE201400000007,8,4667.929129738637,583.4911412173296,0.0003720593786297766,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,10,50792.987166359526,5079.298716635953,0.004048477755043395,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,6213.895093714433,388.36844335715205,0.0004952812870934605,34.0,61674.811389812596,1813.9650408768412,0.004915818420766631
KE201400000008,15,20176.771078196078,1345.1180718797384,0.0016081985611740939,0,0.0,0,0.0,54,19702.533258270876,364.86172700501623,0.0015703992236734458,0,0.0,0.0,0.0,6,726.7878383284776,121.13130638807961,5.792894964951879e-05,0,0.0,0.0,0.0,1,7883.9839133021,7883.9839133021,0.0006283964632672888,3,1972.553924649866,657.5179748832887,0.00015722329262526604,2,626.7184488218834,313.3592244109417,4.99528742111656e-05,1378,145184.26622007423,105.35868375912499,0.011571976860685824,1459.0,196273.61468164352,134.52612383937185,0.0156440762252866
KE201400000009,6,2937.236250396336,489.539375066056,0.00023411372877301265,0,0.0,0,0.0,53,18345.012528781008,346.1323118637926,0.001462197426891022,0,0.0,0.0,0.0,5,445.1570441096776,89.03140882193551,3.548144126030942e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,296.09085204706105,296.09085204706105,2.3600053764474112e-05,1325,113449.76478709915,85.62246399026351,0.009042564233348652,1390.0,135473.26146243323,97.4627780305275,0.010797956884037471
KE201400000010,25,36957.629869904966,1478.3051947961985,0.002945724415014039,0,0.0,0,0.0,3,5650.88836387989,1883.62945462663,0.00045040658393396405,0,0.0,0.0,0.0,5,48349.36093061196,9669.872186122393,0.003853707433214136,0,0.0,0.0,0.0,2,2585.33783808089,1292.668919040445,0.00020606550846205746,1,1902.301011773425,1902.301011773425,0.0001516237527896779,1,318.0410609349786,318.0410609349786,2.5349604979296342e-05,20,35056.20538368729,1752.8102691843644,0.002794170526085735,57.0,130819.7644588734,2295.083586997779,0.010427047824478905
KE201400000011,26,37290.22064458974,1434.2392555611439,0.0029722337114335496,0,0.0,0,0.0,3,5650.88836387989,1883.62945462663,0.0004504065839339087,0,0.0,0.0,0.0,6,50916.453167647545,8486.075527941257,0.004058318667885547,0,0.0,0.0,0.0,2,2585.33783808089,1292.668919040445,0.00020606550846203215,1,7355.744721043147,7355.744721043147,0.0005862929222371284,1,318.0410609349786,318.0410609349786,2.5349604979293225e-05,24,24695.626567391642,1028.984440307985,0.0019683759586234806,63.0,128812.31236356782,2044.6398787867909,0.010267042957554939
KE201400000012,20,23019.688545971505,1150.9844272985752,0.0018347945692020818,0,0.0,0,0.0,52,18032.17955391878,346.7726837292073,0.0014372629347410091,0,0.0,0.0,0.0,5,445.1570441096776,89.03140882193551,3.548144126030866e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,626.7184488218834,313.3592244109417,4.995287421116648e-05,697,87684.80138303316,125.80315836877068,0.00698895630398559,776.0,129808.54497585501,167.27905280393688,0.010346448123400156
KE201400000013,2,13776.3239881667,6888.16199408335,0.0010980480637945047,0,0.0,0,0.0,1,388.54182618238036,388.54182618238036,3.096889999895531e-05,0,0.0,0.0,0.0,8,1848.4913212081317,231.06141515101646,0.00014733482734124084,1,4442.2831864617365,4442.2831864617365,0.0003540741678194458,107,8481.701312826382,79.26823656847087,0.0006760377958758866,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,445.9040150223966,89.18080300447932,3.5540978910927574e-05,124.0,29383.245649867724,236.9616584666752,0.0023420047337409603
KE201400000014,3,21551.058877022955,7183.686292340985,0.0017177367847158098,0,0.0,0,0.0,23,7405.137055574188,321.9624806771386,0.0005902297603475828,0,0.0,0.0,0.0,17,2542.905043313899,149.58264960669996,0.00020268338358059518,36,13934.538453492814,387.0705125970226,0.001110658618501628,93,55594.004971836985,597.7849996971719,0.004431145026085592,0,0.0,0.0,0.0,0,0.0,0.0,0.0,78,6867.561897321503,88.04566535027568,0.000547382091973173,250.0,107895.20629856233,431.5808251942493,0.00859983566520438
KE201400000015,1,238.79799104905783,238.79799104905783,1.9033500659150604e-05,0,0.0,0,0.0,1,22569.849452595958,22569.849452595958,0.0017989399431114265,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3,781.8933048058984,260.6311016019661,6.232115549645126e-05,5.0,23590.540748450912,4718.1081496901825,0.0018802945992670282
KE201400000016,5,22223.79018787064,4444.758037574128,0.0017713571346702406,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,999.0227607049226,199.80455214098453,7.962755587201576e-05,1,8746.42540986609,8746.42540986609,0.0006971377484063548,1,42136.03644500428,42136.03644500428,0.0033584716266948796,1,10895.986119789917,10895.986119789917,0.0008684694460034886,0,0.0,0.0,0.0,12,3297.1236349721603,274.7603029143467,0.00026279871369040345,25.0,88298.38455820801,3531.9353823283204,0.007037862225337382
