DHSID,entertainment_pois_count,lodging_pois_count,health_pois_count,food_pois_count,landmark_pois_count,services_pois_count,retail_pois_count,other_pois_count,education_pois_count,all_pois_count
KE201400000001,42.0,14.0,86.0,91.0,5.0,238.0,40.0,1.0,296.0,813.0
KE201400000002,52.0,21.0,79.0,75.0,0.0,213.0,24.0,1.0,284.0,749.0
KE201400000003,21.0,8.0,81.0,33.0,1.0,206.0,14.0,1.0,321.0,686.0
KE201400000004,0.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,10.0
KE201400000005,22.0,4.0,68.0,17.0,1.0,194.0,9.0,1.0,322.0,638.0
KE201400000006,2.0,0.0,0.0,11.0,1.0,21.0,2.0,0.0,25.0,62.0
KE201400000007,22.0,8.0,1.0,14.0,0.0,9.0,5.0,0.0,7.0,66.0
KE201400000008,165.0,342.0,205.0,315.0,9.0,2141.0,343.0,0.0,484.0,4004.0
KE201400000009,154.0,318.0,193.0,237.0,10.0,2109.0,307.0,0.0,466.0,3794.0
KE201400000010,128.0,335.0,71.0,147.0,7.0,637.0,100.0,0.0,180.0,1605.0
KE201400000011,128.0,339.0,72.0,150.0,7.0,613.0,98.0,0.0,170.0,1577.0
KE201400000012,157.0,323.0,182.0,251.0,8.0,1953.0,294.0,0.0,425.0,3593.0
KE201400000013,50.0,6.0,62.0,44.0,4.0,109.0,45.0,0.0,152.0,472.0
KE201400000014,75.0,6.0,105.0,66.0,5.0,190.0,76.0,0.0,235.0,758.0
KE201400000015,14.0,2.0,13.0,19.0,0.0,16.0,18.0,0.0,40.0,122.0
KE201400000016,31.0,5.0,45.0,29.0,4.0,59.0,46.0,0.0,101.0,320.0
KE201400000017,10.0,2.0,1.0,29.0,1.0,13.0,6.0,0.0,5.0,67.0
KE201400000018,4.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,3.0,15.0
KE201400000019,15.0,5.0,39.0,40.0,4.0,56.0,29.0,0.0,80.0,268.0
KE201400000020,6.0,2.0,2.0,17.0,0.0,6.0,2.0,0.0,13.0,48.0
KE201400000021,6.0,1.0,4.0,25.0,0.0,10.0,4.0,0.0,16.0,66.0
KE201400000022,6.0,7.0,7.0,61.0,1.0,28.0,14.0,0.0,23.0,147.0
KE201400000023,25.0,11.0,152.0,123.0,2.0,679.0,65.0,0.0,129.0,1186.0
KE201400000024,30.0,11.0,136.0,120.0,2.0,652.0,62.0,0.0,125.0,1138.0
KE201400000025,25.0,11.0,115.0,101.0,1.0,604.0,47.0,0.0,108.0,1012.0
KE201400000026,29.0,11.0,124.0,100.0,1.0,624.0,52.0,0.0,117.0,1058.0
KE201400000027,1.0,4.0,2.0,12.0,0.0,7.0,0.0,0.0,2.0,28.0
KE201400000028,6.0,7.0,5.0,63.0,0.0,22.0,10.0,0.0,22.0,135.0
KE201400000029,9.0,7.0,7.0,59.0,1.0,32.0,16.0,0.0,20.0,151.0
KE201400000030,5.0,4.0,4.0,44.0,0.0,14.0,7.0,0.0,20.0,98.0
