DHSID,water_transport_count,air_transport_count,ground_transport_count,all_transport_count
KE201400000001,0.0,0.0,52.0,52.0
KE201400000002,0.0,0.0,54.0,54.0
KE201400000003,0.0,0.0,60.0,60.0
KE201400000004,0.0,0.0,3.0,3.0
KE201400000005,0.0,0.0,57.0,57.0
KE201400000006,0.0,0.0,13.0,13.0
KE201400000007,0.0,0.0,5.0,5.0
KE201400000008,0.0,1.0,18.0,19.0
KE201400000009,0.0,0.0,16.0,16.0
KE201400000010,0.0,10.0,8.0,18.0
KE201400000011,0.0,10.0,8.0,18.0
KE201400000012,0.0,6.0,15.0,21.0
KE201400000013,0.0,2.0,13.0,15.0
KE201400000014,0.0,2.0,12.0,14.0
KE201400000015,0.0,0.0,11.0,11.0
KE201400000016,0.0,0.0,9.0,9.0
KE201400000017,0.0,6.0,3.0,9.0
KE201400000018,0.0,1.0,1.0,2.0
KE201400000019,0.0,0.0,18.0,18.0
KE201400000020,0.0,0.0,12.0,12.0
KE201400000021,0.0,1.0,12.0,13.0
KE201400000022,0.0,3.0,10.0,13.0
KE201400000023,0.0,0.0,8.0,8.0
KE201400000024,0.0,0.0,9.0,9.0
KE201400000025,0.0,1.0,8.0,9.0
KE201400000026,0.0,1.0,7.0,8.0
KE201400000027,0.0,0.0,3.0,3.0
KE201400000028,0.0,1.0,10.0,11.0
KE201400000029,0.0,2.0,8.0,10.0
KE201400000030,0.0,1.0,11.0,12.0
KE201400000031,0.0,0.0,7.0,7.0
KE201400000032,0.0,3.0,6.0,9.0
KE201400000033,0.0,0.0,5.0,5.0
KE201400000034,0.0,4.0,60.0,64.0
KE201400000035,0.0,2.0,10.0,12.0
KE201400000036,0.0,0.0,4.0,4.0
KE201400000037,0.0,3.0,20.0,23.0
KE201400000038,0.0,1.0,62.0,63.0
KE201400000039,0.0,2.0,13.0,15.0
KE201400000040,0.0,4.0,28.0,32.0
KE201400000041,0.0,0.0,13.0,13.0
KE201400000042,0.0,0.0,20.0,20.0
KE201400000043,0.0,1.0,13.0,14.0
KE201400000044,0.0,3.0,20.0,23.0
KE201400000045,0.0,0.0,2.0,2.0
KE201400000046,0.0,0.0,2.0,2.0
KE201400000047,0.0,0.0,0.0,0.0
KE201400000048,0.0,3.0,19.0,22.0
KE201400000049,0.0,2.0,20.0,22.0
KE201400000050,0.0,4.0,27.0,31.0
KE201400000051,0.0,3.0,73.0,76.0
KE201400000052,0.0,4.0,22.0,26.0
KE201400000053,0.0,1.0,6.0,7.0
KE201400000054,0.0,0.0,19.0,19.0
KE201400000055,0.0,0.0,18.0,18.0
KE201400000056,0.0,2.0,83.0,85.0
KE201400000057,0.0,0.0,0.0,0.0
KE201400000058,0.0,0.0,0.0,0.0
KE201400000059,0.0,0.0,0.0,0.0
KE201400000060,0.0,0.0,0.0,0.0
KE201400000061,0.0,0.0,0.0,0.0
KE201400000062,0.0,0.0,0.0,0.0
KE201400000063,0.0,2.0,0.0,2.0
KE201400000064,0.0,0.0,0.0,0.0
KE201400000065,0.0,1.0,0.0,1.0
