DHSID,landmark_pois_count,other_pois_count,education_pois_count,food_pois_count,retail_pois_count,services_pois_count,health_pois_count,lodging_pois_count,entertainment_pois_count,all_pois_count
LB201900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000003,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
LB201900000004,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
LB201900000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000006,7.0,0.0,0.0,5.0,3.0,8.0,4.0,3.0,14.0,44.0
LB201900000007,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
LB201900000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000009,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LB201900000010,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0
LB201900000011,0.0,0.0,3.0,3.0,2.0,14.0,1.0,0.0,0.0,23.0
LB201900000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000017,0.0,0.0,3.0,0.0,1.0,9.0,0.0,0.0,0.0,13.0
LB201900000018,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
LB201900000019,1.0,0.0,5.0,5.0,1.0,3.0,2.0,4.0,4.0,25.0
LB201900000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LB201900000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LB201900000026,0.0,0.0,7.0,0.0,0.0,4.0,2.0,0.0,5.0,18.0
LB201900000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000028,0.0,0.0,3.0,3.0,2.0,14.0,1.0,0.0,0.0,23.0
LB201900000029,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0
LB201900000030,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,6.0,10.0
LB201900000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000032,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0
LB201900000033,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0
LB201900000034,6.0,26.0,9.0,36.0,120.0,38.0,9.0,0.0,14.0,258.0
LB201900000035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LB201900000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000038,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
LB201900000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000040,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,2.0,14.0
LB201900000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000042,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,6.0,12.0
LB201900000043,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
LB201900000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000046,3.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0
LB201900000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
LB201900000048,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
LB201900000049,0.0,0.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0
LB201900000050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB201900000052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
