DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
LB201900000001,0.0,0.0,9952.19410933343,4333.235038174741,4234.74721383974,0.0,18520.17636134791,160420273,0.33081677524908026,288903840,0.016387644449237383,299226456,0.004698153309680347,299648570,0.007028758745471459,299029196,0.01106625179192825,297102760,0.179436804600203,0.004698153309680347,299226456
LB201900000003,62.07847705195884,25038.39550985436,76521.52527476309,23833.393906502268,84246.347455471,0.0,209701.7406236427,297517920,0.020143350042308952,194818322,0.0010625498143090578,297275223,0.0012712254566537872,299570355,0.013688488472525816,297374087,0.0024673814163928306,297335359,0.2675219977684853,0.0010625498143090578,194818322
LB201900000004,0.0,23779.088140182343,105115.12233636936,1187.9424972423694,61531.36958988113,0.0,191613.5225636752,297914910,0.054240123647512316,297446463,0.004892741262660428,296613420,0.0008384138967060729,297696052,0.020335179958123856,297553448,0.002868465500193167,297335359,0.19183528079841616,0.0008384138967060729,296613420
LB201900000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561763724,0.9644159688876314,300110279,0.02288949015703172,886747601,0.024177205985468013,565784782,0.056866054255614994,886747611,0.034880081787526385,718850637,0.22562399856239723,0.02288949015703172,300110279
LB201900000006,318.49267299297014,9629.381228311951,75760.61719194512,8477.180655254531,4393.785311008885,0.0,98579.45705951346,304260078,0.00534114961985382,318642940,0.0008132025240366061,297176331,0.0002907469154659694,297176348,3.4246687841981625e-05,763043940,0.0008132025240366061,713969257,0.0941836006662706,3.4246687841981625e-05,297176348
LB201900000007,0.0,0.0,13626.80630287505,0.0,6015.416850231017,0.0,19642.223153106068,561763724,1.239284326435927,301436468,0.01933105417139325,301436469,0.003222668101714384,624173339,0.037687062154707116,723127995,0.01563814814908948,718850637,0.4992654721659495,0.003222668101714384,301436469
LB201900000008,0.0,6981.480292736847,12006.755001308975,33.490867245276604,587.4420861020528,2278.74737012232,21887.91561751547,297914910,0.24488626820693588,39761678,0.02483601910111928,297309899,0.008459686597528783,297256109,0.020735978303639824,279578781,0.027391133092049953,713958459,0.022860305078157384,0.008459686597528783,297309899
LB201900000009,0.0,0.0,17395.985280967834,0.0,656.7221615155729,0.0,18052.707442483406,561763724,1.3015841774954555,301436462,0.04472565413876627,621329871,0.0024596012675397634,642873148,0.04364106968927714,546387363,0.015551476437870236,718850637,0.5833406908626633,0.0024596012675397634,621329871
LB201900000010,0.0,4180.603246958564,11632.8399388884,0.0,34297.221666376296,0.0,50110.66485222326,160420273,0.1547993066530112,161910677,0.0008996621384024581,297137568,4.9836476713245134e-05,297159367,0.003685727003698583,881402001,0.0002699030241621319,297102760,0.009600938347096775,4.9836476713245134e-05,297137568
LB201900000011,0.0,12052.815833070297,39954.70577477856,0.0,2470.934752266139,0.0,54478.456360115,691392873,0.0824682757167734,646968700,0.018979481553756644,270041271,0.009105806196615631,271836406,0.07314491748716824,239183031,0.02665787926203357,297341193,0.7899968010413414,0.009105806196615631,270041271
LB201900000012,0.0,9810.177627564188,4923.828184418935,0.0,72.85248629986476,0.0,14806.858298282988,561763724,1.170648325218147,241909399,0.006575236179766747,621329872,0.016281981456739106,624173339,0.043676258103693515,871908716,0.013548091177972,718850637,0.4297043146467731,0.006575236179766747,241909399
LB201900000013,0.0,7280.985742127546,19204.680190668427,0.0,0.0,0.0,26485.66593279597,160420273,0.30158642088642656,312610473,0.004632101302082533,307273307,0.0027163787597520666,307273309,0.03833334517969378,911748613,0.02117128655804722,297102760,0.13165880298959753,0.0027163787597520666,307273307
LB201900000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561763724,1.0022422162724558,299689359,0.11987556571776119,891307326,0.04501790369253004,512396426,0.22154626707171896,920178932,0.10216868989092173,718850637,0.5495039287072838,0.04501790369253004,891307326
LB201900000015,0.0,4510.897273660858,20943.076276118933,37309.032380451354,14150.484548201808,0.0,76913.49047843296,506573704,0.5131961352957938,299652230,0.0372583297626956,764154115,0.01191824447348182,664199303,0.0023304357178203705,664199282,0.007216942070398366,665364597,0.6865583828049506,0.0023304357178203705,664199303
LB201900000016,0.0,8197.276168250748,1896.0891837530403,0.0,0.0,0.0,10093.365352003788,561763724,1.0457860155200365,644998277,0.0037453465035098515,296799660,0.008082670588374578,311932346,0.009315389110227744,945061206,0.008487031181699384,718850637,0.24748796819420568,0.0037453465035098515,644998277
LB201900000017,0.0,0.0,1823.6846386751063,4830.007998249925,21446.932546517004,0.0,28100.625183442033,726794337,0.5863127292313778,241961274,0.062326219530131746,431717960,0.037986375957963794,303475141,0.019884632281852107,299979103,0.0021150254178988093,720251851,0.6365756120688997,0.0021150254178988093,299979103
