DHSID,water_transport_count,ground_transport_count,air_transport_count,all_transport_count
LB201900000001,0.0,0.0,0.0,0.0
LB201900000003,0.0,0.0,0.0,0.0
LB201900000004,0.0,0.0,0.0,0.0
LB201900000005,0.0,0.0,0.0,0.0
LB201900000006,0.0,0.0,0.0,0.0
LB201900000007,0.0,0.0,1.0,1.0
LB201900000008,0.0,0.0,0.0,0.0
LB201900000009,0.0,0.0,0.0,0.0
LB201900000010,0.0,0.0,0.0,0.0
LB201900000011,0.0,0.0,0.0,0.0
LB201900000012,0.0,0.0,0.0,0.0
LB201900000013,0.0,0.0,0.0,0.0
LB201900000014,0.0,0.0,0.0,0.0
LB201900000015,0.0,0.0,0.0,0.0
LB201900000016,0.0,0.0,0.0,0.0
LB201900000017,0.0,0.0,0.0,0.0
LB201900000018,0.0,0.0,1.0,1.0
LB201900000019,0.0,0.0,0.0,0.0
LB201900000020,0.0,0.0,0.0,0.0
LB201900000021,0.0,0.0,0.0,0.0
LB201900000022,0.0,0.0,0.0,0.0
LB201900000023,0.0,0.0,0.0,0.0
LB201900000024,0.0,0.0,0.0,0.0
LB201900000025,0.0,0.0,0.0,0.0
LB201900000026,0.0,0.0,0.0,0.0
LB201900000027,0.0,0.0,0.0,0.0
LB201900000028,0.0,0.0,0.0,0.0
LB201900000029,0.0,0.0,0.0,0.0
LB201900000030,0.0,0.0,0.0,0.0
LB201900000031,0.0,0.0,0.0,0.0
LB201900000032,0.0,0.0,0.0,0.0
LB201900000033,0.0,0.0,0.0,0.0
LB201900000034,0.0,2.0,0.0,2.0
LB201900000035,2.0,0.0,0.0,2.0
LB201900000036,0.0,0.0,0.0,0.0
LB201900000037,0.0,0.0,0.0,0.0
LB201900000038,0.0,0.0,0.0,0.0
LB201900000039,0.0,0.0,0.0,0.0
LB201900000040,0.0,0.0,0.0,0.0
LB201900000041,0.0,0.0,0.0,0.0
LB201900000042,0.0,0.0,0.0,0.0
LB201900000043,0.0,0.0,0.0,0.0
LB201900000044,0.0,0.0,0.0,0.0
LB201900000045,0.0,0.0,0.0,0.0
LB201900000046,1.0,1.0,0.0,2.0
LB201900000047,0.0,0.0,0.0,0.0
LB201900000048,0.0,0.0,0.0,0.0
LB201900000049,0.0,0.0,0.0,0.0
LB201900000050,0.0,0.0,0.0,0.0
LB201900000051,0.0,0.0,0.0,0.0
LB201900000052,0.0,0.0,0.0,0.0
LB201900000053,0.0,0.0,0.0,0.0
LB201900000054,0.0,0.0,0.0,0.0
LB201900000055,0.0,1.0,3.0,4.0
LB201900000056,0.0,0.0,0.0,0.0
LB201900000057,0.0,0.0,1.0,1.0
LB201900000058,0.0,0.0,0.0,0.0
LB201900000059,0.0,0.0,0.0,0.0
LB201900000060,0.0,0.0,0.0,0.0
LB201900000061,0.0,0.0,0.0,0.0
LB201900000062,0.0,0.0,0.0,0.0
LB201900000063,0.0,0.0,0.0,0.0
LB201900000064,0.0,0.0,0.0,0.0
LB201900000065,0.0,0.0,0.0,0.0
LB201900000066,0.0,0.0,0.0,0.0
LB201900000067,0.0,0.0,0.0,0.0
LB201900000068,0.0,0.0,0.0,0.0
LB201900000069,0.0,0.0,0.0,0.0
LB201900000070,0.0,0.0,0.0,0.0
LB201900000071,0.0,1.0,0.0,1.0
LB201900000072,0.0,0.0,0.0,0.0
LB201900000073,0.0,0.0,0.0,0.0
LB201900000074,0.0,0.0,0.0,0.0
LB201900000075,0.0,0.0,0.0,0.0
LB201900000076,0.0,0.0,0.0,0.0
LB201900000077,0.0,1.0,0.0,1.0
LB201900000078,0.0,0.0,0.0,0.0
LB201900000079,0.0,2.0,1.0,3.0
LB201900000080,0.0,0.0,2.0,2.0
LB201900000081,0.0,0.0,0.0,0.0
LB201900000082,0.0,0.0,0.0,0.0
LB201900000083,0.0,0.0,0.0,0.0
LB201900000084,0.0,0.0,3.0,3.0
LB201900000085,0.0,0.0,0.0,0.0
LB201900000086,0.0,0.0,0.0,0.0
LB201900000087,0.0,1.0,0.0,1.0
LB201900000088,0.0,0.0,0.0,0.0
LB201900000089,0.0,0.0,0.0,0.0
LB201900000090,0.0,0.0,0.0,0.0
LB201900000091,0.0,1.0,0.0,1.0
LB201900000092,0.0,0.0,0.0,0.0
LB201900000093,0.0,0.0,0.0,0.0
LB201900000094,0.0,0.0,0.0,0.0
LB201900000095,0.0,0.0,0.0,0.0
LB201900000096,0.0,0.0,0.0,0.0
LB201900000097,0.0,0.0,0.0,0.0
LB201900000098,0.0,0.0,0.0,0.0
LB201900000099,0.0,0.0,0.0,0.0
LB201900000100,0.0,0.0,0.0,0.0
LB201900000101,0.0,0.0,2.0,2.0
LB201900000102,0.0,0.0,0.0,0.0
LB201900000103,0.0,0.0,0.0,0.0
LB201900000104,0.0,0.0,0.0,0.0
LB201900000105,0.0,0.0,7.0,7.0
LB201900000106,0.0,0.0,0.0,0.0
LB201900000107,0.0,0.0,0.0,0.0
LB201900000108,0.0,0.0,0.0,0.0
LB201900000109,0.0,0.0,0.0,0.0
LB201900000110,0.0,0.0,0.0,0.0
LB201900000111,0.0,0.0,0.0,0.0
LB201900000112,0.0,0.0,3.0,3.0
LB201900000113,0.0,0.0,0.0,0.0
LB201900000114,0.0,0.0,0.0,0.0
LB201900000115,0.0,0.0,0.0,0.0
LB201900000116,0.0,0.0,0.0,0.0
LB201900000117,0.0,0.0,1.0,1.0
LB201900000118,0.0,0.0,0.0,0.0
LB201900000119,0.0,0.0,0.0,0.0
LB201900000120,0.0,0.0,0.0,0.0
LB201900000121,0.0,0.0,0.0,0.0
LB201900000122,0.0,0.0,0.0,0.0
LB201900000123,0.0,0.0,0.0,0.0
LB201900000124,0.0,0.0,0.0,0.0
LB201900000125,0.0,0.0,0.0,0.0
LB201900000126,0.0,0.0,0.0,0.0
LB201900000127,0.0,0.0,0.0,0.0
LB201900000128,0.0,0.0,0.0,0.0
LB201900000129,0.0,0.0,0.0,0.0
LB201900000130,0.0,1.0,0.0,1.0
LB201900000131,0.0,0.0,0.0,0.0
LB201900000132,0.0,0.0,0.0,0.0
LB201900000133,0.0,0.0,0.0,0.0
LB201900000134,0.0,0.0,0.0,0.0
LB201900000135,0.0,0.0,0.0,0.0
LB201900000136,0.0,0.0,1.0,1.0
LB201900000137,0.0,0.0,0.0,0.0
LB201900000138,0.0,0.0,0.0,0.0
LB201900000139,0.0,0.0,3.0,3.0
LB201900000141,0.0,0.0,0.0,0.0
LB201900000142,0.0,2.0,2.0,4.0
LB201900000143,0.0,0.0,0.0,0.0
LB201900000144,0.0,0.0,0.0,0.0
LB201900000145,0.0,0.0,1.0,1.0
LB201900000146,0.0,0.0,0.0,0.0
LB201900000147,0.0,0.0,0.0,0.0
LB201900000148,0.0,0.0,0.0,0.0
LB201900000149,0.0,0.0,0.0,0.0
LB201900000150,0.0,0.0,0.0,0.0
LB201900000151,0.0,1.0,0.0,1.0
LB201900000152,0.0,0.0,0.0,0.0
LB201900000153,0.0,0.0,0.0,0.0
LB201900000154,0.0,0.0,0.0,0.0
LB201900000155,0.0,0.0,0.0,0.0
LB201900000156,0.0,0.0,0.0,0.0
LB201900000157,0.0,0.0,0.0,0.0
LB201900000158,0.0,0.0,0.0,0.0
LB201900000159,0.0,0.0,0.0,0.0
LB201900000160,0.0,0.0,0.0,0.0
LB201900000161,0.0,0.0,0.0,0.0
LB201900000162,0.0,0.0,3.0,3.0
LB201900000163,0.0,0.0,0.0,0.0
LB201900000164,0.0,0.0,0.0,0.0
LB201900000165,0.0,0.0,0.0,0.0
LB201900000166,0.0,0.0,0.0,0.0
LB201900000167,0.0,0.0,0.0,0.0
LB201900000168,0.0,0.0,0.0,0.0
LB201900000169,0.0,0.0,0.0,0.0
LB201900000170,0.0,0.0,0.0,0.0
LB201900000171,0.0,0.0,0.0,0.0
LB201900000172,0.0,2.0,2.0,4.0
LB201900000174,0.0,0.0,2.0,2.0
LB201900000175,0.0,0.0,0.0,0.0
LB201900000176,0.0,0.0,0.0,0.0
LB201900000177,0.0,0.0,0.0,0.0
LB201900000178,0.0,0.0,0.0,0.0
LB201900000179,0.0,0.0,0.0,0.0
LB201900000180,0.0,0.0,0.0,0.0
LB201900000181,0.0,1.0,0.0,1.0
LB201900000182,0.0,0.0,0.0,0.0
LB201900000183,0.0,0.0,0.0,0.0
LB201900000184,0.0,1.0,0.0,1.0
LB201900000185,0.0,0.0,0.0,0.0
LB201900000186,0.0,0.0,0.0,0.0
LB201900000187,0.0,0.0,0.0,0.0
LB201900000188,0.0,0.0,0.0,0.0
LB201900000189,0.0,0.0,0.0,0.0
LB201900000190,0.0,0.0,0.0,0.0
LB201900000191,0.0,0.0,0.0,0.0
LB201900000192,0.0,1.0,0.0,1.0
LB201900000193,0.0,0.0,0.0,0.0
LB201900000194,0.0,0.0,0.0,0.0
LB201900000195,0.0,1.0,0.0,1.0
LB201900000196,0.0,0.0,0.0,0.0
LB201900000197,0.0,0.0,0.0,0.0
LB201900000198,0.0,0.0,0.0,0.0
LB201900000199,0.0,0.0,0.0,0.0
LB201900000200,0.0,0.0,0.0,0.0
LB201900000201,0.0,0.0,1.0,1.0
LB201900000202,0.0,0.0,0.0,0.0
LB201900000203,0.0,0.0,0.0,0.0
LB201900000204,0.0,0.0,0.0,0.0
LB201900000205,0.0,0.0,0.0,0.0
LB201900000206,0.0,1.0,0.0,1.0
LB201900000207,0.0,1.0,0.0,1.0
LB201900000208,0.0,0.0,0.0,0.0
LB201900000209,0.0,0.0,0.0,0.0
LB201900000210,0.0,0.0,0.0,0.0
LB201900000211,0.0,0.0,0.0,0.0
LB201900000212,0.0,0.0,0.0,0.0
LB201900000213,0.0,0.0,0.0,0.0
LB201900000214,0.0,0.0,0.0,0.0
LB201900000215,0.0,0.0,0.0,0.0
LB201900000216,0.0,0.0,0.0,0.0
LB201900000217,0.0,0.0,0.0,0.0
LB201900000218,0.0,0.0,0.0,0.0
LB201900000219,0.0,0.0,0.0,0.0
LB201900000220,0.0,0.0,0.0,0.0
LB201900000221,0.0,0.0,0.0,0.0
LB201900000222,0.0,0.0,0.0,0.0
LB201900000223,0.0,0.0,0.0,0.0
LB201900000224,0.0,1.0,0.0,1.0
LB201900000225,0.0,0.0,0.0,0.0
LB201900000226,0.0,0.0,0.0,0.0
LB201900000227,0.0,0.0,0.0,0.0
LB201900000228,0.0,2.0,0.0,2.0
LB201900000229,0.0,0.0,0.0,0.0
LB201900000230,0.0,0.0,0.0,0.0
LB201900000231,0.0,0.0,0.0,0.0
LB201900000232,0.0,0.0,0.0,0.0
LB201900000233,0.0,0.0,0.0,0.0
LB201900000234,0.0,0.0,0.0,0.0
LB201900000235,0.0,0.0,0.0,0.0
LB201900000236,0.0,0.0,0.0,0.0
LB201900000237,0.0,0.0,0.0,0.0
LB201900000238,0.0,0.0,0.0,0.0
LB201900000239,0.0,0.0,0.0,0.0
LB201900000240,0.0,0.0,0.0,0.0
