DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
ML201800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.91991923418698,127.91991923418698,1.6313462982607633e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,127.91991923418698,127.91991923418698,1.6313462982607633e-06
ML201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.49499719594857,35.49499719594857,4.526631397912306e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.49499719594857,35.49499719594857,4.526631397912306e-07
ML201800000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,407.444029306567,407.444029306567,5.196081368225979e-06,0.0,0.0,0.0,0.0,1.0,407.444029306567,407.444029306567,5.196081368225979e-06
ML201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,9837.783371501722,131.1704449533563,0.0007841249227577927,75.0,9837.783371501722,131.1704449533563,0.0007841249227577927
