DHSID,lodging_pois_count,education_pois_count,landmark_pois_count,health_pois_count,food_pois_count,entertainment_pois_count,services_pois_count,retail_pois_count,all_pois_count
ML201800000001,0.0,7.0,0.0,0.0,39.0,0.0,13.0,4.0,63.0
ML201800000002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000003,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,13.0
ML201800000004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ML201800000005,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000006,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
ML201800000007,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0
ML201800000008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000009,0.0,12.0,1.0,2.0,0.0,0.0,2.0,0.0,17.0
ML201800000010,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0
ML201800000011,7.0,51.0,6.0,13.0,19.0,16.0,74.0,61.0,247.0
ML201800000012,10.0,59.0,7.0,17.0,30.0,26.0,97.0,76.0,322.0
ML201800000013,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000014,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000016,0.0,12.0,1.0,0.0,2.0,2.0,5.0,1.0,23.0
ML201800000017,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000019,3.0,3.0,0.0,1.0,0.0,0.0,10.0,8.0,25.0
ML201800000020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000022,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000023,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000024,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
ML201800000025,1.0,29.0,0.0,1.0,0.0,1.0,9.0,1.0,42.0
ML201800000026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000027,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000029,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0
ML201800000030,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000031,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0
ML201800000032,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000033,0.0,5.0,0.0,1.0,0.0,1.0,14.0,2.0,23.0
ML201800000034,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000035,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000037,8.0,56.0,5.0,14.0,34.0,13.0,135.0,156.0,421.0
ML201800000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000040,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000041,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000043,0.0,3.0,1.0,1.0,0.0,6.0,4.0,3.0,18.0
ML201800000044,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0
ML201800000045,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ML201800000046,0.0,11.0,1.0,3.0,0.0,0.0,3.0,0.0,18.0
ML201800000047,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ML201800000048,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
ML201800000049,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000050,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
ML201800000051,3.0,4.0,2.0,0.0,2.0,4.0,1.0,2.0,18.0
ML201800000052,0.0,20.0,2.0,0.0,0.0,2.0,1.0,0.0,25.0
ML201800000053,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000054,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000056,0.0,12.0,0.0,0.0,0.0,1.0,2.0,1.0,16.0
ML201800000057,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ML201800000058,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000059,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ML201800000060,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ML201800000061,0.0,34.0,0.0,4.0,2.0,3.0,3.0,3.0,49.0
ML201800000062,0.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,13.0
ML201800000063,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000064,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ML201800000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000066,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
