DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
ML201800000001,0.0,10668.306101087097,65025.749133118145,460.04325822563396,0.0,0.0,76154.09849243087,357253145,0.1134557469871397,41269057,0.011137729670444251,913605598,0.0002797433879470906,411362261,0.025282588880018723,309498119,0.024372707540478655,926430379,0.11111360667144903,0.0002797433879470906,913605598
ML201800000002,0.0,0.0,21188.39370659412,5783.076035639442,4491.657174461259,0.0,31463.126916694822,202233136,0.3882579591655024,836080652,0.005593113974038172,756653672,0.0009654914118586168,310620889,0.004273393079766611,930431151,0.02165521167681657,926430376,0.6884095739709399,0.0009654914118586168,756653672
ML201800000003,0.0,7916.801884600147,69793.58610118805,7098.400364896659,33381.01304659936,0.0,118189.80139728422,357253188,0.4141923157734438,30016717,0.029535642973237856,202139417,0.008037505178319162,724128413,0.014933057579832447,309806275,0.006583666690104161,926430376,0.56585896015275,0.006583666690104161,309806275
ML201800000004,0.0,0.0,37162.4507417765,13318.314926532581,0.0,0.0,50480.765668309075,357253188,0.5312655358088149,896347626,0.03354178897854711,755328434,0.0020390361427984447,697947876,0.002861945539568068,440644810,8.99197105142525e-05,921097505,0.6362112972387184,8.99197105142525e-05,440644810
ML201800000005,0.0,10597.716343226282,17355.475892095754,0.0,8571.450913438044,0.0,36524.64314876008,871096450,0.09749108474234665,209241770,0.0020200716466331346,206778299,0.0017874082083425237,670379729,0.03727771316439814,221163826,0.005124551497765335,921097505,0.03490207947540281,0.0017874082083425237,206778299
ML201800000006,0.0,0.0,10311.487300569086,0.0,0.0,0.0,10311.487300569086,357253153,0.15216433708969293,465031923,0.01237504985816863,41269078,0.0041760360272119715,325777463,0.014705142560509022,904645007,0.014119648265271456,921097505,0.1631757841170321,0.0041760360272119715,41269078
ML201800000007,0.0,10672.353213916902,109076.26717083661,0.0,1750.911931209009,0.0,121499.53231596251,357253188,0.41185520546849647,403652611,0.025875461763806184,817551806,0.004318451267341688,1017313979,0.0006979128057653123,1017313978,0.008759395780837355,926430378,0.43728308705103913,0.0006979128057653123,1017313979
ML201800000008,0.0,0.0,32231.668875749674,0.0,0.0,0.0,32231.668875749674,438663918,0.06949912865468699,414694818,0.010796315920080372,755341024,0.00019089998403477824,812539529,0.02099079175592524,917135142,0.0039156181042632205,41267110,0.045947205464723716,0.00019089998403477824,755341024
ML201800000009,0.0,13695.022099300053,35706.75562363701,20553.370599838658,1426.831740845031,0.0,71381.98006362075,438663918,0.11082566426057071,572209685,0.00019168745106775664,309844999,0.00034553261449264217,696345796,0.00011434102318462856,206850974,0.002405941348494401,41267110,0.004010695746977354,0.00011434102318462856,696345796
ML201800000010,0.0,3580.347012521732,27032.70314342201,0.0,0.0,0.0,30613.050155943743,438663918,0.07984180429713578,414694818,0.0005735068856137936,209428267,0.0002587349167582864,840419712,0.015726980491973682,917135146,0.0027054587487608537,41267110,0.039003893706864204,0.0002587349167582864,209428267
ML201800000011,146.71564778728512,14996.602673370964,119928.2611192732,4604.1864720232825,10320.844490465754,0.0,149996.6104029205,357253145,0.008299356058832549,413938768,0.0019648279290555713,210791081,0.000295676043660474,310438467,0.0008650991700933256,309847195,0.0011734672999566334,926430376,0.14545480285366635,0.000295676043660474,210791081
ML201800000012,146.71564778728512,22119.405278997692,197902.46422524797,2040.993199511762,7273.11957474964,0.0,229482.69792629435,357253188,0.0087187687817816,211452441,0.0010238101265314659,223991794,6.136183824982768e-05,310496717,0.006777613078378621,310516070,0.0019215450519857577,926430376,0.16411031820986546,6.136183824982768e-05,223991794
ML201800000013,0.0,6304.8932843019975,57267.02959655503,0.0,0.0,0.0,63571.92288085703,444951783,0.19604484232040195,217624523,0.015153031713212514,219192847,0.003460126374619729,308299964,0.0054376235469899455,657279495,0.007969339889772,681403934,0.22719999392861812,0.003460126374619729,219192847
ML201800000014,0.0,0.0,41659.320562541,0.0,0.0,0.0,41659.320562541,889970607,0.1330283392715993,25507861,0.008482891724577847,204822604,0.0012419936871438443,204793998,0.024238233871059504,917847325,0.001968200947195069,813321141,0.2061767332931654,0.0012419936871438443,204822604
ML201800000015,0.0,0.0,42328.50128855871,0.0,1965.1737113962508,0.0,44293.674999954965,444951783,0.1806969578586648,171390534,0.020317389437457894,171390515,0.0012898517225622466,308315625,0.03799234307379743,216387800,0.003940034855098973,803149291,0.46033996553348605,0.0012898517225622466,171390515
ML201800000016,0.0,17884.55683871594,89645.97534065043,651.4183331545839,531.5300846390896,0.0,108713.48059716004,438663918,0.17222884012124534,171390534,0.0010959727203216744,203426581,0.0004942833898716152,235610428,0.002864086139662333,860576240,0.0012734078119342627,41267110,0.11998423360236382,0.0004942833898716152,203426581
ML201800000017,0.0,5608.153349302853,36226.169117082914,0.0,806.0899199278945,0.0,42640.41238631366,889970607,0.13344158569506448,890492450,0.013157440537203562,926775213,0.008692905783508521,890492486,0.023508736155768782,236050106,0.02463255820273382,803149291,0.2923088505927847,0.008692905783508521,926775213
ML201800000018,0.0,7992.51341132742,12826.835019967333,0.0,0.0,0.0,20819.348431294755,671978425,0.7467336518037655,235821479,0.014658849850578415,790723575,0.0011190511149156038,773853098,0.04687050529942404,235821693,0.008148288429864665,561566858,0.488336200322998,0.0011190511149156038,790723575
ML201800000019,0.0,16938.829480007214,88453.7771413215,1059.749743470945,56079.60979573911,0.0,162531.96616053878,549835304,0.7914119782361411,453781978,0.0016755530490860774,238804565,0.0016755530490860774,452300670,0.017849103177816208,685696143,0.0002689861829771997,561566856,0.4544558551726664,0.0002689861829771997,685696143
ML201800000020,0.0,3166.1974253705034,25393.09864724645,0.0,0.0,0.0,28559.296072616955,671978425,0.4640005273062185,80334275,0.044310755533284056,739436662,0.0028265615978724287,569433530,0.013639256820249225,622833235,0.012222469186288006,561566858,0.19700308614276982,0.0028265615978724287,739436662
ML201800000021,0.0,0.0,19367.002349877697,0.0,0.0,0.0,19367.002349877697,1002545181,0.5565580018680234,307233206,0.044354914327138416,922433881,0.0006936834396205777,1006479766,0.05791793811865193,1006165178,0.016554488824271265,976124298,0.6962202503900603,0.0006936834396205777,922433881
ML201800000022,0.0,0.0,47289.30728346058,0.0,0.0,0.0,47289.30728346058,1002545181,0.701315277044732,201796513,0.006553597886517319,657740652,0.0020093239745305543,1005837838,0.023360948622095375,30911240,0.00487721379201584,561566858,0.7549199777606451,0.0020093239745305543,657740652
ML201800000023,0.0,9962.451878981632,51585.24349235729,0.0,3597.3344669637117,0.0,65145.02983830264,889970607,0.7114558539679279,414695523,0.016533405958472417,212026773,0.0016512501838296515,216747930,0.05716102542937895,216747928,0.008116479506371168,813321141,0.7555727310539858,0.0016512501838296515,212026773
ML201800000024,0.0,29297.762844584664,44264.66236158643,1501.6095850849294,4438.5892632225705,0.0,79502.62405447858,204154192,0.03705338772753903,994881274,0.0013411219695801696,994881264,0.0008158658060498522,585021764,0.01287905387976439,585021749,0.004994928024741047,928089331,0.3067520366750202,0.0008158658060498522,994881264
ML201800000025,0.0,28204.534430110412,72357.44362105051,0.0,0.0,0.0,100561.97805116093,444951789,0.10908619131655328,177181594,0.0002465441676851269,187999213,0.0002465441676851269,985839489,0.0009506223863673816,985839502,0.003882490452215662,41267110,0.20187641076741847,0.0002465441676851269,177181594
ML201800000026,0.0,0.0,26933.250872324665,0.0,15289.462870642983,0.0,42222.71374296765,204154192,0.4133857595870282,851762252,0.018128894111107796,305378644,8.78846193656541e-05,254910474,0.05375401344937435,793955982,0.0003252476187385379,926430378,0.46339861790047804,8.78846193656541e-05,305378644
ML201800000027,0.0,14024.843728335785,27611.70749515992,0.0,2964.6755425334777,0.0,44601.22676602918,438663918,0.15240153867932088,41268818,0.0001436116722835908,756574574,0.00025547056210935536,985760116,0.0013787239921397008,1014571174,0.0003174312041493624,921097505,0.042005323341199434,0.0001436116722835908,41268818
ML201800000028,0.0,0.0,46292.86645504249,0.0,0.0,0.0,46292.86645504249,871096450,0.414858129843735,217624510,0.054817332013766124,309202967,0.0006536881663954516,995192405,0.003899458306952301,201881577,0.007428211639431817,681403934,0.22639185772303555,0.0006536881663954516,309202967
ML201800000029,0.0,18818.30304847497,57195.68495429831,11357.386426370804,1011.7208858902318,0.0,88383.09531503433,403967662,0.062171032193912464,403967610,0.00394374678850758,169479670,0.006032290774818762,306940360,0.008286621401338026,656502949,0.02368985953749775,898416858,0.19777129814674144,0.00394374678850758,403967610
ML201800000030,0.0,3172.703454280983,2123.31383968438,24042.18834461781,0.0,0.0,29338.205638583175,1002545182,0.27816769734046376,988006341,0.006331380018815927,874864988,0.003586188212798776,213932807,0.005748204940228422,882979026,0.01755110488449016,976124297,0.18357714078764545,0.003586188212798776,874864988
ML201800000031,0.0,13915.586372672657,32867.5668400906,5042.318585399245,3053.5883710279913,0.0,54879.06016919049,403967663,0.45045938769962623,204191559,0.01958821009397506,609492381,0.013402151464046703,284985228,0.011568198385300515,204192062,0.01833156971794702,898416858,0.699690774899552,0.011568198385300515,284985228
ML201800000032,0.0,9269.339065592558,27349.392232662776,0.0,0.0,0.0,36618.731298255334,403967663,0.6274969999267757,213564603,0.026021077170602862,756952915,0.0011313556787803311,962235594,0.047299908193761744,963931943,0.011529186659319337,898416858,0.8091076865116353,0.0011313556787803311,756952915
ML201800000033,0.0,5635.890737610495,52659.44249720814,2139.9385624717256,17651.873912679457,0.0,78087.14570996982,167921395,0.607874568414534,680189671,0.02696950233537648,309771863,0.00035454821554079555,604197145,0.018838105087883483,772525363,4.253245381680993e-05,898416858,0.439327318663707,4.253245381680993e-05,772525363
ML201800000034,0.0,8362.259087445209,20290.126775464447,0.0,0.0,0.0,28652.385862909658,167921395,0.12682296066283935,591644406,0.026733307026284223,711815465,0.008684298203064588,929829851,0.10923506966690037,207617329,0.031188683695056247,898416858,0.14023567720240213,0.008684298203064588,711815465
ML201800000035,0.0,0.0,60254.17753389843,0.0,4054.253008562049,0.0,64308.43054246048,1002545181,0.5245786684102709,201801431,0.0013262746443173043,204783459,0.0013262746443173043,1006550673,0.049045893048884806,330451372,0.020150080056430635,976124298,0.7447403199392215,0.0013262746443173043,201801431
ML201800000036,0.0,8326.71370719113,22834.871129220945,0.0,1.1172815174058968,0.0,31162.702117929482,403967662,0.6114972108618706,246264395,0.01834202100080002,301777298,0.001697897699652425,313757836,0.054441845864241147,656502949,0.01641245417694454,898416858,0.5257384175604118,0.001697897699652425,301777298
ML201800000037,0.0,13235.633184289194,114123.4501982218,0.0,67.04383575167164,0.0,127426.12721826267,403967663,0.019583744279283517,202478583,0.000418159310302473,202490025,0.00012876143032007305,1014579107,0.01848420053743603,572887367,0.0008310620215718244,898416858,0.2662174262157796,0.00012876143032007305,202490025
