DHSID,service_traffic_count,water_traffic_count,driving_traffic_count,all_traffic_count
ML201800000001,0.0,0.0,0.0,0.0
ML201800000002,0.0,0.0,0.0,0.0
ML201800000003,0.0,0.0,5.0,5.0
ML201800000004,0.0,0.0,0.0,0.0
ML201800000005,0.0,0.0,0.0,0.0
ML201800000006,0.0,0.0,0.0,0.0
ML201800000007,0.0,0.0,0.0,0.0
ML201800000008,0.0,0.0,0.0,0.0
ML201800000009,0.0,0.0,0.0,0.0
ML201800000010,0.0,0.0,0.0,0.0
ML201800000011,19.0,2.0,11.0,32.0
ML201800000012,26.0,2.0,6.0,34.0
ML201800000013,0.0,0.0,0.0,0.0
ML201800000014,0.0,0.0,0.0,0.0
ML201800000015,0.0,0.0,0.0,0.0
ML201800000016,1.0,0.0,2.0,3.0
ML201800000017,0.0,0.0,0.0,0.0
ML201800000018,0.0,0.0,0.0,0.0
ML201800000019,0.0,1.0,0.0,1.0
ML201800000020,0.0,0.0,0.0,0.0
ML201800000021,0.0,0.0,0.0,0.0
ML201800000022,0.0,0.0,0.0,0.0
ML201800000023,0.0,0.0,0.0,0.0
ML201800000024,0.0,0.0,0.0,0.0
ML201800000025,3.0,0.0,0.0,3.0
ML201800000026,0.0,0.0,0.0,0.0
ML201800000027,0.0,0.0,0.0,0.0
ML201800000028,0.0,0.0,0.0,0.0
ML201800000029,0.0,0.0,1.0,1.0
ML201800000030,0.0,0.0,0.0,0.0
ML201800000031,0.0,0.0,0.0,0.0
ML201800000032,0.0,0.0,0.0,0.0
ML201800000033,0.0,0.0,0.0,0.0
ML201800000034,0.0,0.0,0.0,0.0
ML201800000035,0.0,0.0,0.0,0.0
ML201800000036,0.0,0.0,0.0,0.0
ML201800000037,11.0,0.0,8.0,19.0
ML201800000038,0.0,0.0,0.0,0.0
ML201800000039,0.0,0.0,0.0,0.0
ML201800000040,0.0,0.0,0.0,0.0
ML201800000041,0.0,0.0,0.0,0.0
ML201800000042,0.0,0.0,0.0,0.0
ML201800000043,0.0,0.0,0.0,0.0
ML201800000044,0.0,0.0,0.0,0.0
ML201800000045,0.0,0.0,0.0,0.0
ML201800000046,0.0,1.0,1.0,2.0
ML201800000047,1.0,0.0,31.0,32.0
ML201800000048,0.0,0.0,0.0,0.0
ML201800000049,0.0,0.0,0.0,0.0
ML201800000050,0.0,0.0,0.0,0.0
ML201800000051,1.0,0.0,0.0,1.0
ML201800000052,0.0,0.0,0.0,0.0
ML201800000053,0.0,0.0,0.0,0.0
ML201800000054,0.0,0.0,0.0,0.0
ML201800000055,0.0,0.0,0.0,0.0
ML201800000056,0.0,0.0,0.0,0.0
ML201800000057,0.0,0.0,0.0,0.0
ML201800000058,0.0,0.0,0.0,0.0
ML201800000059,0.0,0.0,0.0,0.0
ML201800000060,0.0,0.0,0.0,0.0
ML201800000061,3.0,0.0,0.0,3.0
ML201800000062,1.0,0.0,0.0,1.0
ML201800000063,0.0,0.0,0.0,0.0
ML201800000064,0.0,0.0,0.0,0.0
ML201800000065,0.0,0.0,0.0,0.0
ML201800000066,0.0,0.0,0.0,0.0
