DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
MR202000000001,0.0,2588.3981260929613,6689.798024881592,0.0,2354.4356228271445,0.0,11632.631773801697,967008603,0.5767851569126025,457048636,0.009743248073690494,953076939,0.008702701752472607,466856866,0.0273857225191096,457151298,0.009424540769505805,668606940,1.7474546986180146,0.008702701752472607,953076939
MR202000000002,0.0,4684.68749415719,8285.509310469828,0.0,5143.09322504719,0.0,18113.29002967421,967008603,0.5897458165858555,457048636,0.00013465647342836542,457060382,0.00019938344816227733,466630967,0.01966572063194571,963362483,0.004896540279824425,668606940,1.745952956486107,0.00013465647342836542,457048636
MR202000000003,0.0,2537.4122493247737,9.719014730470127,0.0,3112.533760934347,0.0,5659.66502498959,967008603,0.6119518762462612,684061328,0.0011220037858240197,672994396,7.671292758234716e-05,466624510,0.016408996116817537,963362522,0.0078068852531483724,668606940,1.7413837425710625,7.671292758234716e-05,672994396
MR202000000004,0.0,0.0,29896.034956431467,0.0,10790.881713443305,0.0,40686.91666987477,967008603,0.4238934274713388,465236148,0.07407330082815543,456759154,0.001715854662461713,456923455,0.015054280013894722,456759157,0.0008690582020802191,668606940,1.424829789751046,0.0008690582020802191,456759157
MR202000000005,0.0,0.0,28055.448192553107,553.8026657026605,10610.582505566961,0.0,39219.83336382273,967008603,0.4368311512367097,465236148,0.08458687442580415,456743130,0.004501370155747971,456923453,0.008283464470564994,456744268,0.005554765255193374,668606940,1.4196113946473765,0.004501370155747971,456743130
MR202000000006,0.0,0.0,45356.51879927815,998.5208410334823,13577.815731390647,0.0,59932.85537170228,967008603,0.4173127932530651,465236148,0.07751465275268232,189022472,0.0010846496160679757,456922706,0.010817957465200501,203459921,0.0010846496160679757,668606940,1.415810878076874,0.0010846496160679757,189022472
MR202000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967008603,0.3066570160354551,461141325,0.07213427039619515,671230728,0.11514356514187642,422096233,0.04930145491924237,449342189,0.00376861376627305,668606940,1.8043611883535329,0.00376861376627305,449342189
MR202000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967008603,0.23248208641344686,461141325,0.030349950264376445,671230728,0.03657341106522191,422096248,0.0016700823948742958,655421597,0.008099989571650246,668606940,1.754800477118894,0.0016700823948742958,422096248
MR202000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967008603,0.2274694068334669,266618179,0.046437119471708456,316859725,0.021697207138315543,422096233,0.07837429087923513,537009426,0.00953439809112283,668606940,1.8426766735864606,0.00953439809112283,537009426
MR202000000010,0.0,0.0,0.0,0.0,2439.487911361367,0.0,2439.487911361367,967008602,0.17371523828355087,464717702,0.07610310039704976,423894714,0.06181021951780007,466463509,0.10686169724755831,449397346,0.019736121525284183,668606940,1.50062014696245,0.019736121525284183,449397346
