DHSID,water_transport_count,ground_transport_count,air_transport_count,all_transport_count
MR202000000001,0.0,0.0,0.0,0.0
MR202000000002,0.0,0.0,0.0,0.0
MR202000000003,0.0,0.0,0.0,0.0
MR202000000004,0.0,0.0,0.0,0.0
MR202000000005,0.0,0.0,0.0,0.0
MR202000000006,0.0,0.0,0.0,0.0
MR202000000007,0.0,0.0,0.0,0.0
MR202000000008,0.0,0.0,0.0,0.0
MR202000000009,0.0,0.0,0.0,0.0
MR202000000010,0.0,0.0,0.0,0.0
MR202000000011,0.0,0.0,0.0,0.0
MR202000000012,0.0,0.0,0.0,0.0
MR202000000013,0.0,0.0,0.0,0.0
MR202000000014,0.0,0.0,0.0,0.0
MR202000000015,0.0,0.0,0.0,0.0
MR202000000016,0.0,0.0,0.0,0.0
MR202000000017,0.0,0.0,0.0,0.0
MR202000000018,0.0,0.0,0.0,0.0
MR202000000019,0.0,0.0,0.0,0.0
MR202000000020,0.0,0.0,0.0,0.0
MR202000000021,0.0,0.0,0.0,0.0
MR202000000022,0.0,0.0,0.0,0.0
MR202000000023,0.0,0.0,0.0,0.0
MR202000000024,0.0,0.0,0.0,0.0
MR202000000025,0.0,0.0,0.0,0.0
MR202000000026,0.0,0.0,0.0,0.0
MR202000000027,0.0,0.0,0.0,0.0
MR202000000028,0.0,0.0,0.0,0.0
MR202000000029,0.0,0.0,0.0,0.0
MR202000000030,0.0,0.0,0.0,0.0
MR202000000031,0.0,0.0,0.0,0.0
MR202000000032,0.0,0.0,0.0,0.0
MR202000000033,0.0,0.0,0.0,0.0
MR202000000035,0.0,0.0,0.0,0.0
MR202000000036,0.0,0.0,0.0,0.0
MR202000000037,0.0,0.0,0.0,0.0
MR202000000038,0.0,0.0,0.0,0.0
MR202000000039,0.0,0.0,0.0,0.0
MR202000000040,0.0,0.0,0.0,0.0
MR202000000041,0.0,0.0,0.0,0.0
MR202000000042,0.0,0.0,0.0,0.0
MR202000000043,0.0,0.0,0.0,0.0
MR202000000044,0.0,0.0,0.0,0.0
MR202000000045,0.0,0.0,0.0,0.0
MR202000000046,0.0,0.0,0.0,0.0
MR202000000047,0.0,0.0,0.0,0.0
MR202000000048,0.0,0.0,0.0,0.0
MR202000000049,0.0,0.0,0.0,0.0
MR202000000050,0.0,0.0,0.0,0.0
MR202000000051,0.0,0.0,0.0,0.0
MR202000000052,0.0,0.0,0.0,0.0
MR202000000053,0.0,0.0,0.0,0.0
MR202000000054,0.0,0.0,0.0,0.0
MR202000000055,0.0,0.0,0.0,0.0
MR202000000056,0.0,0.0,0.0,0.0
MR202000000057,0.0,0.0,0.0,0.0
MR202000000058,0.0,0.0,0.0,0.0
MR202000000059,0.0,0.0,0.0,0.0
MR202000000060,0.0,0.0,0.0,0.0
MR202000000061,0.0,0.0,0.0,0.0
MR202000000062,0.0,0.0,0.0,0.0
MR202000000063,0.0,0.0,0.0,0.0
MR202000000064,0.0,0.0,0.0,0.0
MR202000000066,0.0,0.0,0.0,0.0
MR202000000067,0.0,0.0,0.0,0.0
MR202000000068,0.0,0.0,0.0,0.0
MR202000000069,0.0,0.0,0.0,0.0
MR202000000070,0.0,0.0,0.0,0.0
MR202000000071,0.0,0.0,0.0,0.0
MR202000000072,0.0,0.0,2.0,2.0
MR202000000073,0.0,0.0,2.0,2.0
MR202000000074,0.0,0.0,0.0,0.0
MR202000000075,0.0,0.0,0.0,0.0
MR202000000076,0.0,0.0,0.0,0.0
MR202000000077,0.0,0.0,0.0,0.0
MR202000000078,0.0,0.0,0.0,0.0
MR202000000079,0.0,0.0,0.0,0.0
MR202000000080,0.0,0.0,0.0,0.0
MR202000000081,0.0,0.0,0.0,0.0
MR202000000082,0.0,0.0,0.0,0.0
MR202000000083,0.0,0.0,0.0,0.0
MR202000000084,0.0,0.0,0.0,0.0
MR202000000085,0.0,0.0,0.0,0.0
MR202000000086,0.0,0.0,0.0,0.0
MR202000000087,0.0,0.0,0.0,0.0
MR202000000088,0.0,0.0,0.0,0.0
MR202000000089,0.0,0.0,0.0,0.0
MR202000000090,0.0,0.0,0.0,0.0
MR202000000091,0.0,0.0,0.0,0.0
MR202000000092,0.0,0.0,0.0,0.0
MR202000000093,0.0,0.0,0.0,0.0
MR202000000094,0.0,0.0,0.0,0.0
MR202000000095,0.0,0.0,0.0,0.0
MR202000000096,0.0,0.0,0.0,0.0
MR202000000097,0.0,0.0,0.0,0.0
MR202000000098,0.0,0.0,1.0,1.0
MR202000000099,0.0,0.0,1.0,1.0
MR202000000100,0.0,0.0,1.0,1.0
MR202000000101,0.0,0.0,1.0,1.0
MR202000000102,0.0,0.0,1.0,1.0
MR202000000103,0.0,0.0,1.0,1.0
