DHSID,education_pois_count,health_pois_count,lodging_pois_count,food_pois_count,services_pois_count,landmark_pois_count,entertainment_pois_count,other_pois_count,retail_pois_count,all_pois_count
NG201800000001,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
NG201800000002,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0
NG201800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000009,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0
NG201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000041,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
NG201800000042,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0
NG201800000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000044,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
NG201800000045,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
NG201800000046,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
NG201800000047,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
NG201800000049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000050,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000051,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
NG201800000052,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
NG201800000053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000054,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
NG201800000055,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
NG201800000056,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
NG201800000057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000062,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
NG201800000063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NG201800000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000066,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
NG201800000067,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
NG201800000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000082,1.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,9.0
NG201800000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NG201800000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
