DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length
NG201800000001,104.34454515016081,15617.498345227319,140794.850483545,0.0,2644.6571685514173,0.0,159161.35054247387
NG201800000002,196.5690705149242,21778.907814220678,113535.79607441585,60.69660818992894,2150.7556136988646,0.0,137722.72518104024
NG201800000003,0.0,12286.128052972948,83105.70879422236,493.4107981033322,209.055793381365,0.0,96094.30343868001
NG201800000004,104.91695497264398,8632.398282635226,39694.47354582252,0.0,0.0,0.0,48431.78878343039
NG201800000005,0.0,6839.255608729861,5998.234189098077,0.0,0.0,0.0,12837.489797827937
NG201800000006,0.0,0.0,27758.52706146132,0.0,0.0,0.0,27758.52706146132
NG201800000007,0.0,4347.905020368069,39415.79826999748,0.0,0.0,0.0,43763.70329036555
NG201800000008,0.0,0.0,13951.976435887409,0.0,0.0,0.0,13951.976435887409
NG201800000009,503.83064053285864,46635.6456834498,372732.1458032119,0.0,8010.550705597083,0.0,427882.17283279164
NG201800000010,0.0,10068.549182856561,4848.02573670011,0.0,0.0,0.0,14916.574919556671
NG201800000011,0.0,13992.010713530586,36006.57597900309,0.0,0.0,0.0,49998.58669253368
NG201800000012,0.0,9592.146352737833,3550.1981821298386,0.0,0.0,0.0,13142.344534867672
NG201800000013,0.0,15350.121458074227,392.56193238628924,0.0,0.0,0.0,15742.683390460516
NG201800000014,0.0,20580.526602823535,19033.661774276974,0.0,0.0,0.0,39614.18837710051
NG201800000015,0.0,11665.180446204764,19801.735538691642,0.0,0.0,0.0,31466.915984896405
NG201800000016,0.0,0.0,34452.535164629335,0.0,0.0,0.0,34452.535164629335
NG201800000017,0.0,13315.153633369373,10458.476132120953,0.0,672.9373355477179,0.0,24446.567101038043
NG201800000018,0.0,2131.8328236609104,21899.668372735297,0.0,8195.82350688,0.0,32227.32470327621
NG201800000019,0.0,24988.707261511252,12162.114256777162,0.0,0.0,0.0,37150.821518288416
NG201800000020,0.0,10082.290028029192,19430.833046906137,0.0,10178.735580311648,0.0,39691.85865524698
NG201800000021,0.0,16531.662884498397,26135.901776331444,347.6596342909194,2965.1141397872025,0.0,45980.338434907964
NG201800000022,0.0,5394.020257214277,33371.66332321537,0.0,43140.24635069592,0.0,81905.92993112556
NG201800000023,0.0,10242.65309333951,17634.37272256176,0.0,5536.371509167346,0.0,33413.39732506861
NG201800000024,0.0,10035.013913156929,13851.137037731423,0.0,5173.15494907053,0.0,29059.305899958883
NG201800000025,0.0,7756.783205254196,1114.9884070453406,0.0,1525.8915966347254,0.0,10397.663208934262
NG201800000026,0.0,22074.343723243986,45266.63324106096,0.0,0.0,0.0,67340.97696430495
NG201800000027,50.95647670626586,18955.157294181186,100370.60033646703,0.0,1255.1543951870735,0.0,120631.86850254156
NG201800000028,0.0,0.0,34096.25134166349,0.0,0.0,0.0,34096.25134166349
NG201800000029,0.0,9617.027091354163,28393.259465736606,0.0,0.0,0.0,38010.28655709077
NG201800000030,0.0,14159.732733789273,15924.360183415645,0.0,392.029529875214,0.0,30476.12244708013
NG201800000031,59.209595422023554,25059.48318657913,11174.528250582995,0.0,2698.212148652699,0.0,38991.43318123685
NG201800000032,0.0,0.0,35262.49265522335,0.0,0.0,0.0,35262.49265522335
NG201800000033,0.0,19193.15938174815,28426.133736469208,2717.4810757836312,9729.633917513296,0.0,60066.40811151429
NG201800000034,116.77451832337081,10113.152569658287,45054.89073304133,0.0,363.9370560626539,0.0,55648.75487708564
NG201800000035,0.0,5398.783199784775,42444.663186484024,0.0,0.0,0.0,47843.4463862688
NG201800000036,0.0,10413.632362657858,41537.594887253625,0.0,4006.8521366022687,0.0,55958.07938651375
NG201800000037,0.0,20809.77758056971,23236.89032887425,0.0,154.38761119754952,0.0,44201.05552064151
NG201800000038,70.98373602647902,25934.915840298763,10350.593922768912,0.0,4190.735543852483,0.0,40547.22904294664
NG201800000039,0.0,7826.658330540805,122625.64524816038,0.0,13377.7150772241,0.0,143830.0186559253
NG201800000040,16.23300749547391,9082.180177471422,112368.13982063011,0.0,14594.292259384276,0.0,136060.84526498127
NG201800000041,89.36878567558108,5158.464644933761,125883.72061536119,3615.0428251851044,6340.5873080203355,0.0,141087.18417917597
NG201800000042,5672.125076576386,22159.051384899958,135936.6793259247,644.7795177411323,12138.921002731035,0.0,176551.55630787322
NG201800000043,1104.23848640178,27805.98692371262,111215.8620831992,233.6255741424519,22633.60221777816,0.0,162993.3152852342
NG201800000044,0.0,6634.870519982877,93929.1616936909,157.99808117501053,10166.654712385047,0.0,110888.68500723384
