DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
NG201800000001,104.34454515016081,15617.498345227319,140794.850483545,0.0,2644.6571685514173,0.0,159161.35054247387,556932181,0.0011787561745216593,453607622,0.0001841624766235931,570270218,0.0001841624766235931,484840482,0.03671976718159211,574430493,0.008012350287498572,777258791,0.33326661257553647,0.0001841624766235931,453607622
NG201800000002,196.5690705149242,21778.907814220678,113535.79607441585,60.69660818992894,2150.7556136988646,0.0,137722.72518104024,555578633,0.006302154715461394,374265890,0.00039615069996737985,487505119,0.0001801828977577062,453672511,0.005189966491713099,401420470,0.0034481821321147156,777258791,0.3045295909521429,0.0001801828977577062,487505119
NG201800000003,0.0,12286.128052972948,83105.70879422236,493.4107981033322,209.055793381365,0.0,96094.30343868001,427984516,0.02780740687553005,374541499,0.0011885903363246361,561566051,0.00033207671000732035,486801895,0.00688306641775134,488359877,0.011543571017915411,1010820273,0.26809760750393485,0.00033207671000732035,561566051
NG201800000004,104.91695497264398,8632.398282635226,39694.47354582252,0.0,0.0,0.0,48431.78878343039,560007416,0.004648902979069327,378326730,0.00031657354983130045,560625555,0.00040188921850503747,770309009,0.03227993765615367,547808827,0.01117501632321763,1010252442,0.4599269351079625,0.00031657354983130045,378326730
NG201800000005,0.0,6839.255608729861,5998.234189098077,0.0,0.0,0.0,12837.489797827937,596723262,0.05853019664904864,294440946,0.00156188629724137,967693581,0.0010795096702832907,684918542,0.07164467327833877,375666760,0.017869297754104865,808259203,0.4376808763527428,0.0010795096702832907,967693581
NG201800000006,0.0,0.0,27758.52706146132,0.0,0.0,0.0,27758.52706146132,583158057,0.023338944357349383,378478042,0.00378506046420172,378636902,0.0005525943308363411,770619872,0.01025758151185179,767816577,0.003825563028879698,1010252442,0.2583472612446532,0.0005525943308363411,378636902
NG201800000007,0.0,4347.905020368069,39415.79826999748,0.0,0.0,0.0,43763.70329036555,610522060,0.009057282357005815,246133402,0.0005978385366524372,377981937,0.00015950562981688278,970990311,0.008577740478510135,767530728,0.0024156063795483583,1010252442,0.1502002510335772,0.00015950562981688278,377981937
NG201800000008,0.0,0.0,13951.976435887409,0.0,0.0,0.0,13951.976435887409,561802774,0.02428578668004237,39727263,0.006757404345569188,655445452,0.0004587798922612604,725348764,0.003341456264506658,725358857,0.0035942553494424374,1010252442,0.4358384913176937,0.0004587798922612604,655445452
NG201800000009,503.83064053285864,46635.6456834498,372732.1458032119,0.0,8010.550705597083,0.0,427882.17283279164,556932181,0.018174588540468266,255783867,0.008859354691435334,571407260,0.0003919093929787902,484840482,0.029539450458662315,573225970,0.021529919529973216,777258791,0.34979859003765046,0.0003919093929787902,571407260
NG201800000010,0.0,10068.549182856561,4848.02573670011,0.0,0.0,0.0,14916.574919556671,559333425,0.04625341940963869,79854106,0.0014771835680306188,534703727,0.0030856543485970104,718364484,0.013827216106800794,681068969,0.011957340932911668,777258791,0.22451354965493417,0.0014771835680306188,79854106
