DHSID,industrial_buildings_count,industrial_buildings_avgarea,industrial_buildings_totalarea,industrial_buildings_ratio,government_buildings_count,government_buildings_avgarea,government_buildings_totalarea,government_buildings_ratio,health_buildings_count,health_buildings_avgarea,health_buildings_totalarea,health_buildings_ratio,commercial_buildings_count,commercial_buildings_avgarea,commercial_buildings_totalarea,commercial_buildings_ratio,residential_buildings_count,residential_buildings_avgarea,residential_buildings_totalarea,residential_buildings_ratio,damaged_buildings_count,damaged_buildings_avgarea,damaged_buildings_totalarea,damaged_buildings_ratio,education_buildings_count,education_buildings_avgarea,education_buildings_totalarea,education_buildings_ratio,religious_buildings_count,religious_buildings_avgarea,religious_buildings_totalarea,religious_buildings_ratio,recreational_buildings_count,recreational_buildings_avgarea,recreational_buildings_totalarea,recreational_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,buffer_area,all_buildings_ratio
PH201700000386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1038.502145024063,3115.50643507219,3.9731653369462615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3115.50643507219,1038.5021450240633,78413712.2636515,3.973165336946272e-05
PH201700000387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,289.6401327524213,289.6401327524213,2.3085896298543208e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,289.6401327524213,289.6401327524213,12546193.96218541,2.3085896298543208e-05
PH201700000388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,517.1296066128147,1034.2592132256293,1.3189774892280516e-05,0.0,0.0,0.0,0.0,1.0,635.6539005056161,635.6539005056161,8.106412541321117e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1669.9131137312454,556.6377045770818,78413712.2636518,2.1296187433601755e-05
PH201700000389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,175.65801417608452,7728.9526237477185,9.856634000136222e-05,0.0,0.0,0.0,0.0,4.0,598.9818942378495,2395.927576951398,3.055495662411242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,10124.880200699117,210.93500418123162,78413712.26364748,0.00012912129662547556
PH201700000390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78413712.26364508,0.0
PH201700000391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.22838090176625,50.22838090176625,6.405560896400637e-07,0.0,0.0,0.0,0.0,2.0,587.8898117519618,1175.7796235039236,1.4994566505799023e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1226.00800440569,408.66933480189664,78413712.26365171,1.5635122595439214e-05
PH201700000392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,144.96736496166187,5508.759868543151,7.025250698527943e-05,0.0,0.0,0.0,0.0,4.0,598.9818942378495,2395.927576951398,3.055495662411505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7904.687445494549,188.2068439403464,78413712.26364112,0.0001008074636093947
PH201700000393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,349.19824437682115,698.3964887536423,8.906560709757525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,698.3964887536423,349.19824437682115,78413712.26364788,8.90656070975758e-06
PH201700000394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,517.1296066128147,1034.2592132256293,1.318977489228198e-05,0.0,0.0,0.0,0.0,1.0,635.6539005056161,635.6539005056161,8.106412541322016e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1669.9131137312454,556.6377045770818,78413712.26364346,2.1296187433604022e-05
PH201700000395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,79.00405181906854,158.00810363813707,2.015057049038524e-06,0.0,0.0,0.0,0.0,2.0,262.16436483205246,524.3287296641049,6.686696937663e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,682.336833302242,170.5842083255605,78413712.26364534,8.701753986701525e-06
