DHSID,landmark_pois_count,food_pois_count,health_pois_count,entertainment_pois_count,services_pois_count,lodging_pois_count,retail_pois_count,education_pois_count,all_pois_count
PH201700000386,3.0,1.0,0.0,4.0,5.0,0.0,4.0,15.0,32.0
PH201700000387,4.0,1.0,1.0,2.0,2.0,3.0,2.0,14.0,29.0
PH201700000388,4.0,1.0,3.0,7.0,13.0,0.0,2.0,9.0,39.0
PH201700000389,6.0,5.0,1.0,20.0,19.0,5.0,6.0,17.0,79.0
PH201700000390,9.0,1.0,0.0,2.0,11.0,1.0,4.0,16.0,44.0
PH201700000391,2.0,23.0,2.0,16.0,13.0,41.0,11.0,13.0,121.0
PH201700000392,9.0,11.0,8.0,21.0,35.0,6.0,13.0,28.0,131.0
PH201700000393,1.0,1.0,3.0,1.0,5.0,0.0,4.0,5.0,20.0
PH201700000394,3.0,1.0,3.0,7.0,13.0,0.0,2.0,9.0,38.0
PH201700000395,7.0,6.0,1.0,16.0,7.0,10.0,9.0,24.0,80.0
PH201700000396,3.0,4.0,1.0,13.0,9.0,3.0,3.0,13.0,49.0
PH201700000397,6.0,7.0,7.0,13.0,29.0,3.0,10.0,23.0,98.0
PH201700000398,10.0,13.0,3.0,14.0,18.0,2.0,10.0,10.0,80.0
PH201700000399,2.0,1.0,0.0,3.0,2.0,0.0,2.0,7.0,17.0
PH201700000400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
PH201700000401,4.0,29.0,8.0,11.0,58.0,5.0,24.0,17.0,156.0
PH201700000402,1.0,2.0,0.0,0.0,8.0,1.0,8.0,24.0,44.0
PH201700000403,3.0,30.0,8.0,10.0,62.0,8.0,23.0,18.0,162.0
PH201700000405,18.0,68.0,17.0,33.0,59.0,51.0,55.0,22.0,323.0
PH201700000406,22.0,74.0,20.0,47.0,70.0,58.0,61.0,43.0,395.0
PH201700000407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
PH201700000408,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
PH201700000409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
PH201700000410,4.0,5.0,0.0,2.0,5.0,1.0,0.0,23.0,40.0
PH201700000411,0.0,0.0,0.0,17.0,10.0,1.0,0.0,26.0,54.0
PH201700000412,0.0,0.0,0.0,9.0,4.0,0.0,2.0,27.0,42.0
PH201700000414,5.0,41.0,10.0,42.0,144.0,40.0,31.0,46.0,359.0
PH201700000416,3.0,54.0,19.0,25.0,59.0,13.0,30.0,27.0,230.0
PH201700000417,7.0,7.0,8.0,15.0,20.0,2.0,8.0,28.0,95.0
PH201700000418,13.0,130.0,19.0,56.0,102.0,57.0,54.0,59.0,490.0
PH201700000419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PH201700000420,5.0,5.0,8.0,9.0,19.0,5.0,8.0,31.0,90.0
PH201700000421,0.0,0.0,0.0,1.0,3.0,1.0,0.0,19.0,24.0
PH201700000422,6.0,8.0,4.0,12.0,22.0,4.0,3.0,61.0,120.0
PH201700000423,5.0,8.0,17.0,22.0,22.0,1.0,4.0,51.0,130.0
PH201700000424,8.0,1.0,1.0,19.0,10.0,15.0,5.0,51.0,110.0
