DHSID,minor_roads_count,minor_roads_length,small_roads_count,small_roads_length,nocars_roads_count,nocars_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
PH201700000386,346.0,111390.39701118712,12.0,7261.629156056946,0.0,0.0,43.0,8217.221319315406,0.0,0.0,0.0,0.0,832472288,0.005105682558779718,832476578,0.005369578752788226,614090186,0.03507418040501024,107324819,0.007143081972569534,836008389,0.04301014060827826,274982761,0.2317132045930506,126869.24748655947,401.0,0.005105682558779718
PH201700000387,275.0,102491.66453784365,50.0,18510.845038175594,0.0,0.0,47.0,18309.428860023803,0.0,0.0,0.0,0.0,840021612,0.0016884532506980007,837136868,0.0029746867452672163,838433251,0.019850548384205805,343920651,0.0007026053933349336,836008389,0.024685459693136905,274982761,0.2128648324929143,139311.93843604304,372.0,0.0007026053933349336
PH201700000388,362.0,143532.7997099698,44.0,10135.764787234328,10.0,7345.21508086663,25.0,3883.9476313915648,0.0,0.0,0.0,0.0,344110828,0.0015258522732004953,837756775,0.0025604010961516677,97101069,0.007963922716572331,97101697,0.0016485286569338643,837790743,0.028912398508491362,274982761,0.10397298508796571,164897.72720946232,441.0,0.0015258522732004953
PH201700000389,555.0,166853.21022553399,80.0,31422.32654776392,13.0,2310.2138111827517,91.0,15660.60171863891,0.0,0.0,0.0,0.0,107278040,0.0002917094403114082,835525460,0.008656413154332212,835525465,0.010279235631016419,107183557,0.00044244729484157374,252225475,0.02902048394607524,274982761,0.23518516028571124,216246.35230311955,739.0,0.0002917094403114082
PH201700000390,430.0,151523.98147653913,31.0,7172.622269666648,18.0,5813.856174552519,32.0,7064.25563249123,4.0,3135.7145476038913,0.0,0.0,343911493,0.00015032650557646857,343926448,0.00338555493355933,795841016,0.008114385676339146,107546766,0.0005972660135287101,838534951,0.004519512886617747,274982761,0.13623558757510074,174710.4301008534,515.0,0.00015032650557646857
PH201700000391,100.0,66169.57070760695,49.0,8411.231129133026,47.0,6317.3771819625135,39.0,7213.468764401602,0.0,0.0,0.0,0.0,449298467,0.00024587419746414544,435946397,0.0009477058975649435,305369096,0.005043059904895286,205771020,0.00017983866882608944,182381031,0.04362752013753861,203985389,0.0924650187129072,88111.6477831041,235.0,0.00017983866882608944
PH201700000392,864.0,290440.5335733815,71.0,30132.47165760426,12.0,2662.9630585170044,89.0,17309.74683474757,0.0,0.0,0.0,0.0,107268321,0.0006718241006128166,841644920,0.0011144720737000908,101917599,0.0034516231529799226,48845756,0.0005984080364318557,107092464,0.03804759825104908,274982761,0.18918404463795166,340545.71512425033,1036.0,0.0005984080364318557
PH201700000393,270.0,108078.7994834146,32.0,16952.86337596917,2.0,6363.761100193885,54.0,8282.647424042842,0.0,0.0,0.0,0.0,343474502,0.0012225458990461863,525241822,0.004528124826981065,871376054,0.008232560885097792,836743044,0.0025847663156006485,837790742,0.04035431862300233,274982761,0.08906868114225014,139678.0713836205,358.0,0.0012225458990461863
PH201700000394,348.0,139301.762111465,41.0,9598.395198118813,10.0,7345.21508086663,25.0,3944.138586286517,0.0,0.0,0.0,0.0,344110828,0.0006233524973544212,837756775,0.0019926050481200437,97101069,0.008782263043476592,97101697,0.0016757225146253256,837790743,0.02850711689026417,274982761,0.10381693947868026,160189.51097673696,424.0,0.0006233524973544212
PH201700000395,813.0,227439.7548478594,79.0,23338.675424165292,29.0,5774.3670593231445,95.0,32005.018750872347,0.0,0.0,0.0,0.0,107035223,0.0001488506838643457,103397145,0.006163805715048999,303418516,0.004083333895733837,35768626,0.0025929931345292185,107092464,0.024179453435273487,274982761,0.23295482623411184,288557.8160822202,1016.0,0.0001488506838643457
PH201700000396,307.0,80471.1359803951,38.0,13378.579389240167,9.0,1149.958661530267,61.0,9967.568021151867,0.0,0.0,0.0,0.0,855302784,0.0034798508327295043,107193982,0.007089495340828863,343336808,0.006847240865756522,99146114,0.008791030319792796,252225475,0.039819727678701254,274982761,0.2647239801481345,104967.24205231741,415.0,0.0034798508327295043
PH201700000397,730.0,254454.39792804612,60.0,24883.80061921112,11.0,2517.0599200183233,66.0,13133.785270340904,0.0,0.0,0.0,0.0,107215850,0.0012633830538225004,866834169,0.0017269222725821098,101917599,0.006938487211312159,840506722,0.000921898989855235,107092464,0.04558754662511765,274982761,0.1809595690233264,294989.04373761645,867.0,0.000921898989855235
