DHSID,air_transport_count,ground_transport_count,water_transport_count,all_transport_count
PH201700000386,0.0,0.0,0.0,0.0
PH201700000387,1.0,3.0,0.0,4.0
PH201700000388,0.0,1.0,0.0,1.0
PH201700000389,0.0,0.0,0.0,0.0
PH201700000390,0.0,0.0,0.0,0.0
PH201700000391,0.0,2.0,0.0,2.0
PH201700000392,0.0,6.0,0.0,6.0
PH201700000393,0.0,1.0,0.0,1.0
PH201700000394,0.0,1.0,0.0,1.0
PH201700000395,7.0,6.0,0.0,13.0
PH201700000396,0.0,0.0,0.0,0.0
PH201700000397,0.0,6.0,0.0,6.0
PH201700000398,0.0,1.0,0.0,1.0
PH201700000399,0.0,0.0,0.0,0.0
PH201700000400,0.0,0.0,0.0,0.0
PH201700000401,0.0,7.0,0.0,7.0
PH201700000402,0.0,7.0,0.0,7.0
PH201700000403,0.0,7.0,0.0,7.0
PH201700000405,0.0,10.0,0.0,10.0
PH201700000406,1.0,10.0,0.0,11.0
PH201700000407,0.0,0.0,0.0,0.0
PH201700000408,0.0,0.0,0.0,0.0
PH201700000409,0.0,0.0,0.0,0.0
PH201700000410,0.0,5.0,0.0,5.0
PH201700000411,0.0,1.0,0.0,1.0
PH201700000412,0.0,0.0,0.0,0.0
PH201700000414,3.0,7.0,0.0,10.0
PH201700000416,2.0,10.0,0.0,12.0
PH201700000417,0.0,8.0,0.0,8.0
PH201700000418,5.0,17.0,0.0,22.0
PH201700000419,0.0,0.0,0.0,0.0
PH201700000420,0.0,2.0,0.0,2.0
PH201700000421,0.0,0.0,0.0,0.0
PH201700000422,0.0,2.0,0.0,2.0
PH201700000423,0.0,3.0,0.0,3.0
PH201700000424,0.0,1.0,0.0,1.0
PH201700000425,0.0,4.0,0.0,4.0
PH201700000426,0.0,0.0,0.0,0.0
PH201700000427,1.0,15.0,0.0,16.0
PH201700000428,0.0,2.0,0.0,2.0
PH201700000429,2.0,4.0,0.0,6.0
PH201700000430,0.0,1.0,0.0,1.0
PH201700000431,0.0,0.0,0.0,0.0
PH201700000432,0.0,0.0,0.0,0.0
PH201700000433,0.0,0.0,0.0,0.0
PH201700000434,1.0,0.0,1.0,2.0
PH201700000435,2.0,0.0,0.0,2.0
PH201700000436,1.0,0.0,1.0,2.0
PH201700000437,1.0,0.0,1.0,2.0
PH201700000438,0.0,0.0,0.0,0.0
PH201700000439,1.0,0.0,1.0,2.0
PH201700000440,1.0,0.0,1.0,2.0
PH201700000441,0.0,0.0,0.0,0.0
PH201700000442,1.0,0.0,1.0,2.0
PH201700000443,1.0,0.0,1.0,2.0
PH201700000444,0.0,0.0,0.0,0.0
PH201700000445,1.0,0.0,1.0,2.0
PH201700000446,0.0,0.0,0.0,0.0
PH201700000447,0.0,3.0,1.0,4.0
PH201700000449,0.0,0.0,0.0,0.0
PH201700000450,2.0,12.0,0.0,14.0
