DHSID,food_pois_count,education_pois_count,services_pois_count,landmark_pois_count,health_pois_count,retail_pois_count,entertainment_pois_count,other_pois_count,lodging_pois_count,all_pois_count
PK201700000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PK201700000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000003,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,8.0
PK201700000004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
PK201700000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PK201700000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000009,14.0,1.0,16.0,0.0,3.0,45.0,2.0,0.0,7.0,88.0
PK201700000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000015,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
PK201700000016,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
PK201700000017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
PK201700000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
PK201700000023,2.0,8.0,1.0,0.0,2.0,8.0,1.0,0.0,2.0,24.0
PK201700000024,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PK201700000025,2.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0
PK201700000026,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
PK201700000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000028,6.0,13.0,25.0,3.0,5.0,19.0,23.0,0.0,6.0,100.0
PK201700000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000031,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0
PK201700000032,25.0,24.0,8.0,4.0,9.0,2.0,6.0,0.0,4.0,82.0
PK201700000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000035,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
PK201700000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK201700000037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
PK201700000038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
PK201700000039,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0
PK201700000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
PK201700000041,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
PK201700000042,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
PK201700000043,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PK201700000044,1.0,1.0,4.0,2.0,3.0,0.0,4.0,0.0,0.0,15.0
PK201700000045,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0
PK201700000046,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,11.0
PK201700000047,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0
PK201700000048,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
PK201700000049,0.0,8.0,2.0,10.0,1.0,4.0,5.0,0.0,1.0,31.0
