DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
PK201700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889372358,0.07464021109334151,938313739,0.013086315638113579,717426343,0.013233995706800191,396196719,0.05228817737509896,400162324,0.06397345470306316,73539093,0.34468317173772894,0.013086315638113579,938313739
PK201700000002,0.0,0.0,0.0,1674.193891310702,268.4488425282179,0.0,1942.6427338389199,431326452,0.09120610792665679,938339702,0.014147291691216228,938339701,0.012920104569509705,966730221,0.008278109596589495,966424882,0.01667508289348849,74680131,0.09802368772941895,0.008278109596589495,966730221
PK201700000003,0.0,26672.04669059567,51166.35469478737,35.03016421177837,1986.2994339099737,0.0,79859.73098350479,711811866,0.3051658823753279,265931744,0.0019439327020645328,969596130,0.006005339885705179,969721862,0.02978274328740424,199271324,0.0376140823257669,297455294,0.07054552498531436,0.0019439327020645328,265931744
PK201700000004,0.0,11623.387270699865,0.0,0.0,0.0,0.0,11623.387270699865,898300094,0.03027651678561055,208986287,0.005423131487335336,968196023,0.020715779384396258,964249360,0.058009046773231765,779570047,0.006614966261958756,297455294,0.3243908856661761,0.005423131487335336,208986287
PK201700000005,0.0,34211.22813201339,95544.3471359248,0.0,0.0,0.0,129755.5752679382,684000466,0.20054475420783857,206861155,0.0021824883299594805,968775769,0.0013599526704552772,170319237,0.056191114586315226,698770271,0.05821336825407162,375386012,0.18451946436732547,0.0013599526704552772,968775769
PK201700000006,0.0,55720.73635483257,100478.63226064162,0.0,0.0,0.0,156199.3686154742,684000466,0.0684954073761025,304914688,0.00026664391027098966,968533658,0.0013408750217903263,170319241,0.022716967960079465,405959123,0.005451220450170325,301868032,0.068830380364299,0.00026664391027098966,304914688
PK201700000007,0.0,29592.35292607807,71249.60965026269,656.7162603903596,0.0,0.0,101498.67883673112,842366818,0.20789560641811664,31136195,0.007294647878556038,968535816,0.001423933951127405,965305403,0.050990518234548636,998181675,0.05376746148300724,375386012,0.14400510368464944,0.001423933951127405,968535816
PK201700000008,195.0391232555529,20089.686788695413,37598.56903659243,267.8281786258631,0.0,0.0,58151.12312716925,702568158,0.02544133819515869,271023554,0.005567947846680914,965240701,0.0008623307392211506,387843827,0.033654006398574174,996256479,0.06266658246334149,899748819,0.19771434810352023,0.0008623307392211506,965240701
PK201700000009,0.0,52567.42802276242,158317.071184436,5569.628946261418,6872.94699239336,0.0,223327.0751458532,717323171,0.06523337622485526,450097705,0.0028687155475220776,777860410,0.0007726295261412112,684575098,0.010711636569227845,711861064,0.013499945387000941,917691523,0.04664179175811929,0.0007726295261412112,777860410
PK201700000010,0.0,4312.54565871429,18624.84730286179,0.0,0.0,0.0,22937.39296157608,717323171,0.14192659481593184,445435378,0.0009491341308505256,491105174,0.0015693082382357243,455310795,0.03196104997944636,405954373,0.004036886298483127,917691523,0.056627617293693776,0.0009491341308505256,445435378
PK201700000011,0.0,4388.0553885213685,9913.244967773377,0.0,0.0,0.0,14301.300356294745,717323171,0.14961267614462734,445435378,0.003255665653375597,484824106,0.0037220263208476586,455310795,0.040833112255228864,405954373,0.009635398591361456,917691523,0.06538110298001407,0.003255665653375597,445435378
PK201700000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849809025,0.13230228756604295,996321910,0.009087601061319507,721722272,0.012774725332662697,277891474,0.08697073271744879,975538938,0.07605497365106453,291589575,0.18729774136220267,0.009087601061319507,996321910
PK201700000013,0.0,2510.5627996884136,3973.091578029851,0.0,0.0,0.0,6483.654377718265,717323171,0.08404324023729402,451948344,0.016310887544797443,975865049,0.00239574516276133,684574170,0.08154096312383859,975867000,0.0004060252009259933,917691523,0.12865300688503184,0.0004060252009259933,975867000
PK201700000014,0.0,7762.3397818970425,10266.2340871704,0.0,0.0,0.0,18028.57386906744,720038328,0.02352661354722662,241013788,0.006544271209915301,720037072,0.0006564942158582616,578841617,0.018610203727735662,378757555,0.007954224451962153,572830516,0.028748739863688606,0.0006564942158582616,720037072
PK201700000015,0.0,26714.130713523795,25173.919071893273,0.0,0.0,0.0,51888.04978541707,957073718,0.129292850764635,298013893,0.002724740136961558,509806250,0.015900728817606846,696088378,0.08533930613333719,1008763044,0.034462278093822095,899748819,0.305976978065725,0.002724740136961558,298013893
PK201700000016,0.0,38729.96360308437,83264.90718106632,133.76521365375584,8062.059491012617,0.0,130190.69548881706,1008189047,0.20015745291574616,270494618,0.001063202974741379,983807913,0.0020491118503188125,736893072,0.04204902467627267,983807921,0.011138454449127337,72048721,0.08258617150253972,0.001063202974741379,270494618
PK201700000017,0.0,5479.500703278288,22128.5373064521,0.0,1225.8441735688994,0.0,28833.88218329929,842366818,0.13950828862925055,270009213,0.0010808578139125643,982712782,0.003440448680583388,472160760,0.03693599080318074,982712777,0.013461057048184014,72048721,0.18381222906290268,0.0010808578139125643,270009213
PK201700000022,0.0,32212.281299381964,7514.484390932474,0.0,0.0,0.0,39726.76569031444,615389460,0.027103587291595996,236537994,0.004970173717046745,695751931,0.0011608274221916776,707188254,0.012085103468364475,336956053,0.009980773891939446,351708072,0.15037788590211304,0.0011608274221916776,695751931
PK201700000023,0.0,27460.837282921053,89076.30656176877,2059.5465796974104,9898.077717285189,0.0,128494.76814167242,727367718,0.016296356628073723,263955792,0.0035963543961019147,70908874,3.2540325249435095e-05,264094448,0.0066166751318913804,262464377,0.006887054980200758,233415211,0.10310030361402911,3.2540325249435095e-05,70908874
PK201700000024,0.0,7161.684468281479,2899.3616802796378,0.0,95.7707567191355,0.0,10156.816905280251,886653163,0.038646868392250976,265099313,0.004185650367105568,934503509,0.002033445247464856,352136481,0.028769505410720195,266170974,0.002674920295754237,306893392,0.13232125368116096,0.002033445247464856,934503509
PK201700000025,0.0,28585.020926421603,121187.28778175809,1601.675868907365,3233.992010231728,0.0,154607.9765873188,314939513,0.06280640421612875,31290966,0.002299033716810139,329731543,0.0008247005278125503,260681780,0.008169972301095752,329731541,0.001006614878387137,572394241,0.05763194898980339,0.0008247005278125503,329731543
PK201700000026,0.0,23721.626202050298,39219.46476136847,17434.45887011319,371.75663870309324,0.0,80747.30647223505,239050885,0.07281283252979956,665095712,0.004236288756710964,665095703,0.0003192467025604215,987157341,0.006927701613364325,281975270,0.010672899157087218,351708072,0.11066375341428951,0.0003192467025604215,665095703
PK201700000027,0.0,36918.6166659744,593.7959207468258,0.0,0.0,0.0,37512.41258672122,305783164,0.07715197848724487,251041022,0.001857325850908044,731012188,0.00020405826780655584,516039080,0.07480867330143258,642567226,0.02769830431746582,306893392,0.10348737975559112,0.00020405826780655584,731012188
PK201700000028,173.3640285951112,16651.627633960703,23301.107555795297,1754.7150647205522,5305.246976939957,0.0,47186.061260011615,303924756,0.0058474766601040755,1001884881,0.0036668006441463795,516039664,0.0017631828028683602,307907350,0.004076358781244151,897558185,0.003099904677932087,306893392,0.04084255101588752,0.0017631828028683602,516039664
PK201700000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841971473,0.09225627767125433,808216308,0.004804986058305988,726860795,0.008062744220284806,996073809,0.09346301026194732,642567226,0.04291378152470181,306893392,0.13357390471002542,0.004804986058305988,808216308
PK201700000030,0.0,38268.90674462261,2786.7152836233527,0.0,0.0,0.0,41055.62202824596,852959382,0.08737081141929712,297827640,3.998366111593682e-05,998506836,0.028869218756555935,410106949,0.03829124368841932,410106942,0.03394305765685398,80262797,0.09778763838498124,3.998366111593682e-05,297827640
PK201700000031,0.0,29736.870346463907,9811.667157830734,30773.019746329985,13007.297646091742,0.0,83328.85489671637,684468348,0.04533618649755304,406623483,0.001329671738522984,406630689,0.0038344442241043156,945786148,0.013608364527764738,993254950,0.011580364556851604,320401471,0.13201251804405664,0.001329671738522984,406623483
PK201700000032,0.0,29406.781304290595,75734.50534086574,0.0,1715.0658509107786,0.0,106856.3524960671,852959384,0.01609274231601723,27012766,0.0007837733455286415,28189052,0.00011377852934607471,410106949,0.0797135783520627,27134394,0.0007287137933811152,73435996,0.10297923459337442,0.00011377852934607471,28189052
PK201700000033,0.0,52784.905600496626,6908.047152385518,249575.30345712745,10584.759295108332,0.0,319853.0155051179,712329116,0.07240900716611026,496672021,0.0004779883105396025,714077847,0.0004779883105396025,960029226,0.0013500339452330653,715993066,0.009688723016894921,578366706,0.04254283775878931,0.0004779883105396025,496672021
