DHSID,ground_transport_count,water_transport_count,air_transport_count,all_transport_count
PK201700000001,0.0,0.0,0.0,0.0
PK201700000002,0.0,0.0,0.0,0.0
PK201700000003,1.0,0.0,0.0,1.0
PK201700000004,0.0,0.0,0.0,0.0
PK201700000005,0.0,0.0,0.0,0.0
PK201700000006,0.0,0.0,0.0,0.0
PK201700000007,0.0,0.0,0.0,0.0
PK201700000008,0.0,0.0,0.0,0.0
PK201700000009,7.0,0.0,2.0,9.0
PK201700000010,0.0,0.0,0.0,0.0
PK201700000011,0.0,0.0,0.0,0.0
PK201700000012,0.0,0.0,0.0,0.0
PK201700000013,0.0,0.0,0.0,0.0
PK201700000014,0.0,0.0,0.0,0.0
PK201700000015,1.0,0.0,0.0,1.0
PK201700000016,0.0,0.0,0.0,0.0
PK201700000017,0.0,0.0,0.0,0.0
PK201700000022,0.0,0.0,0.0,0.0
PK201700000023,5.0,0.0,0.0,5.0
PK201700000024,0.0,0.0,0.0,0.0
PK201700000025,1.0,0.0,0.0,1.0
PK201700000026,0.0,0.0,0.0,0.0
PK201700000027,0.0,0.0,0.0,0.0
PK201700000028,6.0,0.0,0.0,6.0
PK201700000029,0.0,0.0,0.0,0.0
PK201700000030,0.0,0.0,0.0,0.0
PK201700000031,0.0,0.0,0.0,0.0
PK201700000032,3.0,0.0,0.0,3.0
PK201700000033,0.0,2.0,0.0,2.0
PK201700000034,0.0,0.0,0.0,0.0
PK201700000035,0.0,0.0,0.0,0.0
PK201700000036,0.0,0.0,0.0,0.0
PK201700000037,0.0,0.0,0.0,0.0
PK201700000038,0.0,0.0,0.0,0.0
PK201700000039,1.0,0.0,0.0,1.0
PK201700000040,0.0,0.0,0.0,0.0
PK201700000041,0.0,0.0,0.0,0.0
PK201700000042,0.0,0.0,0.0,0.0
PK201700000043,0.0,0.0,0.0,0.0
PK201700000044,2.0,0.0,0.0,2.0
PK201700000045,0.0,0.0,0.0,0.0
PK201700000046,2.0,0.0,0.0,2.0
PK201700000047,0.0,0.0,0.0,0.0
PK201700000048,0.0,0.0,1.0,1.0
PK201700000049,1.0,0.0,1.0,2.0
PK201700000050,0.0,0.0,0.0,0.0
PK201700000051,9.0,0.0,4.0,13.0
PK201700000052,6.0,0.0,2.0,8.0
PK201700000053,10.0,0.0,3.0,13.0
PK201700000054,10.0,0.0,3.0,13.0
PK201700000055,9.0,0.0,4.0,13.0
PK201700000056,13.0,0.0,0.0,13.0
PK201700000057,1.0,0.0,0.0,1.0
PK201700000058,13.0,0.0,0.0,13.0
PK201700000059,6.0,0.0,4.0,10.0
PK201700000060,11.0,0.0,4.0,15.0
PK201700000061,0.0,0.0,0.0,0.0
PK201700000062,11.0,0.0,2.0,13.0
PK201700000063,7.0,0.0,4.0,11.0
PK201700000064,0.0,0.0,0.0,0.0
PK201700000065,2.0,0.0,0.0,2.0
PK201700000066,0.0,0.0,0.0,0.0
PK201700000067,0.0,0.0,0.0,0.0
PK201700000068,0.0,0.0,0.0,0.0
PK201700000069,2.0,0.0,0.0,2.0
PK201700000070,11.0,0.0,3.0,14.0
PK201700000071,10.0,0.0,2.0,12.0
PK201700000072,0.0,0.0,0.0,0.0
