DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
SL201900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL201900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,696.7850019368882,87.09812524211102,8.886009625384212e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,799.9631390528884,18.603793931462523,1.0201827154454728e-05,51.0,1496.7481409897766,29.348002764505424,1.908783677983894e-05
SL201900000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,637.1091365010309,637.1091365010309,8.124970979041125e-06,1.0,637.1091365010309,637.1091365010309,8.124970979041125e-06
SL201900000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL201900000005,3.0,2856.38291406147,952.1276380204899,0.00022766927744550345,5.0,874.1561417761752,174.83122835523506,6.967500617406647e-05,20.0,9774.157262386681,488.7078631193341,0.0007790535752793008,1.0,294.3228568117348,294.3228568117348,2.3459134913653952e-05,14.0,9592.562409185355,685.1830292275254,0.0007645794763016598,2.0,4266.804591665429,2133.4022958327146,0.0003400875679529847,25.0,8901.002503074018,356.0401001229607,0.0007094583847422738,1.0,12981.739142537717,12981.739142537717,0.001034715323361568,9.0,5120.5813527931705,568.9534836436856,0.0004081382264794809,1267.0,124926.21151373365,98.6000090873983,0.00995729955158379,1347.0,179587.9206880254,133.32436576690824,0.014314135524234281
SL201900000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,948.6507293667244,948.6507293667244,7.561263058949254e-05,0.0,0.0,0.0,0.0,411.0,72047.70778729563,175.29855909317672,0.005742594766545043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,65811.29352195813,102.50980299370424,0.005245518578807547,1054.0,138807.6520386205,131.69606455277088,0.011063725975942084
SL201900000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3224.8040537610045,52.01296860904846,4.112551186096526e-05,62.0,3224.8040537610045,52.01296860904846,4.112551186096526e-05
SL201900000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,16898.441529542382,137.3857034922145,0.00021550365416605973,123.0,16898.441529542382,137.3857034922145,0.00021550365416605973
SL201900000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1533.4258090649707,170.3806454516634,1.955558236943517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,336.64449733307805,112.21483244435935,4.293184031399835e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1921.912773734398,106.77293187413322,2.450990672744064e-05,30.0,3791.983080132447,126.3994360044149,4.8358673128275646e-05
SL201900000010,2.0,897.097244431885,448.5486222159425,1.144056592315878e-05,0.0,0.0,0.0,0.0,2.0,677.7576207818215,338.87881039091076,8.643355877643006e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1465.7381582452026,162.85979536057806,1.8692370453231066e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,9403.571206777282,127.07528657807138,0.0001199225356804914,87.0,12444.16423023619,143.03637046248494,0.00015869882793452425
