DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
SL201900000001,0.0,18919.246917263845,26020.519652061823,5695.4538744510355,0.0,0.0,50635.22044377671,685708579,0.43841289313838033,292194823,0.00031825479057510665,292218541,0.001694838666504736,302087719,0.00779275181621174,392336356,0.09788973616972677,1017341631,2.0090867731366457,0.00031825479057510665,292194823
SL201900000002,0.0,16927.16362027225,28154.286799012585,15463.83507155415,6822.9087805390245,0.0,67368.19427137802,684395168,0.14581428829351858,53819498,0.0039023628572045386,300205393,0.009557011990761316,330445073,0.009334271085072695,676839185,0.005387812198288501,1017341631,1.0592996423890535,0.0039023628572045386,53819498
SL201900000003,0.0,10566.163038059676,42750.512107090224,26617.544178523534,26819.104778442514,0.0,106753.32410211595,668453414,0.05308660326585075,432402841,0.0002334450066153093,400853743,6.10931169077749e-05,436775331,0.0001530745521947547,410647240,0.00026476175149095667,1017341631,1.9992384394129052,6.10931169077749e-05,400853743
SL201900000004,0.0,0.0,27279.88701325568,22074.368155831038,1395.249964097084,0.0,50749.505133183804,668453414,0.13520980454574752,300286171,0.05950597313533278,414226145,0.0027134777597886167,417495417,0.0026298802631991368,482610214,0.005014014867491254,1017341631,2.102172421636204,0.0026298802631991368,417495417
SL201900000005,222.2354360330378,32640.52948229081,93994.31209098955,16746.294031429352,12564.830661520029,0.0,156168.20170226277,573745606,0.002826231291970933,299190122,6.257516408223791e-05,94893179,0.000504766788980957,306757754,0.0019396911738538084,381342735,0.000849091474496728,1017341631,0.624391573598615,6.257516408223791e-05,299190122
SL201900000006,8.530343736605527,12700.962584327084,74175.27692194909,11629.267665051957,2828.5195685666745,0.0,101342.5570836314,670464446,0.009468859809068404,293594319,0.004302151967698431,669694920,0.000873862007755522,205848711,0.001334967889405672,667653091,0.0022908436184266986,1017341631,0.6769329029385502,0.000873862007755522,669694920
SL201900000007,0.0,12316.180224530284,50731.49850304556,10843.021637191543,3182.6338887047245,0.0,77073.33425347212,563084507,0.47594534746477596,56420789,0.0014422563798735999,299286038,0.0015830755493996367,309057051,0.024407087516516556,309125679,0.025125806652078087,1017341631,0.8140325404195609,0.0014422563798735999,56420789
SL201900000008,0.0,9673.930382991784,27156.26385676282,55761.3395924435,7894.538511105993,0.0,100486.0723433041,413366965,0.1536934274371387,293080104,0.0016804587467513263,306406333,0.005533906401237697,317024734,0.002124568596607578,307316149,0.011161238142852178,1017341631,1.7802327051827889,0.0016804587467513263,293080104
SL201900000009,0.0,5948.595641953126,76779.44160139373,1658.885499726555,4942.257898841355,0.0,89329.18064191478,563084507,0.22743652286031363,687575444,0.03409306094362244,217858436,0.003991811658457771,419534388,0.0033657986710554635,337659496,0.008174947649093949,1017341631,0.1471218126996668,0.0033657986710554635,419534388
SL201900000010,0.0,25075.095550018,80129.59574404481,23184.337159839277,25051.249326179437,276.5710974937831,153716.8488775753,563084507,0.37043437274922847,164975695,0.0010372090607749208,381388285,0.0010372090607749208,414834859,0.006169447855738881,374384811,0.016696701726723374,1017341631,0.01820455950589675,0.0010372090607749208,164975695
SL201900000011,0.0,0.0,11554.661659828731,0.0,8135.309577605748,0.0,19689.971237434478,685708579,0.6666158635922743,190162015,0.07536563138967729,692864703,0.031845927785109675,692808530,0.08789324735318103,786378083,0.0229693034754247,1017341631,1.8907658545194785,0.0229693034754247,786378083
SL201900000012,0.0,7743.015017042626,3266.5034536879075,11816.997641728707,203.18686511215583,0.0,23029.702977571396,668453414,0.3396536137715976,418359754,0.004098433310656153,289656281,0.0042421098348127025,289837346,0.0004450706870723633,936677216,0.004933565420579924,1017341631,2.079310317602985,0.0004450706870723633,289837346
SL201900000013,0.0,38327.83023425184,118441.58612715309,28913.550417229715,46097.837317658035,0.0,231780.80409629268,667411474,0.04936128702301915,224720504,0.010290855889790033,224720432,0.0054157456036339835,318070461,0.0020750758104197595,307490009,0.00618760890822559,1017341631,0.9413660925639802,0.0020750758104197595,318070461
SL201900000014,397.00214621445934,43109.144233616345,111562.40341634057,17429.20387535618,11307.015312028203,0.0,183804.76898355575,544605931,0.004857345159310158,28392402,0.0016559570943623914,298834472,0.00020051446552342596,298834482,0.0008015401182413587,944502430,0.0033746578423684164,1017341631,0.6377105202227978,0.00020051446552342596,298834472
SL201900000015,0.0,10400.970730435578,118279.50742027786,29697.7264300896,9234.89889181732,0.0,167613.10347262037,413366965,0.19420055131179229,150823040,0.00014502464843416216,166237142,0.00012586562534884195,166237492,0.0006281629839576081,667647461,0.000801603658586149,1017341631,1.8631527846705989,0.00012586562534884195,166237142
SL201900000016,0.0,8891.411268610524,27263.728837956856,11248.539847179874,5866.500365301685,0.0,53270.18031904894,667411474,0.24791618652033284,272327675,0.02728401093715933,285156687,0.0028937477408935,285156685,0.014153002896118542,307738891,0.028704409952167453,1017341631,0.6589858885399743,0.0028937477408935,285156687
SL201900000017,0.0,24224.96163130866,6305.3404089599835,85323.7252064412,7490.24755485086,0.0,123344.2748015607,413366965,0.31158371295764153,293147801,0.003357622822949115,293153873,0.01153910569847536,339807808,0.0023963157153280424,293153869,0.009146080183154546,1017341631,1.625598738872617,0.0023963157153280424,339807808
SL201900000018,0.0,11122.501871651291,47134.04741887263,275.3528356497895,10195.017242254246,0.0,68726.91936842796,563084507,0.19941861047336346,217858441,0.0016748310653857876,217858452,0.005763362625708461,308249801,0.042349037929303536,337834709,0.017717171471834815,1017341631,0.21011283355653343,0.0016748310653857876,217858441
SL201900000019,102.14478322359865,16504.79378303946,67064.2159900512,7494.146764097972,9579.154392700113,0.0,100744.45571311234,206841043,0.015021148772064924,33046874,0.000841480703041828,270613635,0.00013809306806093774,671257952,0.0015405641125473871,300071580,0.004023155997249804,1017341631,0.6226711147263886,0.00013809306806093774,270613635
SL201900000020,0.0,0.0,10494.263770556625,0.0,5430.139292575956,0.0,15924.40306313258,668453414,0.10313380736575253,678183387,0.02854801858686373,458021287,0.0021720089586310535,271493802,0.011984806817508785,272536988,0.011088147683486982,1017341631,2.0678745273493586,0.0021720089586310535,458021287
SL201900000021,53.64462306734245,10125.389061706719,19599.69985881316,3361.2028551875355,2301.692176009457,0.0,35441.62857478421,165353611,0.0043471981395312035,328539066,0.0009999296114597638,245278189,0.0003216705354944045,306315504,0.0007736190785051448,249513090,0.0016005173186472315,1017341631,0.6360640848042248,0.0003216705354944045,245278189
SL201900000022,0.0,12275.898485240921,64552.061887150434,22284.818937088403,10890.654684538791,0.0,110003.43399401856,670221911,0.17088474080100768,34584399,0.005264698868934032,300783830,4.6282951182101624e-05,667217705,0.00024239312658403046,300581782,0.006230701375955283,1017341631,0.726710713038359,4.6282951182101624e-05,300783830
SL201900000023,0.0,0.0,5062.344768653326,25294.66819015742,1624.6639609841743,0.0,31981.676919794918,413366965,0.427065675325088,261015327,0.04107579985530564,293218587,0.014565908815762202,295434363,0.010055111757345086,296557969,0.02432360637825311,1017341631,1.5079692283310604,0.010055111757345086,295434363
