DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
TG201300000001,41,14564.984716397563,355.24352966823324,0.0011609086198012498,0,0.0,0.0,0.0,15,4188.726290815783,279.24841938771885,0.0003338643020697164,0,0.0,0,0.0,10,2912.3361041144253,291.23361041144256,0.00023212905147909123,0,0.0,0.0,0.0,47,12850.102775826996,273.4064420388722,0.0010242231878894294,0,0.0,0.0,0.0,3,4071.740611753526,1357.2468705845088,0.000324539906207922,26,6470.86561317019,248.87944666039192,0.0005157632372554098,142.0,45058.75611207848,317.31518388787663,0.0035914283047028183
TG201300000002,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG201300000003,2,2503.34812152933,1251.674060764665,0.00019953048144121457,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1853.807355910451,1853.807355910451,0.00014775854426435334,35,94407.29175407189,2697.3511929734827,0.007524775405085612,2,1607.7998811460964,803.8999405730482,0.0001281504084818311,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.0,100372.24711265777,2509.3061778164442,0.00800021483927301
TG201300000004,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG201300000005,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15,2049.607739173723,136.64051594491488,0.00016336490136782352,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,92,3331.0514698411926,36.20708119392601,0.00026550294694004665,0,0.0,0.0,0.0,0,0.0,0.0,0.0,11,1281.193371707986,116.472124700726,0.00010211809059940524,118.0,6661.852580722902,56.456377802736455,0.0005309859389072755
TG201300000006,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,44,3813.934241473348,86.68032366984882,4.8638613469156995e-05,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,44.0,3813.934241473348,86.68032366984882,4.8638613469156995e-05
TG201300000007,7,1868.6211972865601,266.9458853266514,0.00014893928811549514,0,0.0,0.0,0.0,2,2806.761541370107,1403.3807706850534,0.00022371418374609502,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,37,11161.530048797067,301.66297429181265,0.0008896347436074863,0,0.0,0.0,0.0,3,3532.8208059747985,1177.606935324933,0.0002815850621011687,9,2864.2414930850173,318.24905478722417,0.00022829564900067058,58.0,22233.97508651355,383.3443980433371,0.0017721689265709157
TG201300000008,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG201300000009,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,251.7988625586926,251.7988625586926,3.211158549821942e-06,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1956.5865453046247,489.14663632615617,2.495209688231621e-05,0,0.0,0.0,0.0,7,1251.6504616886668,178.8072088126667,1.5962137559311985e-05,12.0,3460.035869551984,288.33632246266535,4.4125392991450134e-05
TG201300000010,2,2503.34812152933,1251.674060764665,0.00019953048144120996,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,47,38749.826614812264,824.4643960598354,0.00308857225797803,32,16354.005937278389,511.06268553994965,0.0013035033562028427,0,0.0,0.0,0.0,0,0.0,0.0,0.0,21,3966.264267546522,188.86972702602486,0.000316132867027361,102.0,61573.444941166505,603.6612249133971,0.004907738962649444
