DHSID,entertainment_pois_count,health_pois_count,services_pois_count,other_pois_count,landmark_pois_count,education_pois_count,retail_pois_count,lodging_pois_count,food_pois_count,all_pois_count
TG201300000001,64.0,37.0,178.0,0.0,39.0,46.0,133.0,40.0,159.0,696.0
TG201300000002,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,3.0,11.0
TG201300000003,9.0,0.0,8.0,0.0,2.0,0.0,6.0,3.0,4.0,32.0
TG201300000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG201300000005,8.0,3.0,10.0,0.0,0.0,1.0,3.0,0.0,4.0,29.0
TG201300000006,7.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,15.0
TG201300000007,153.0,10.0,412.0,0.0,3.0,26.0,33.0,9.0,64.0,710.0
TG201300000008,1.0,3.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,20.0
TG201300000009,13.0,5.0,20.0,0.0,6.0,15.0,10.0,0.0,8.0,77.0
TG201300000010,7.0,3.0,20.0,0.0,2.0,4.0,20.0,7.0,29.0,92.0
TG201300000011,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
TG201300000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG201300000013,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0
TG201300000014,0.0,5.0,20.0,0.0,0.0,13.0,10.0,5.0,10.0,63.0
TG201300000015,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0
TG201300000016,0.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,1.0,12.0
TG201300000017,34.0,21.0,50.0,0.0,2.0,42.0,34.0,3.0,67.0,253.0
TG201300000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TG201300000019,2.0,4.0,4.0,0.0,0.0,3.0,1.0,1.0,2.0,17.0
TG201300000020,38.0,30.0,221.0,2.0,4.0,56.0,148.0,20.0,205.0,724.0
TG201300000021,13.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,24.0
TG201300000022,5.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,13.0
TG201300000023,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
TG201300000024,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0
