DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
TG201300000001,782.0,525366.2867865947,77.0,85941.56039157235,305.0,433641.7300438566,194.0,436869.9383876567,10.0,50860.5180471682,0.0,0.0,394526423,0.221436356544723,923118338,0.24758649993465678,403544194,0.219500780316913,231554983,0.25569838785375604,645065627,0.5909549933529028,873262814,0.5332742967008932,1532680.0336568484,1368.0,0.219500780316913
TG201300000002,1001.0,717928.7788719084,225.0,479189.23068352,11.0,2582.76838193008,5.0,11692.23559369773,0.0,0.0,0.0,0.0,401800211,0.007113408351939162,406190536,0.009749968103756591,406023718,0.010677963964823527,372535259,0.022851965357284534,685773665,0.4623898213185548,410309485,0.8848743729961877,1211393.0135310565,1242.0,0.007113408351939162
TG201300000003,187.0,56796.85080616135,21.0,31158.161255478783,366.0,595605.8109703264,68.0,117284.9601019863,0.0,0.0,0.0,0.0,37706354,0.010469364177510812,372535057,0.05952721868157188,384373988,0.05372756471686343,371212623,0.005658426789007221,364714103,0.10613516874975303,410309485,0.07690692615813531,800845.7831339529,642.0,0.005658426789007221
TG201300000004,15.0,1772.4560525511486,3.0,553.6142325234695,2.0,455.56826954453305,3.0,1227.9429499936841,0.0,0.0,0.0,0.0,246412420,0.2743838277517327,460034143,0.2851461658150879,1008778873,0.27906267446108085,447746188,0.2383305983026556,644490866,0.6528911013411154,873262814,1.0296382190177877,4009.581504612835,23.0,0.2383305983026556
TG201300000005,1117.0,394730.0708809804,290.0,113000.92388469347,117.0,384807.54153907456,27.0,60604.47484745706,2.0,2783.960914576339,0.0,0.0,407502303,0.0010752171955405489,411059247,0.026910532813728683,407502300,0.004316203711295464,411059234,0.0273754775951584,685773665,0.17247192527532104,873262814,0.6395528662163458,955926.9720667817,1553.0,0.0010752171955405489
TG201300000006,56.0,37981.14975384922,125.0,37957.13023749494,74.0,15019.39544240388,15.0,7305.387865022127,0.0,0.0,0.0,0.0,513247406,0.9327187826601994,914268075,1.083967490719344,511443805,0.9493720612739878,286831206,1.1307352596020224,685773665,1.3833420606095859,873262814,1.8370035355060723,98263.06329877017,270.0,0.9327187826601994
TG201300000007,776.0,299422.64032054495,60.0,27646.56841746391,301.0,225053.9078711588,85.0,220601.22094994423,12.0,41184.647852349095,0.0,0.0,246412420,1.4024747120861751,460034143,1.4128828556436157,1008778873,1.407150803489368,447746188,1.3597382924215047,644490866,1.7392134303576747,873262814,2.1076410339358085,813908.985411461,1234.0,1.3597382924215047
TG201300000008,18.0,4077.0207282655724,0.0,0.0,11.0,3482.1394559191767,7.0,37548.63061836784,0.0,0.0,0.0,0.0,315922279,0.39582375660815605,732097190,0.40903418004745445,567896327,0.4019895443576652,183091772,0.39355520063907545,644490866,0.6642833891886609,873262814,0.8895427416296409,45107.79080255259,36.0,0.39355520063907545
TG201300000009,161.0,42055.33262731706,261.0,327667.59943342995,80.0,21116.441862676773,8.0,6078.735831682887,0.0,0.0,0.0,0.0,372155933,1.4509741146521151,372171552,1.490123589122653,511443805,1.5509392967695863,171809806,1.4256882948472112,976237867,1.960942802918582,873262814,2.4227635305887945,396918.1097551066,510.0,1.4256882948472112
TG201300000010,818.0,384661.38138590346,82.0,84533.90507984653,280.0,464504.5782708108,59.0,43963.45876583095,1.0,829.9036581246228,0.0,0.0,209558786,0.22893231371655903,408788753,0.2600264237044041,396313866,0.23615664895775668,246673657,0.2270733869545162,331761934,0.3351494229077008,410309485,0.3544931482984784,978493.2271605163,1240.0,0.2270733869545162
