DHSID,service_traffic_count,water_traffic_count,driving_traffic_count,all_traffic_count
TG201300000001,69.0,1.0,403.0,473.0
TG201300000002,2.0,0.0,2.0,4.0
TG201300000003,10.0,1.0,26.0,37.0
TG201300000004,0.0,0.0,0.0,0.0
TG201300000005,6.0,0.0,20.0,26.0
TG201300000006,1.0,0.0,0.0,1.0
TG201300000007,24.0,0.0,188.0,212.0
TG201300000008,0.0,0.0,0.0,0.0
TG201300000009,0.0,1.0,0.0,1.0
TG201300000010,8.0,0.0,14.0,22.0
TG201300000011,0.0,0.0,0.0,0.0
TG201300000012,0.0,0.0,0.0,0.0
TG201300000013,0.0,1.0,0.0,1.0
TG201300000014,9.0,0.0,0.0,9.0
TG201300000015,0.0,0.0,0.0,0.0
TG201300000016,0.0,0.0,0.0,0.0
TG201300000017,18.0,1.0,51.0,70.0
TG201300000018,0.0,0.0,0.0,0.0
TG201300000019,1.0,0.0,0.0,1.0
TG201300000020,13.0,0.0,462.0,475.0
TG201300000021,3.0,0.0,0.0,3.0
TG201300000022,0.0,0.0,0.0,0.0
TG201300000023,0.0,0.0,0.0,0.0
TG201300000024,0.0,0.0,3.0,3.0
TG201300000025,10.0,1.0,24.0,35.0
TG201300000026,24.0,0.0,246.0,270.0
TG201300000027,3.0,0.0,11.0,14.0
TG201300000028,1.0,0.0,0.0,1.0
TG201300000029,36.0,0.0,88.0,124.0
TG201300000030,0.0,0.0,0.0,0.0
TG201300000031,21.0,0.0,57.0,78.0
TG201300000032,3.0,0.0,12.0,15.0
TG201300000033,28.0,0.0,48.0,76.0
TG201300000034,0.0,3.0,0.0,3.0
TG201300000035,7.0,0.0,10.0,17.0
TG201300000036,2.0,0.0,1.0,3.0
TG201300000037,73.0,1.0,434.0,508.0
TG201300000038,8.0,0.0,10.0,18.0
TG201300000039,8.0,0.0,33.0,41.0
TG201300000040,0.0,0.0,1.0,1.0
TG201300000041,26.0,1.0,298.0,325.0
TG201300000042,0.0,0.0,0.0,0.0
TG201300000043,2.0,0.0,7.0,9.0
TG201300000044,11.0,0.0,176.0,187.0
TG201300000045,16.0,0.0,331.0,347.0
TG201300000046,16.0,0.0,21.0,37.0
TG201300000047,0.0,0.0,9.0,9.0
TG201300000048,0.0,0.0,0.0,0.0
TG201300000049,0.0,0.0,0.0,0.0
TG201300000050,0.0,0.0,0.0,0.0
TG201300000051,0.0,0.0,0.0,0.0
TG201300000052,0.0,0.0,0.0,0.0
TG201300000053,3.0,0.0,0.0,3.0
TG201300000054,1.0,0.0,8.0,9.0
TG201300000055,0.0,0.0,0.0,0.0
TG201300000056,8.0,0.0,187.0,195.0
TG201300000057,17.0,0.0,7.0,24.0
TG201300000058,2.0,0.0,0.0,2.0
TG201300000059,0.0,0.0,0.0,0.0
TG201300000060,0.0,0.0,0.0,0.0
TG201300000061,0.0,0.0,0.0,0.0
TG201300000062,0.0,0.0,5.0,5.0
TG201300000063,3.0,0.0,0.0,3.0
TG201300000064,32.0,0.0,426.0,458.0
TG201300000065,0.0,0.0,0.0,0.0
TG201300000066,0.0,0.0,0.0,0.0
TG201300000067,24.0,0.0,161.0,185.0
TG201300000068,0.0,0.0,0.0,0.0
TG201300000069,0.0,0.0,3.0,3.0
TG201300000070,0.0,0.0,5.0,5.0
TG201300000071,19.0,0.0,100.0,119.0
TG201300000072,0.0,0.0,0.0,0.0
TG201300000073,89.0,1.0,423.0,513.0
TG201300000074,0.0,0.0,0.0,0.0
TG201300000075,4.0,0.0,9.0,13.0
TG201300000076,0.0,1.0,0.0,1.0
TG201300000077,34.0,0.0,723.0,757.0
TG201300000078,7.0,0.0,36.0,43.0
TG201300000079,0.0,0.0,0.0,0.0
TG201300000080,0.0,0.0,0.0,0.0
