DHSID,water_transport_count,ground_transport_count,air_transport_count,all_transport_count
TG201300000001,0.0,76.0,0.0,76.0
TG201300000002,0.0,12.0,0.0,12.0
TG201300000003,0.0,9.0,1.0,10.0
TG201300000004,0.0,0.0,0.0,0.0
TG201300000005,0.0,12.0,0.0,12.0
TG201300000006,0.0,1.0,0.0,1.0
TG201300000007,0.0,30.0,2.0,32.0
TG201300000008,0.0,0.0,0.0,0.0
TG201300000009,0.0,0.0,0.0,0.0
TG201300000010,0.0,18.0,0.0,18.0
TG201300000011,0.0,0.0,0.0,0.0
TG201300000012,0.0,0.0,0.0,0.0
TG201300000013,0.0,1.0,1.0,2.0
TG201300000014,0.0,2.0,0.0,2.0
TG201300000015,0.0,0.0,0.0,0.0
TG201300000016,0.0,0.0,0.0,0.0
TG201300000017,0.0,23.0,0.0,23.0
TG201300000018,0.0,0.0,0.0,0.0
TG201300000019,0.0,0.0,0.0,0.0
TG201300000020,0.0,38.0,0.0,38.0
TG201300000021,0.0,5.0,0.0,5.0
TG201300000022,0.0,0.0,0.0,0.0
TG201300000023,0.0,0.0,0.0,0.0
TG201300000024,0.0,0.0,0.0,0.0
TG201300000025,0.0,8.0,0.0,8.0
TG201300000026,0.0,26.0,0.0,26.0
TG201300000027,0.0,0.0,0.0,0.0
TG201300000028,0.0,0.0,0.0,0.0
TG201300000029,0.0,75.0,5.0,80.0
TG201300000030,0.0,0.0,0.0,0.0
TG201300000031,0.0,56.0,5.0,61.0
TG201300000032,0.0,0.0,0.0,0.0
TG201300000033,0.0,42.0,6.0,48.0
TG201300000034,0.0,0.0,0.0,0.0
TG201300000035,0.0,1.0,1.0,2.0
TG201300000036,0.0,0.0,1.0,1.0
TG201300000037,0.0,77.0,0.0,77.0
TG201300000038,0.0,17.0,0.0,17.0
TG201300000039,0.0,7.0,2.0,9.0
TG201300000040,0.0,0.0,0.0,0.0
TG201300000041,0.0,45.0,0.0,45.0
TG201300000042,0.0,0.0,0.0,0.0
TG201300000043,0.0,0.0,0.0,0.0
TG201300000044,0.0,23.0,0.0,23.0
TG201300000045,0.0,23.0,0.0,23.0
TG201300000046,0.0,6.0,0.0,6.0
TG201300000047,0.0,0.0,0.0,0.0
TG201300000048,0.0,0.0,0.0,0.0
TG201300000049,0.0,2.0,0.0,2.0
TG201300000050,0.0,0.0,0.0,0.0
TG201300000051,0.0,0.0,0.0,0.0
TG201300000052,0.0,0.0,0.0,0.0
TG201300000053,0.0,0.0,0.0,0.0
TG201300000054,0.0,0.0,0.0,0.0
TG201300000055,0.0,0.0,0.0,0.0
TG201300000056,0.0,14.0,0.0,14.0
TG201300000057,0.0,62.0,5.0,67.0
TG201300000058,0.0,2.0,0.0,2.0
TG201300000059,0.0,0.0,0.0,0.0
TG201300000060,0.0,0.0,0.0,0.0
TG201300000061,0.0,0.0,0.0,0.0
TG201300000062,0.0,0.0,0.0,0.0
TG201300000063,0.0,0.0,0.0,0.0
TG201300000064,0.0,59.0,0.0,59.0
TG201300000065,0.0,0.0,0.0,0.0
TG201300000066,0.0,0.0,0.0,0.0
TG201300000067,0.0,43.0,0.0,43.0
TG201300000068,0.0,0.0,0.0,0.0
TG201300000069,0.0,0.0,0.0,0.0
TG201300000070,0.0,0.0,0.0,0.0
TG201300000071,0.0,28.0,0.0,28.0
TG201300000072,0.0,0.0,0.0,0.0
TG201300000073,0.0,86.0,1.0,87.0
TG201300000074,0.0,0.0,0.0,0.0
TG201300000075,0.0,0.0,0.0,0.0
TG201300000076,0.0,0.0,0.0,0.0
TG201300000077,0.0,66.0,0.0,66.0
TG201300000078,0.0,16.0,0.0,16.0
TG201300000079,0.0,0.0,0.0,0.0
TG201300000080,0.0,0.0,0.0,0.0
TG201300000081,0.0,0.0,0.0,0.0
TG201300000082,0.0,0.0,0.0,0.0
TG201300000083,0.0,0.0,0.0,0.0
TG201300000084,0.0,4.0,0.0,4.0
TG201300000085,0.0,0.0,0.0,0.0
TG201300000086,0.0,0.0,0.0,0.0
TG201300000087,0.0,0.0,0.0,0.0
TG201300000088,0.0,0.0,0.0,0.0
TG201300000089,0.0,0.0,0.0,0.0
TG201300000090,0.0,1.0,0.0,1.0
TG201300000091,0.0,94.0,2.0,96.0
TG201300000092,0.0,0.0,0.0,0.0
TG201300000093,0.0,45.0,1.0,46.0
TG201300000094,0.0,81.0,4.0,85.0
TG201300000095,0.0,0.0,0.0,0.0
TG201300000096,0.0,0.0,0.0,0.0
TG201300000097,0.0,19.0,1.0,20.0
TG201300000098,0.0,0.0,0.0,0.0
TG201300000099,0.0,4.0,2.0,6.0
TG201300000100,0.0,0.0,0.0,0.0
TG201300000101,0.0,2.0,0.0,2.0
TG201300000102,0.0,0.0,0.0,0.0
TG201300000103,0.0,1.0,0.0,1.0
TG201300000104,0.0,16.0,0.0,16.0
TG201300000105,0.0,0.0,0.0,0.0
TG201300000106,0.0,0.0,0.0,0.0
TG201300000107,0.0,64.0,0.0,64.0
TG201300000108,0.0,0.0,0.0,0.0
TG201300000109,0.0,4.0,0.0,4.0
TG201300000110,0.0,12.0,0.0,12.0
TG201300000111,2.0,4.0,0.0,6.0
TG201300000112,0.0,1.0,0.0,1.0
TG201300000113,0.0,6.0,0.0,6.0
TG201300000114,0.0,10.0,0.0,10.0
TG201300000115,0.0,43.0,0.0,43.0
TG201300000116,0.0,0.0,0.0,0.0
TG201300000117,0.0,67.0,0.0,67.0
TG201300000118,0.0,0.0,0.0,0.0
TG201300000119,0.0,0.0,0.0,0.0
TG201300000120,0.0,1.0,0.0,1.0
TG201300000121,0.0,0.0,0.0,0.0
TG201300000122,0.0,3.0,0.0,3.0
TG201300000123,0.0,0.0,0.0,0.0
TG201300000124,0.0,0.0,0.0,0.0
TG201300000125,0.0,0.0,0.0,0.0
TG201300000126,0.0,0.0,0.0,0.0
TG201300000127,0.0,0.0,1.0,1.0
TG201300000128,0.0,1.0,0.0,1.0
TG201300000129,0.0,70.0,5.0,75.0
TG201300000130,0.0,46.0,0.0,46.0
TG201300000131,0.0,0.0,0.0,0.0
TG201300000132,0.0,0.0,0.0,0.0
TG201300000133,0.0,74.0,0.0,74.0
TG201300000134,0.0,58.0,0.0,58.0
TG201300000135,0.0,42.0,0.0,42.0
TG201300000136,0.0,40.0,1.0,41.0
TG201300000137,0.0,0.0,0.0,0.0
TG201300000138,0.0,0.0,0.0,0.0
TG201300000139,0.0,0.0,0.0,0.0
TG201300000140,0.0,0.0,0.0,0.0
TG201300000141,0.0,3.0,0.0,3.0
TG201300000142,0.0,0.0,0.0,0.0
TG201300000143,0.0,30.0,4.0,34.0
TG201300000144,0.0,64.0,0.0,64.0
TG201300000145,0.0,0.0,0.0,0.0
TG201300000146,0.0,0.0,0.0,0.0
TG201300000147,0.0,0.0,0.0,0.0
TG201300000148,0.0,40.0,0.0,40.0
TG201300000149,0.0,3.0,0.0,3.0
TG201300000150,0.0,0.0,0.0,0.0
TG201300000151,0.0,0.0,0.0,0.0
TG201300000152,0.0,1.0,0.0,1.0
TG201300000153,0.0,0.0,0.0,0.0
TG201300000154,0.0,2.0,0.0,2.0
