DHSID,landmark_pois_count,services_pois_count,education_pois_count,entertainment_pois_count,retail_pois_count,health_pois_count,lodging_pois_count,food_pois_count,all_pois_count
TL201600000001,6.0,7.0,4.0,3.0,1.0,6.0,1.0,6.0,34.0
TL201600000002,6.0,7.0,4.0,3.0,1.0,5.0,1.0,6.0,33.0
TL201600000003,6.0,7.0,4.0,3.0,1.0,7.0,1.0,6.0,35.0
TL201600000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TL201600000005,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0
TL201600000006,2.0,0.0,2.0,3.0,0.0,1.0,5.0,3.0,16.0
TL201600000007,6.0,7.0,4.0,3.0,1.0,7.0,1.0,6.0,35.0
TL201600000008,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0
TL201600000009,6.0,7.0,4.0,3.0,1.0,7.0,1.0,6.0,35.0
TL201600000010,6.0,7.0,4.0,3.0,1.0,5.0,1.0,6.0,33.0
TL201600000011,6.0,7.0,4.0,3.0,1.0,5.0,1.0,6.0,33.0
TL201600000012,3.0,7.0,3.0,1.0,1.0,5.0,0.0,6.0,26.0
TL201600000013,6.0,7.0,4.0,3.0,1.0,7.0,1.0,6.0,35.0
TL201600000014,6.0,7.0,4.0,3.0,1.0,5.0,0.0,6.0,32.0
TL201600000015,2.0,7.0,3.0,1.0,1.0,5.0,0.0,6.0,25.0
TL201600000016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TL201600000017,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,9.0
TL201600000018,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,7.0
TL201600000019,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0
TL201600000020,3.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,10.0
TL201600000021,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,7.0
TL201600000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TL201600000023,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0
TL201600000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TL201600000025,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
TL201600000026,6.0,7.0,4.0,5.0,1.0,4.0,0.0,1.0,28.0
TL201600000027,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
TL201600000028,6.0,7.0,4.0,6.0,1.0,6.0,0.0,1.0,31.0
TL201600000029,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TL201600000030,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0
TL201600000031,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0
TL201600000032,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0
TL201600000033,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
TL201600000034,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
TL201600000035,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
TL201600000036,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0
TL201600000037,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,6.0
TL201600000038,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
TL201600000039,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0
TL201600000040,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0
TL201600000041,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0
TL201600000042,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
TL201600000043,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
TL201600000044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TL201600000045,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0
TL201600000046,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0
TL201600000047,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0
TL201600000048,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0
TL201600000049,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0
TL201600000050,5.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0
TL201600000051,5.0,0.0,1.0,5.0,0.0,2.0,3.0,1.0,17.0
TL201600000052,6.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0
TL201600000053,3.0,0.0,1.0,6.0,0.0,1.0,3.0,0.0,14.0
TL201600000054,7.0,2.0,1.0,3.0,0.0,2.0,5.0,3.0,23.0
TL201600000055,8.0,2.0,1.0,3.0,0.0,1.0,5.0,3.0,23.0
TL201600000056,5.0,2.0,1.0,3.0,0.0,1.0,4.0,2.0,18.0
TL201600000057,6.0,2.0,2.0,3.0,0.0,1.0,5.0,3.0,22.0
TL201600000058,7.0,2.0,2.0,3.0,0.0,1.0,5.0,3.0,23.0
TL201600000059,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
TL201600000060,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
TL201600000061,2.0,0.0,1.0,3.0,0.0,1.0,5.0,3.0,15.0
TL201600000062,2.0,0.0,1.0,3.0,0.0,1.0,5.0,3.0,15.0
TL201600000063,6.0,2.0,2.0,3.0,0.0,1.0,5.0,3.0,22.0
TL201600000064,3.0,0.0,1.0,3.0,0.0,1.0,5.0,3.0,16.0
TL201600000065,5.0,0.0,1.0,5.0,0.0,2.0,3.0,0.0,16.0
TL201600000066,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
TL201600000067,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
TL201600000068,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0
TL201600000069,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TL201600000070,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0
TL201600000071,2.0,3.0,1.0,7.0,3.0,3.0,12.0,8.0,39.0
TL201600000072,2.0,3.0,1.0,3.0,3.0,2.0,11.0,8.0,33.0
TL201600000073,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TL201600000074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TL201600000075,0.0,1.0,0.0,4.0,0.0,1.0,1.0,3.0,10.0
TL201600000076,0.0,1.0,0.0,4.0,0.0,2.0,1.0,3.0,11.0
TL201600000077,3.0,3.0,1.0,9.0,3.0,3.0,16.0,8.0,46.0
TL201600000078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TL201600000079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
TL201600000080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TL201600000081,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,7.0
TL201600000082,2.0,3.0,1.0,7.0,3.0,3.0,12.0,8.0,39.0
TL201600000083,2.0,3.0,1.0,6.0,3.0,3.0,10.0,8.0,36.0
TL201600000084,3.0,1.0,0.0,2.0,0.0,1.0,7.0,0.0,14.0
TL201600000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TL201600000086,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TL201600000087,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
