DHSID,minor_roads_count,minor_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,nocars_roads_count,nocars_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
TL201600000001,143.0,120368.944382788,10.0,8291.668624257505,18.0,47435.50899995157,24.0,11970.342119163935,0.0,0.0,0.0,0.0,169192359,0.5806646041410216,167284371,0.5802232589051337,40619763,0.594442611419544,847862348,0.6159135407489389,168044505,0.7283531230834391,677526578,1.599048633031201,188066.464126161,195.0,0.5802232589051337
TL201600000002,143.0,109924.84216011284,8.0,7794.279272127084,17.0,42051.51528369112,23.0,6053.951037196215,0.0,0.0,0.0,0.0,660438639,1.1342547515404213,660438634,1.1398052752158294,778768766,1.116782988233948,168919234,1.1534019210128725,726569535,1.3638215504701758,921607054,2.251633124196944,165824.58775312724,191.0,1.116782988233948
TL201600000003,174.0,136661.2780865763,9.0,7962.678587033507,15.0,35680.35497032724,27.0,14683.690529542608,0.0,0.0,0.0,0.0,170361075,0.1686491506477311,461543073,0.1676600602055878,432830293,0.16772356617962417,170361071,0.16883836119689496,168044505,0.2468934150282306,677526578,1.2472752174163362,194988.00217347962,225.0,0.1676600602055878
TL201600000004,83.0,62349.41510760027,1.0,10167.441274241382,8.0,2097.7497855967413,8.0,4190.114120054722,0.0,0.0,0.0,0.0,460262432,0.08766633528951626,460508294,0.08787515577157018,40619763,0.08768122304887413,847862348,0.104970420643357,168044505,0.2694213905216408,677526578,1.3190416592992928,78804.72028749311,100.0,0.08766633528951626
TL201600000005,67.0,62874.98890359239,3.0,4945.12670997233,16.0,30650.81589578068,10.0,3762.601299429291,0.0,0.0,0.0,0.0,660438639,0.8470648421880405,660438634,0.8544193203083023,778768766,0.8229958628273853,168919234,0.8726856960659262,726569535,1.1294658021716557,921607054,1.9218226195977577,102233.53280877469,96.0,0.8229958628273853
TL201600000006,143.0,120413.9559784121,9.0,11695.734105026717,13.0,13874.859082213137,67.0,42426.89670822486,0.0,0.0,0.0,0.0,660438639,1.1816192888450099,660438634,1.1878771137194053,778768766,1.1616037458656707,168919234,1.2032750908003909,726569535,1.4321940558159805,921607054,2.302279443112624,188411.4458738768,232.0,1.1616037458656707
TL201600000007,172.0,134311.69968715656,9.0,7962.678587033507,16.0,40773.26974459737,26.0,16196.002828322831,0.0,0.0,0.0,0.0,660438639,0.24986538845591272,660438634,0.2501425005150128,778768766,0.2507278510287452,168919234,0.2513590351304294,726569535,0.3993508784633694,921607054,1.289916162301244,199243.65084711026,223.0,0.24986538845591272
TL201600000008,124.0,102664.21797782437,2.0,326.5000920880417,8.0,26301.5709281141,19.0,11351.511230305352,0.0,0.0,0.0,0.0,169192359,0.5256481710100223,167284371,0.524840164297021,40619763,0.5593955708450421,847862348,0.6064404976355235,168044505,0.7765859790372902,677526578,1.7886528698342394,140643.80022833188,153.0,0.524840164297021
TL201600000009,183.0,148504.25839049707,9.0,7962.678587033507,17.0,48999.49167769069,26.0,14976.41256768346,0.0,0.0,0.0,0.0,169192359,0.920020088729059,167284371,0.9191970840169867,40619763,0.954348707265201,847862348,1.0011133811514965,168044505,1.1667958313988898,677526578,2.122395202875912,220442.8412229047,235.0,0.9191970840169867
TL201600000010,73.0,67804.23203935575,7.0,7636.178494945465,7.0,9487.772916381737,17.0,4887.7528024128505,0.0,0.0,0.0,0.0,660438639,0.21266023003186615,660438634,0.21438643505164284,778768766,0.2083640069932101,168919234,0.21982807398680837,726569535,0.37260114526353033,921607054,1.03024424769522,89815.9362530958,104.0,0.2083640069932101
TL201600000011,73.0,67804.23203935575,7.0,7636.178494945465,7.0,9487.772916381737,17.0,4887.7528024128505,0.0,0.0,0.0,0.0,744240239,0.6142240084602282,182186543,0.6333288391904829,150773492,0.6434880512101762,152429764,0.6956029949122691,658007772,0.8877795909785978,677526577,1.1244727628592612,89815.9362530958,104.0,0.6142240084602282
TL201600000012,82.0,67479.9553737466,4.0,7250.05752093266,10.0,18364.68513273975,14.0,2196.7057657578307,0.0,0.0,0.0,0.0,169192359,0.13274746853388775,167284371,0.13203356422273274,40619763,0.16372627619214977,847862348,0.21257014887437087,168044505,0.3938470971633949,677526578,1.446611463335936,95291.40379317684,110.0,0.13203356422273274
TL201600000013,177.0,134055.654221932,9.0,7962.678587033507,17.0,48999.49167769069,26.0,14797.189336039002,0.0,0.0,0.0,0.0,169192359,0.9451528320513164,167284371,0.9442394222268707,40619763,0.986315863078125,847862348,1.0422003111494598,168044505,1.2271953075362962,677526578,2.2671499064617624,205815.01382269518,229.0,0.9442394222268707
TL201600000014,70.0,67090.52529910968,7.0,7636.178494945465,8.0,14860.551927652605,17.0,4570.5125867340275,0.0,0.0,0.0,0.0,660438639,1.4119394779769259,660438634,1.419450972561583,778768766,1.3868436257936503,168919234,1.4381927843525204,726569535,1.6818477681384951,921607054,2.032215242814376,94157.76830844177,102.0,1.3868436257936503
TL201600000015,148.0,108243.34175921432,6.0,17751.436826150617,15.0,22075.07174823445,19.0,10901.956565155095,0.0,0.0,0.0,0.0,343391982,0.4956556895897335,167685999,0.5053664151496656,585542775,0.485951945802147,660887631,0.5255168186832668,726569535,0.5658261244150611,921607054,1.3792373156492594,158971.8068987545,188.0,0.485951945802147
TL201600000016,136.0,105901.91213366472,3.0,13047.259318994154,11.0,17430.265469242015,16.0,11637.905401339942,0.0,0.0,0.0,0.0,169653015,0.2150563486022117,427338981,0.23862335485286354,40623177,0.2133508282836566,585260718,0.3053172605257464,168044508,0.4165300483427167,677526578,0.7719709222803628,148017.34232324082,166.0,0.2133508282836566
TL201600000017,194.0,270629.07176626904,17.0,17949.901155572446,15.0,62901.98574544496,32.0,31087.846089830764,0.0,0.0,0.0,0.0,343391986,0.38884641257625135,695563145,0.4000010636653444,585542775,0.38301693798144604,660887631,0.40629483711222714,726569535,0.46271359518451627,921607054,1.3164884654180835,382568.8047571172,258.0,0.38301693798144604
TL201600000018,107.0,154518.2761625909,13.0,6868.118764776872,18.0,49828.81329272699,21.0,16042.632524758656,0.0,0.0,0.0,0.0,460502972,0.031149418049109735,170259080,0.04037790753121281,432830293,0.031059452596730833,233081996,0.0383027120037064,168044505,0.12755013590735662,677526578,1.1821797721602585,227257.84074485343,159.0,0.031059452596730833
TL201600000019,58.0,61044.295108788014,13.0,13122.018979268103,16.0,43726.73453845736,10.0,7594.218204272129,0.0,0.0,0.0,0.0,169133796,0.843076087459429,169133804,0.8447027263840928,167144653,0.8383229188566406,233081996,0.8846936807914357,168044505,0.8847350074776031,677526578,1.2849148232838707,125487.2668307856,97.0,0.8383229188566406
TL201600000020,133.0,195904.34508305465,9.0,10173.060174473707,19.0,81362.38275365344,24.0,32261.26296562641,0.0,0.0,0.0,0.0,660438639,1.4094255555093071,660438634,1.4168194314678335,778768766,1.3851629795924207,168919234,1.43517202801555,726569535,1.6916964616292949,921607054,2.427771028662452,319701.05097680824,185.0,1.3851629795924207
TL201600000021,104.0,153356.84423095512,12.0,6441.6201103900075,16.0,41179.07761960433,21.0,16042.632524758656,0.0,0.0,0.0,0.0,540881092,0.21564179643724457,694277636,0.22090625886462567,528256589,0.21120630498212306,725960179,0.2653539905546523,778432899,0.22931694429400462,921607054,0.518570999129536,217020.17448570812,153.0,0.21120630498212306
TL201600000022,9.0,8123.572359155604,2.0,650.4511976668116,1.0,1012.0610523759335,5.0,2427.3779489465787,0.0,0.0,0.0,0.0,169192359,0.014182142761617642,167284371,0.013750385404550916,40619763,0.04990945760827995,847862348,0.10840551541554105,168044505,0.2978237244631379,677526578,1.3571905187927673,12213.462558144929,17.0,0.013750385404550916
TL201600000023,106.0,66065.1128637864,6.0,2281.088341144239,9.0,19293.707423003667,20.0,32317.952395332333,0.0,0.0,0.0,0.0,168906975,0.03230482830764753,168919235,0.03246995588024853,740880481,0.032864400330023,168919234,0.03240091354674522,726569535,0.26616342806292415,921607054,1.121644878422304,119957.86102326664,141.0,0.03230482830764753
TL201600000024,8.0,4698.21930998555,1.0,36.186389761214585,1.0,1012.0610523759335,5.0,2427.3779489465787,0.0,0.0,0.0,0.0,40619762,0.5730104851873856,40619770,0.5733238816010787,167144653,0.5670736392787011,233081996,0.5873080300626929,168044505,0.6065575458073168,677526578,1.2739027920549684,8173.844701069277,15.0,0.5670736392787011
TL201600000025,87.0,48286.21439234953,2.0,142.17145213728628,4.0,12024.437117267084,15.0,21820.69371396373,0.0,0.0,0.0,0.0,744240239,0.8913868874024737,569868048,0.8939582906806484,553458796,0.8872363349443517,152429764,0.8928192666010656,658007761,0.9667901551183692,677526577,1.4512519108888982,82273.51667571763,108.0,0.8872363349443517
TL201600000026,66.0,94248.15700434473,5.0,3553.9416859033036,17.0,34229.77182162606,47.0,78768.47300331676,0.0,0.0,0.0,0.0,647902261,0.10030063870770198,647902396,0.10127770733770335,647902224,0.10894991601701376,648583300,0.11054818622193191,952526683,0.43101191718161375,921607054,0.5696695920080002,210800.34351519085,135.0,0.10030063870770198
TL201600000027,85.0,64253.17826833855,10.0,8342.536259729062,10.0,27725.2217961149,20.0,43085.16637576479,0.0,0.0,0.0,0.0,169133796,0.9431858467901445,167144254,0.9446102070097185,167144653,0.9398239566171963,233081996,0.9899721697881855,168044505,0.9881413714132689,677526578,1.3108991851920904,143406.1026999473,125.0,0.9398239566171963
TL201600000028,77.0,99402.01516679328,6.0,6218.93092523708,18.0,37184.220445923864,50.0,80306.50154159125,0.0,0.0,0.0,0.0,169192359,0.6429105185134079,167284371,0.6423607051399322,40619763,0.6621185188296645,847862348,0.690164731386929,168044505,0.816181899710161,677526578,1.6992899440385736,223111.66807954546,151.0,0.6423607051399322
