DHSID,ground_transport_count,water_transport_count,air_transport_count,all_transport_count
TL201600000001,0.0,0.0,0.0,0.0
TL201600000002,0.0,0.0,0.0,0.0
TL201600000003,0.0,0.0,0.0,0.0
TL201600000004,0.0,0.0,0.0,0.0
TL201600000005,0.0,0.0,0.0,0.0
TL201600000006,0.0,0.0,0.0,0.0
TL201600000007,0.0,0.0,0.0,0.0
TL201600000008,0.0,0.0,0.0,0.0
TL201600000009,0.0,0.0,0.0,0.0
TL201600000010,0.0,0.0,0.0,0.0
TL201600000011,0.0,0.0,0.0,0.0
TL201600000012,0.0,0.0,0.0,0.0
TL201600000013,0.0,0.0,0.0,0.0
TL201600000014,0.0,0.0,0.0,0.0
TL201600000015,0.0,0.0,0.0,0.0
TL201600000016,0.0,0.0,0.0,0.0
TL201600000017,0.0,0.0,0.0,0.0
TL201600000018,0.0,0.0,0.0,0.0
TL201600000019,0.0,0.0,0.0,0.0
TL201600000020,0.0,0.0,0.0,0.0
TL201600000021,0.0,0.0,0.0,0.0
TL201600000022,0.0,0.0,0.0,0.0
TL201600000023,0.0,0.0,0.0,0.0
TL201600000024,0.0,0.0,0.0,0.0
TL201600000025,0.0,0.0,0.0,0.0
TL201600000026,0.0,0.0,0.0,0.0
TL201600000027,0.0,0.0,0.0,0.0
TL201600000028,0.0,0.0,0.0,0.0
TL201600000029,0.0,0.0,0.0,0.0
TL201600000030,0.0,0.0,0.0,0.0
TL201600000031,0.0,0.0,0.0,0.0
TL201600000032,0.0,0.0,0.0,0.0
TL201600000033,0.0,0.0,0.0,0.0
TL201600000034,0.0,0.0,0.0,0.0
TL201600000035,0.0,0.0,0.0,0.0
TL201600000036,0.0,0.0,0.0,0.0
TL201600000037,0.0,0.0,0.0,0.0
TL201600000038,0.0,0.0,0.0,0.0
TL201600000039,0.0,0.0,0.0,0.0
TL201600000040,0.0,0.0,0.0,0.0
TL201600000041,0.0,0.0,0.0,0.0
TL201600000042,0.0,0.0,0.0,0.0
TL201600000043,0.0,0.0,0.0,0.0
TL201600000044,0.0,0.0,0.0,0.0
TL201600000045,0.0,0.0,0.0,0.0
TL201600000046,0.0,0.0,0.0,0.0
TL201600000047,0.0,0.0,0.0,0.0
TL201600000048,0.0,0.0,0.0,0.0
TL201600000049,0.0,0.0,0.0,0.0
TL201600000050,0.0,0.0,0.0,0.0
TL201600000051,0.0,0.0,0.0,0.0
TL201600000052,0.0,0.0,0.0,0.0
TL201600000053,0.0,0.0,0.0,0.0
TL201600000054,0.0,0.0,0.0,0.0
TL201600000055,0.0,0.0,0.0,0.0
TL201600000056,0.0,0.0,0.0,0.0
TL201600000057,0.0,0.0,0.0,0.0
TL201600000058,0.0,0.0,0.0,0.0
TL201600000059,0.0,0.0,0.0,0.0
TL201600000060,0.0,0.0,0.0,0.0
TL201600000061,0.0,0.0,0.0,0.0
TL201600000062,0.0,0.0,0.0,0.0
TL201600000063,0.0,0.0,0.0,0.0
TL201600000064,0.0,0.0,0.0,0.0
TL201600000065,0.0,0.0,0.0,0.0
TL201600000066,0.0,0.0,0.0,0.0
TL201600000067,0.0,0.0,0.0,0.0
TL201600000068,0.0,0.0,0.0,0.0
TL201600000069,0.0,0.0,0.0,0.0
TL201600000070,0.0,0.0,0.0,0.0
TL201600000071,3.0,0.0,0.0,3.0
TL201600000072,1.0,0.0,0.0,1.0
TL201600000073,0.0,0.0,0.0,0.0
TL201600000074,0.0,0.0,0.0,0.0
TL201600000075,2.0,0.0,0.0,2.0
TL201600000076,2.0,0.0,0.0,2.0
TL201600000077,3.0,0.0,3.0,6.0
TL201600000078,0.0,0.0,0.0,0.0
TL201600000079,0.0,0.0,0.0,0.0
TL201600000080,0.0,0.0,0.0,0.0
TL201600000081,2.0,0.0,0.0,2.0
TL201600000082,3.0,0.0,0.0,3.0
TL201600000083,3.0,0.0,0.0,3.0
TL201600000084,0.0,0.0,0.0,0.0
TL201600000085,0.0,0.0,3.0,3.0
TL201600000086,0.0,0.0,1.0,1.0
TL201600000087,0.0,0.0,0.0,0.0
TL201600000088,0.0,0.0,0.0,0.0
TL201600000089,0.0,0.0,0.0,0.0
TL201600000090,0.0,0.0,0.0,0.0
TL201600000091,0.0,0.0,0.0,0.0
TL201600000092,0.0,0.0,0.0,0.0
TL201600000093,0.0,0.0,0.0,0.0
TL201600000094,0.0,0.0,0.0,0.0
TL201600000095,0.0,0.0,0.0,0.0
TL201600000096,0.0,0.0,0.0,0.0
TL201600000097,0.0,0.0,0.0,0.0
TL201600000098,0.0,0.0,0.0,0.0
TL201600000099,0.0,0.0,0.0,0.0
TL201600000100,0.0,0.0,0.0,0.0
TL201600000101,0.0,0.0,0.0,0.0
TL201600000102,0.0,0.0,0.0,0.0
TL201600000103,0.0,0.0,0.0,0.0
TL201600000104,0.0,0.0,0.0,0.0
TL201600000105,0.0,0.0,0.0,0.0
TL201600000106,0.0,0.0,0.0,0.0
TL201600000107,0.0,0.0,0.0,0.0
TL201600000108,0.0,0.0,0.0,0.0
TL201600000109,0.0,0.0,0.0,0.0
TL201600000110,0.0,0.0,0.0,0.0
TL201600000111,0.0,0.0,0.0,0.0
TL201600000112,0.0,0.0,0.0,0.0
TL201600000113,0.0,0.0,0.0,0.0
