DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
ZM201800000001,10.0,432.9937879542356,43.29937879542356,5.52191415830956e-06,0.0,0.0,0.0,0.0,1.0,287.4786204566659,287.4786204566659,3.666177919113113e-06,0.0,0.0,0.0,0.0,1.0,44.71441934245037,44.71441934245037,5.702372461605941e-07,1.0,13.483844822058979,13.483844822058979,1.719577409716697e-07,23.0,936.8718106361316,40.733556984179636,1.1947805856788764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,12926.636950917438,44.88415607957444,0.00016485174056617843,324.0,14642.17943412898,45.191911833731425,0.00018672983348752214
ZM201800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,25975.0564022366,44.175265990198305,0.00033125655771661404,588.0,25975.0564022366,44.175265990198305,0.00033125655771661404
ZM201800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,8931.900485304768,357.27601941219075,0.0007119211222325232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11753.66462527355,979.4720521061291,0.0009368310948085914,89.0,13647.274096785644,153.34015839084995,0.0010877620844951638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,3579.366236797277,58.678135029463554,0.00028529498647845406,187.0,37912.20544416124,202.7390665463168,0.0030218092880147326
ZM201800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.28444762866057,119.28444762866057,9.507620238313445e-06,1.0,119.28444762866057,119.28444762866057,9.507620238313445e-06
ZM201800000007,48.0,9653.932050525167,201.12358438594097,0.0007694709710070857,60.0,2122.382553747255,35.373042562454245,0.00016916545050589603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2110.724163703761,2110.724163703761,0.00016823621331423186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2093.0,189885.1667535974,90.72392104806374,0.015134882126478677,2202.0,203772.2055215736,92.5396028708327,0.01624175476130589
ZM201800000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,428.2308085676646,71.3718014279441,5.461172494012635e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,213.95576080070367,53.48894020017592,2.7285503341727067e-06,10.0,642.1865693683683,64.21865693683682,8.189722828185342e-06
ZM201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,16572.30571262316,36.991753822819554,0.000211344485986111,448.0,16572.30571262316,36.991753822819554,0.000211344485986111
ZM201800000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,35708.932730080596,123.13425079338137,0.0028461964511077957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,35708.932730080596,123.13425079338137,0.0028461964511077957
