DHSID,retail_pois_count,services_pois_count,education_pois_count,other_pois_count,lodging_pois_count,entertainment_pois_count,food_pois_count,landmark_pois_count,health_pois_count,all_pois_count
ZM201800000001,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ZM201800000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ZM201800000003,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
ZM201800000004,3.0,8.0,17.0,0.0,2.0,17.0,2.0,0.0,2.0,51.0
ZM201800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000006,0.0,5.0,1.0,0.0,6.0,2.0,0.0,1.0,0.0,15.0
ZM201800000007,1.0,4.0,3.0,0.0,6.0,2.0,2.0,0.0,1.0,19.0
ZM201800000008,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0
ZM201800000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000010,3.0,3.0,4.0,0.0,4.0,3.0,1.0,2.0,0.0,20.0
ZM201800000011,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
ZM201800000012,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
ZM201800000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000015,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0
ZM201800000016,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ZM201800000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000020,19.0,22.0,7.0,0.0,7.0,11.0,13.0,0.0,3.0,82.0
ZM201800000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000022,0.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,0.0,11.0
ZM201800000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZM201800000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
