DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length,links_roads_nearestid,links_roads_nearestdist,major_roads_nearestid,major_roads_nearestdist,minor_roads_nearestid,minor_roads_nearestdist,nocars_roads_nearestid,nocars_roads_nearestdist,small_roads_nearestid,small_roads_nearestdist,unknown_roads_nearestid,unknown_roads_nearestdist,all_roads_nearestdist,all_roads_nearestid
ZM201800000001,0.0,7743.580700536746,1581.7924963770429,0.0,0.0,0.0,9325.373196913788,662019079,0.5774314600290735,76559004,0.02482362512807915,682667951,0.008660106090395374,512073188,0.15396867859881835,682733950,0.011697196358528297,846481280,0.5366682211801366,0.008660106090395374,682667951
ZM201800000002,0.0,0.0,39336.77594491416,536.0097491566853,66921.53336709211,0.0,106794.31906116295,685768674,0.16827215190145337,702845175,0.006519026789439852,314029142,0.011670635304456172,671134478,0.03483641570991124,684597173,0.001046045858386893,993521678,0.414894978359556,0.001046045858386893,684597173
ZM201800000003,0.0,0.0,19831.243709854713,411.04724798849026,3550.3018701159203,0.0,23792.592827959124,1013537427,0.32077064288974333,561023670,0.01269353599456448,410050276,0.0010602012403006635,688612725,0.015185558214800577,688591018,0.002079724534550202,993521678,1.6947244611673546,0.0010602012403006635,410050276
ZM201800000004,52.27226168261185,9829.603850725327,120691.85666388107,1624.4194741707506,6162.8324425203255,0.0,138360.9846929801,665305698,0.012895623630615655,31513348,0.001207303583806305,240865112,0.0005088563803491043,988249344,0.005227578507063321,826547025,0.00602407948470893,993519483,0.3930264816413189,0.0005088563803491043,240865112
ZM201800000005,0.0,0.0,0.0,1686.2018825522814,15445.165710691057,0.0,17131.36759324334,685784644,0.16727605087271094,1014254102,0.009594403710482048,280127371,0.0041181106176538034,962799569,0.023401543315261616,971994017,0.0012808172256880952,993521678,0.9609141537051792,0.0012808172256880952,971994017
ZM201800000006,0.0,4510.29812569799,81436.00158732398,214.50877456282907,2095.3092100094677,0.0,88256.11769759425,682924774,0.05458090671313929,367594329,0.005157210168988149,688941805,0.00011778282294899856,558321660,0.00446189367659148,474098677,0.00353184760510409,846481295,0.51820698099693,0.00011778282294899856,688941805
ZM201800000007,0.0,1769.267466185989,11040.545320113737,0.0,13129.970376219379,0.0,25939.783162519103,685761192,0.45730137707847357,261383091,0.005591712213713897,261491738,0.0010742672144304767,903123486,0.009761167532072632,906159192,0.005421826442710528,846481280,1.6214763337769673,0.0010742672144304767,261491738
ZM201800000008,0.0,4789.562103454451,13143.611473011924,12584.324503349648,45319.94052087547,0.0,75837.4386006915,976307500,0.1097576499097576,973480164,0.003014181459703561,941195836,0.013081775534308834,411847281,0.007117206582533512,1012402275,0.004056146270568458,835850089,0.6495740803028448,0.003014181459703561,973480164
ZM201800000009,0.0,7156.092973345912,16810.29477808687,0.0,43772.24418210767,0.0,67738.63193354046,685768674,0.29250695686802186,39087933,0.028656644481630793,522505897,0.007265714531552826,486466316,0.0999907282760041,685429340,0.0006174974655340745,993521678,0.34426676041546794,0.0006174974655340745,685429340
ZM201800000010,0.0,5077.961129526371,85969.74050477534,22867.470380576015,15577.371194389054,0.0,129492.54320926678,666949606,0.030979795502588746,582163506,0.006020520419937935,28163784,0.0003410624465098583,515782698,0.00039095341390955624,942923417,0.00024996585109527216,949581676,0.5873591590853832,0.00024996585109527216,942923417
ZM201800000011,0.0,10494.798370791812,15369.194717866285,0.0,47008.06371183521,0.0,72872.0568004933,685761193,0.20713493456477944,28803778,0.00043923399137739985,634140870,0.004551576258950196,487294561,0.04975884191635516,686926172,0.0005488563216253162,993519550,1.441866784752841,0.00043923399137739985,28803778
ZM201800000012,0.0,10445.387084544034,10005.474218640284,0.0,12133.718666136449,0.0,32584.579969320766,682924774,0.04966809087448128,1009639526,0.003230910977476197,479791276,0.0012622498228620656,480208700,0.009836325423153585,474288443,0.00045486184521938275,846481295,0.5010493216341066,0.00045486184521938275,474288443
ZM201800000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685784644,0.41713957508987254,683896010,0.03177135089205426,978282390,0.009002061223238699,694709531,0.1365330689800552,691233198,0.013060187485150828,993521678,1.2822344442274702,0.009002061223238699,978282390
ZM201800000014,0.0,9978.099010237991,748.304818980297,5939.185515444948,33024.52692716949,0.0,49690.116271832725,1013537427,0.1528247852427078,32763905,0.009664615371597332,687395012,0.04285626467438882,409161329,0.030725252398256183,687403322,0.005200305705505324,846481295,1.6616193584607009,0.005200305705505324,687403322
ZM201800000015,0.0,14553.54094361661,1698.5430140257863,0.0,111730.51936337465,0.0,127982.60332101706,685784645,0.19198522460797837,145096283,0.0019731754238520283,689850003,0.0051253676067721625,995015185,0.03812086400379776,682714402,0.00040295169672056836,993521678,0.6775255125751305,0.00040295169672056836,682714402
ZM201800000016,0.0,4033.0714922556913,4255.68879118961,0.0,5907.369836928261,0.0,14196.130120373562,685761192,0.7146185086971782,306645836,0.001331520130545739,667628912,0.0035081553084499294,903761929,0.173926181038645,686126659,0.003412087382715873,846481280,1.5588804352258034,0.001331520130545739,306645836
ZM201800000017,0.0,0.0,12832.418151287415,0.0,27443.699448175743,0.0,40276.117599463156,685784644,0.32465231579940607,134440899,0.025519700851916842,596530624,0.006399583837532138,598234893,0.06524559985269339,685659024,0.0010916368031957118,993521678,1.1427782624163925,0.0010916368031957118,685659024
ZM201800000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690662161,0.11998232838049674,289553759,0.0033593974125783253,915792102,0.0010440179156392378,945452615,0.010926428155390912,945452612,0.002142074731784608,993519550,1.127590927212523,0.0010440179156392378,915792102
ZM201800000020,61.19596304123972,6624.52719668816,95199.1985983827,13250.425718021874,8352.868161251326,0.0,123488.2156373853,684042997,0.016061207074392923,1013076764,0.0011206210332331153,224780956,0.0001134780490032216,430052551,0.004819584977234219,699968427,0.0015964736801957992,846481296,0.4738524260780999,0.0001134780490032216,224780956
ZM201800000021,0.0,0.0,0.0,0.0,1075.1401272342675,0.0,1075.1401272342675,986881425,0.10989648229425034,32320072,0.01367804189604203,986595450,0.01658113156644386,932009097,0.034723616826406886,310785733,0.014653822579141464,835850089,0.46461135643801604,0.01367804189604203,32320072
ZM201800000022,0.0,6238.8830383912755,69516.36491054008,177.47532211822573,0.0,0.0,75932.72327104959,1013537427,0.11927595710938634,210590552,0.0013742228123462194,654229495,0.0002605355672359809,654698573,0.009279979065622331,654204513,0.018957372702748308,846481295,1.5721762768652425,0.0002605355672359809,654229495
