DHSID,ground_transport_count,air_transport_count,water_transport_count,all_transport_count
ZM201800000001,0.0,0.0,0.0,0.0
ZM201800000002,0.0,0.0,0.0,0.0
ZM201800000003,0.0,0.0,0.0,0.0
ZM201800000004,0.0,0.0,0.0,0.0
ZM201800000005,0.0,0.0,0.0,0.0
ZM201800000006,5.0,0.0,0.0,5.0
ZM201800000007,0.0,0.0,0.0,0.0
ZM201800000008,0.0,0.0,0.0,0.0
ZM201800000009,0.0,0.0,0.0,0.0
ZM201800000010,0.0,0.0,0.0,0.0
ZM201800000011,1.0,0.0,0.0,1.0
ZM201800000012,0.0,1.0,0.0,1.0
ZM201800000013,0.0,0.0,0.0,0.0
ZM201800000014,0.0,0.0,0.0,0.0
ZM201800000015,1.0,0.0,0.0,1.0
ZM201800000016,0.0,0.0,0.0,0.0
ZM201800000017,0.0,0.0,0.0,0.0
ZM201800000018,0.0,0.0,0.0,0.0
ZM201800000020,2.0,0.0,0.0,2.0
ZM201800000021,0.0,0.0,0.0,0.0
ZM201800000022,1.0,2.0,0.0,3.0
ZM201800000023,0.0,0.0,0.0,0.0
ZM201800000024,0.0,0.0,0.0,0.0
ZM201800000025,0.0,0.0,0.0,0.0
ZM201800000026,1.0,0.0,0.0,1.0
ZM201800000027,0.0,0.0,0.0,0.0
ZM201800000028,0.0,0.0,0.0,0.0
ZM201800000029,14.0,0.0,0.0,14.0
ZM201800000030,0.0,0.0,0.0,0.0
ZM201800000031,0.0,0.0,0.0,0.0
ZM201800000032,0.0,0.0,0.0,0.0
ZM201800000034,0.0,0.0,0.0,0.0
ZM201800000035,0.0,4.0,0.0,4.0
ZM201800000036,0.0,0.0,0.0,0.0
ZM201800000037,0.0,0.0,0.0,0.0
ZM201800000038,0.0,0.0,0.0,0.0
ZM201800000039,0.0,0.0,0.0,0.0
ZM201800000040,0.0,0.0,0.0,0.0
ZM201800000041,0.0,0.0,0.0,0.0
ZM201800000042,0.0,0.0,0.0,0.0
ZM201800000043,0.0,4.0,0.0,4.0
ZM201800000044,0.0,0.0,0.0,0.0
ZM201800000045,0.0,0.0,0.0,0.0
ZM201800000046,0.0,0.0,0.0,0.0
ZM201800000047,0.0,0.0,0.0,0.0
ZM201800000048,0.0,0.0,0.0,0.0
ZM201800000049,0.0,0.0,0.0,0.0
ZM201800000050,1.0,1.0,0.0,2.0
ZM201800000051,0.0,0.0,0.0,0.0
ZM201800000052,0.0,0.0,0.0,0.0
ZM201800000053,0.0,0.0,0.0,0.0
ZM201800000054,1.0,0.0,0.0,1.0
ZM201800000055,0.0,0.0,0.0,0.0
ZM201800000056,16.0,2.0,0.0,18.0
ZM201800000057,4.0,0.0,0.0,4.0
ZM201800000058,0.0,0.0,0.0,0.0
ZM201800000059,0.0,0.0,0.0,0.0
ZM201800000060,0.0,0.0,0.0,0.0
ZM201800000061,0.0,0.0,0.0,0.0
ZM201800000062,0.0,0.0,0.0,0.0
ZM201800000063,0.0,1.0,0.0,1.0
ZM201800000064,0.0,0.0,0.0,0.0
ZM201800000066,0.0,0.0,0.0,0.0
ZM201800000067,0.0,0.0,0.0,0.0
ZM201800000068,1.0,1.0,0.0,2.0
ZM201800000069,0.0,0.0,0.0,0.0
ZM201800000070,0.0,0.0,0.0,0.0
ZM201800000071,0.0,0.0,0.0,0.0
ZM201800000072,1.0,0.0,0.0,1.0
ZM201800000073,0.0,0.0,0.0,0.0
ZM201800000074,0.0,0.0,0.0,0.0
ZM201800000075,0.0,0.0,0.0,0.0
ZM201800000076,1.0,0.0,0.0,1.0
ZM201800000077,0.0,0.0,0.0,0.0
ZM201800000078,2.0,0.0,0.0,2.0
ZM201800000079,0.0,0.0,0.0,0.0
ZM201800000080,0.0,0.0,0.0,0.0
ZM201800000081,3.0,0.0,0.0,3.0
ZM201800000082,0.0,0.0,0.0,0.0
ZM201800000083,0.0,0.0,0.0,0.0
ZM201800000084,0.0,0.0,0.0,0.0
ZM201800000085,0.0,0.0,0.0,0.0
ZM201800000086,0.0,0.0,0.0,0.0
ZM201800000087,0.0,0.0,0.0,0.0
ZM201800000088,3.0,0.0,0.0,3.0
ZM201800000089,0.0,0.0,0.0,0.0
ZM201800000090,0.0,0.0,0.0,0.0
ZM201800000091,0.0,0.0,0.0,0.0
ZM201800000092,1.0,1.0,0.0,2.0
ZM201800000093,0.0,0.0,0.0,0.0
ZM201800000094,0.0,0.0,0.0,0.0
ZM201800000095,0.0,0.0,0.0,0.0
ZM201800000096,0.0,0.0,0.0,0.0
ZM201800000097,0.0,0.0,0.0,0.0
ZM201800000098,0.0,0.0,0.0,0.0
ZM201800000099,0.0,0.0,0.0,0.0
ZM201800000100,0.0,0.0,0.0,0.0
ZM201800000101,1.0,1.0,0.0,2.0
ZM201800000102,0.0,0.0,0.0,0.0
ZM201800000103,0.0,0.0,0.0,0.0
ZM201800000104,0.0,0.0,0.0,0.0
ZM201800000105,0.0,0.0,0.0,0.0
ZM201800000106,0.0,0.0,0.0,0.0
ZM201800000107,0.0,0.0,0.0,0.0
ZM201800000108,0.0,0.0,0.0,0.0
ZM201800000109,2.0,0.0,0.0,2.0
ZM201800000110,0.0,0.0,0.0,0.0
ZM201800000111,0.0,0.0,0.0,0.0
ZM201800000112,0.0,2.0,0.0,2.0
ZM201800000113,0.0,1.0,0.0,1.0
ZM201800000114,0.0,0.0,0.0,0.0
ZM201800000115,0.0,0.0,0.0,0.0
ZM201800000116,0.0,0.0,0.0,0.0
ZM201800000117,0.0,0.0,0.0,0.0
ZM201800000118,0.0,0.0,0.0,0.0
ZM201800000119,2.0,0.0,0.0,2.0
ZM201800000120,0.0,0.0,0.0,0.0
ZM201800000121,0.0,0.0,0.0,0.0
ZM201800000122,0.0,0.0,0.0,0.0
ZM201800000123,0.0,0.0,0.0,0.0
ZM201800000124,0.0,0.0,0.0,0.0
ZM201800000125,0.0,0.0,0.0,0.0
ZM201800000126,1.0,0.0,0.0,1.0
ZM201800000127,0.0,0.0,0.0,0.0
ZM201800000128,0.0,0.0,0.0,0.0
ZM201800000129,0.0,2.0,0.0,2.0
ZM201800000130,0.0,0.0,0.0,0.0
ZM201800000131,2.0,0.0,0.0,2.0
ZM201800000132,0.0,0.0,0.0,0.0
ZM201800000133,0.0,0.0,0.0,0.0
ZM201800000134,0.0,0.0,0.0,0.0
ZM201800000135,1.0,0.0,0.0,1.0
ZM201800000136,0.0,0.0,0.0,0.0
ZM201800000137,2.0,0.0,0.0,2.0
ZM201800000138,1.0,0.0,0.0,1.0
ZM201800000139,0.0,0.0,0.0,0.0
ZM201800000140,0.0,0.0,0.0,0.0
ZM201800000141,0.0,12.0,0.0,12.0
ZM201800000142,0.0,0.0,0.0,0.0
ZM201800000143,0.0,0.0,0.0,0.0
ZM201800000144,0.0,0.0,0.0,0.0
ZM201800000145,1.0,0.0,0.0,1.0
ZM201800000146,0.0,1.0,0.0,1.0
ZM201800000147,0.0,0.0,0.0,0.0
ZM201800000148,44.0,9.0,0.0,53.0
ZM201800000149,0.0,4.0,0.0,4.0
ZM201800000150,1.0,0.0,0.0,1.0
ZM201800000151,0.0,0.0,0.0,0.0
ZM201800000152,0.0,0.0,0.0,0.0
ZM201800000153,0.0,0.0,0.0,0.0
ZM201800000154,3.0,0.0,0.0,3.0
ZM201800000155,0.0,0.0,0.0,0.0
ZM201800000156,0.0,0.0,0.0,0.0
ZM201800000157,0.0,0.0,0.0,0.0
ZM201800000158,0.0,0.0,0.0,0.0
ZM201800000159,0.0,0.0,0.0,0.0
ZM201800000160,0.0,0.0,0.0,0.0
ZM201800000161,0.0,0.0,0.0,0.0
ZM201800000162,1.0,0.0,0.0,1.0
ZM201800000163,0.0,0.0,0.0,0.0
ZM201800000164,0.0,0.0,0.0,0.0
ZM201800000165,0.0,0.0,0.0,0.0
ZM201800000166,0.0,0.0,0.0,0.0
ZM201800000167,0.0,0.0,0.0,0.0
ZM201800000168,0.0,0.0,0.0,0.0
ZM201800000169,0.0,0.0,0.0,0.0
ZM201800000170,0.0,0.0,0.0,0.0
ZM201800000171,0.0,0.0,0.0,0.0
ZM201800000172,0.0,0.0,0.0,0.0
ZM201800000173,2.0,0.0,0.0,2.0
ZM201800000174,0.0,0.0,0.0,0.0
ZM201800000175,0.0,0.0,0.0,0.0
ZM201800000176,1.0,2.0,2.0,5.0
ZM201800000177,0.0,0.0,0.0,0.0
ZM201800000178,0.0,0.0,0.0,0.0
ZM201800000179,0.0,0.0,0.0,0.0
ZM201800000180,0.0,0.0,0.0,0.0
ZM201800000181,0.0,0.0,0.0,0.0
ZM201800000182,0.0,0.0,0.0,0.0
ZM201800000183,0.0,0.0,0.0,0.0
ZM201800000184,0.0,0.0,0.0,0.0
ZM201800000185,0.0,0.0,0.0,0.0
ZM201800000186,0.0,0.0,0.0,0.0
ZM201800000187,0.0,0.0,0.0,0.0
ZM201800000188,3.0,13.0,0.0,16.0
ZM201800000189,3.0,0.0,0.0,3.0
ZM201800000190,0.0,0.0,0.0,0.0
ZM201800000191,0.0,0.0,0.0,0.0
ZM201800000192,3.0,0.0,0.0,3.0
ZM201800000193,0.0,0.0,0.0,0.0
ZM201800000194,0.0,0.0,0.0,0.0
ZM201800000195,2.0,1.0,0.0,3.0
ZM201800000196,1.0,0.0,0.0,1.0
ZM201800000197,0.0,0.0,0.0,0.0
ZM201800000198,0.0,0.0,0.0,0.0
ZM201800000199,0.0,1.0,0.0,1.0
ZM201800000200,0.0,0.0,0.0,0.0
ZM201800000201,1.0,0.0,0.0,1.0
ZM201800000202,0.0,0.0,0.0,0.0
ZM201800000203,0.0,0.0,0.0,0.0
ZM201800000204,0.0,0.0,0.0,0.0
ZM201800000205,3.0,0.0,0.0,3.0
ZM201800000206,0.0,0.0,0.0,0.0
ZM201800000207,0.0,1.0,0.0,1.0
ZM201800000208,0.0,0.0,0.0,0.0
ZM201800000209,0.0,0.0,0.0,0.0
ZM201800000210,0.0,0.0,0.0,0.0
ZM201800000211,0.0,0.0,0.0,0.0
ZM201800000212,0.0,0.0,0.0,0.0
ZM201800000213,0.0,0.0,0.0,0.0
ZM201800000214,0.0,0.0,0.0,0.0
ZM201800000215,0.0,0.0,0.0,0.0
ZM201800000216,0.0,0.0,0.0,0.0
ZM201800000217,0.0,0.0,0.0,0.0
ZM201800000218,0.0,0.0,0.0,0.0
ZM201800000219,0.0,0.0,0.0,0.0
ZM201800000220,0.0,0.0,0.0,0.0
ZM201800000221,0.0,0.0,0.0,0.0
ZM201800000222,0.0,0.0,0.0,0.0
ZM201800000223,0.0,0.0,2.0,2.0
ZM201800000224,1.0,0.0,0.0,1.0
ZM201800000225,0.0,0.0,0.0,0.0
ZM201800000226,0.0,0.0,0.0,0.0
ZM201800000227,0.0,4.0,0.0,4.0
ZM201800000228,0.0,0.0,0.0,0.0
ZM201800000229,0.0,0.0,0.0,0.0
ZM201800000230,0.0,0.0,0.0,0.0
ZM201800000231,0.0,4.0,0.0,4.0
ZM201800000232,0.0,0.0,0.0,0.0
ZM201800000233,0.0,0.0,0.0,0.0
ZM201800000234,0.0,0.0,0.0,0.0
ZM201800000235,0.0,0.0,0.0,0.0
ZM201800000237,0.0,0.0,0.0,0.0
ZM201800000238,5.0,0.0,0.0,5.0
ZM201800000239,0.0,0.0,0.0,0.0
ZM201800000240,0.0,0.0,0.0,0.0
ZM201800000241,0.0,0.0,0.0,0.0
ZM201800000242,0.0,0.0,0.0,0.0
ZM201800000243,0.0,1.0,0.0,1.0
ZM201800000244,0.0,1.0,0.0,1.0
ZM201800000245,0.0,0.0,0.0,0.0
ZM201800000246,0.0,0.0,0.0,0.0
ZM201800000247,0.0,0.0,0.0,0.0
ZM201800000248,0.0,0.0,0.0,0.0
ZM201800000249,2.0,0.0,0.0,2.0
ZM201800000250,1.0,0.0,0.0,1.0
ZM201800000251,0.0,0.0,0.0,0.0
ZM201800000252,0.0,0.0,0.0,0.0
ZM201800000253,0.0,0.0,0.0,0.0
ZM201800000254,3.0,0.0,0.0,3.0
ZM201800000255,0.0,0.0,0.0,0.0
ZM201800000256,0.0,0.0,0.0,0.0
ZM201800000257,0.0,0.0,0.0,0.0
ZM201800000258,0.0,0.0,0.0,0.0
ZM201800000259,0.0,0.0,0.0,0.0
ZM201800000260,2.0,0.0,0.0,2.0
ZM201800000261,0.0,0.0,0.0,0.0
ZM201800000262,0.0,0.0,0.0,0.0
ZM201800000263,0.0,0.0,0.0,0.0
ZM201800000264,0.0,0.0,0.0,0.0
ZM201800000265,0.0,0.0,0.0,0.0
ZM201800000266,1.0,0.0,0.0,1.0
ZM201800000267,2.0,0.0,0.0,2.0
ZM201800000268,14.0,0.0,0.0,14.0
ZM201800000269,0.0,0.0,0.0,0.0
ZM201800000270,0.0,0.0,0.0,0.0
ZM201800000271,0.0,0.0,0.0,0.0
ZM201800000272,0.0,0.0,0.0,0.0
ZM201800000273,0.0,1.0,0.0,1.0
ZM201800000274,0.0,0.0,0.0,0.0
ZM201800000275,0.0,0.0,0.0,0.0
ZM201800000276,1.0,0.0,0.0,1.0
ZM201800000277,1.0,0.0,0.0,1.0
ZM201800000278,0.0,0.0,0.0,0.0
ZM201800000279,0.0,0.0,0.0,0.0
ZM201800000280,0.0,0.0,0.0,0.0
ZM201800000282,23.0,4.0,0.0,27.0
ZM201800000283,0.0,0.0,0.0,0.0
ZM201800000284,0.0,5.0,0.0,5.0
ZM201800000285,0.0,0.0,0.0,0.0
ZM201800000286,0.0,0.0,0.0,0.0
ZM201800000287,0.0,0.0,0.0,0.0
ZM201800000288,0.0,0.0,0.0,0.0
ZM201800000289,0.0,0.0,0.0,0.0
ZM201800000290,0.0,0.0,0.0,0.0
ZM201800000291,0.0,0.0,0.0,0.0
ZM201800000292,0.0,0.0,0.0,0.0
ZM201800000294,0.0,0.0,0.0,0.0
ZM201800000295,0.0,0.0,0.0,0.0
ZM201800000296,2.0,0.0,0.0,2.0
ZM201800000297,0.0,0.0,0.0,0.0
ZM201800000298,0.0,1.0,0.0,1.0
ZM201800000299,0.0,0.0,0.0,0.0
ZM201800000300,0.0,1.0,0.0,1.0
ZM201800000301,0.0,0.0,0.0,0.0
ZM201800000302,3.0,0.0,0.0,3.0
ZM201800000303,0.0,0.0,0.0,0.0
ZM201800000304,12.0,0.0,0.0,12.0
ZM201800000305,0.0,0.0,0.0,0.0
ZM201800000306,0.0,0.0,0.0,0.0
ZM201800000307,0.0,0.0,0.0,0.0
ZM201800000308,0.0,0.0,0.0,0.0
ZM201800000309,0.0,0.0,1.0,1.0
ZM201800000310,0.0,0.0,0.0,0.0
ZM201800000311,0.0,0.0,0.0,0.0
ZM201800000312,0.0,0.0,0.0,0.0
ZM201800000313,0.0,0.0,0.0,0.0
ZM201800000314,0.0,0.0,0.0,0.0
ZM201800000315,2.0,0.0,0.0,2.0
ZM201800000316,0.0,0.0,0.0,0.0
ZM201800000317,2.0,0.0,0.0,2.0
ZM201800000318,0.0,0.0,0.0,0.0
ZM201800000319,0.0,0.0,0.0,0.0
ZM201800000320,0.0,0.0,0.0,0.0
ZM201800000321,2.0,0.0,0.0,2.0
ZM201800000322,0.0,0.0,0.0,0.0
ZM201800000323,0.0,0.0,0.0,0.0
ZM201800000324,0.0,0.0,0.0,0.0
ZM201800000325,0.0,0.0,0.0,0.0
ZM201800000326,0.0,0.0,0.0,0.0
ZM201800000327,0.0,0.0,0.0,0.0
ZM201800000328,0.0,0.0,0.0,0.0
ZM201800000329,1.0,0.0,0.0,1.0
ZM201800000330,2.0,0.0,0.0,2.0
ZM201800000331,0.0,0.0,0.0,0.0
ZM201800000332,0.0,0.0,0.0,0.0
ZM201800000333,0.0,0.0,0.0,0.0
ZM201800000334,0.0,0.0,0.0,0.0
ZM201800000335,5.0,0.0,0.0,5.0
ZM201800000336,0.0,1.0,0.0,1.0
ZM201800000337,0.0,0.0,0.0,0.0
ZM201800000338,0.0,0.0,0.0,0.0
ZM201800000339,0.0,2.0,0.0,2.0
ZM201800000340,0.0,2.0,0.0,2.0
ZM201800000341,0.0,0.0,0.0,0.0
ZM201800000342,0.0,0.0,0.0,0.0
ZM201800000343,0.0,0.0,0.0,0.0
ZM201800000344,0.0,0.0,0.0,0.0
ZM201800000345,0.0,0.0,0.0,0.0
ZM201800000346,1.0,1.0,0.0,2.0
ZM201800000347,0.0,0.0,0.0,0.0
ZM201800000348,9.0,0.0,0.0,9.0
ZM201800000349,0.0,1.0,0.0,1.0
ZM201800000350,2.0,0.0,0.0,2.0
ZM201800000351,0.0,0.0,0.0,0.0
ZM201800000352,0.0,0.0,0.0,0.0
ZM201800000353,0.0,0.0,0.0,0.0
ZM201800000354,0.0,0.0,0.0,0.0
ZM201800000355,0.0,0.0,0.0,0.0
ZM201800000356,0.0,0.0,0.0,0.0
ZM201800000357,0.0,0.0,0.0,0.0
ZM201800000358,0.0,0.0,0.0,0.0
ZM201800000359,0.0,0.0,0.0,0.0
ZM201800000362,0.0,0.0,0.0,0.0
ZM201800000363,0.0,0.0,0.0,0.0
ZM201800000364,0.0,0.0,0.0,0.0
ZM201800000365,6.0,0.0,0.0,6.0
ZM201800000366,0.0,0.0,0.0,0.0
ZM201800000367,0.0,0.0,0.0,0.0
ZM201800000368,0.0,3.0,0.0,3.0
ZM201800000369,0.0,0.0,0.0,0.0
ZM201800000370,0.0,0.0,0.0,0.0
ZM201800000371,0.0,0.0,0.0,0.0
ZM201800000372,0.0,0.0,0.0,0.0
ZM201800000373,0.0,0.0,0.0,0.0
ZM201800000374,0.0,0.0,0.0,0.0
ZM201800000375,0.0,0.0,0.0,0.0
