run_id,name,version,parent,group,model_name,model_type,project,gender_classification,gender,classification,importance,r2,model_and_gender
31d60efb7bcb46869dae82100b05a603,GH_2014_DHS_small_all - sub - RF,1.6.1,self,eqai,sub,RF,GH_2014_DHS_small_all,small_all,all,small,"{'all_buildings_totalarea_importance': 0.011285506374824967, 'all_roads_nearestdist_importance': 0.009479768747000598, 'all_buildings_count_importance': 0.010607783347447997, 'all_buildings_ratio_importance': 0.02779164454627162, 'all_buildings_avgarea_importance': 0.01839070737152756, 'all_roads_length_importance': 0.020669496361780698, 'dist_to_water_na_mean_importance': 0.010456255631555274, 'ltdr_avhrr_ndvi_v5_yearly_mean_importance': 0.025947603430970592, 'viirs_max_importance': 0.06884802126539041, 'viirs_median_importance': 0.21985502190626754, 'udel_precip_v501_sum_sum_importance': 0.047065733978775705, 'accessibility_to_cities_2015_v1_0_mean_importance': 0.06163617831221959, 'esa_landcover_categorical_cropland_importance': 0.018944384773579535, 'esa_landcover_categorical_forest_importance': 0.00476434437055538, 'srtm_elevation_500m_na_mean_importance': 0.012638339116114698, 'modis_lst_mod11c3_006_day_annual_mean_mean_importance': 0.0533851795869437, 'longitude_importance': 0.012665990161121755, 'worldpop_pop_count_1km_mosaic_mean_importance': 0.11162402874911388, 'latitude_importance': 0.07782945750468738, 'esa_landcover_categorical_urban_importance': 0.1761145544638511}",0.7949841263419021,sub_all
4850ee02d6bb467a91ab2103698b792d,GH_2014_DHS_small_all - sub-geo - RF,1.6.1,self,eqai,sub-geo,RF,GH_2014_DHS_small_all,small_all,all,small,"{'dist_to_water_na_mean_importance': 0.016039074362003254, 'ltdr_avhrr_ndvi_v5_yearly_mean_importance': 0.03354999263109195, 'viirs_max_importance': 0.08973426446009707, 'viirs_median_importance': 0.2067700787434002, 'udel_precip_v501_sum_sum_importance': 0.05185803447286208, 'accessibility_to_cities_2015_v1_0_mean_importance': 0.07722632160454623, 'esa_landcover_categorical_cropland_importance': 0.023187828259863794, 'esa_landcover_categorical_forest_importance': 0.006677073048611473, 'srtm_elevation_500m_na_mean_importance': 0.019362172288779567, 'modis_lst_mod11c3_006_day_annual_mean_mean_importance': 0.06253029462220722, 'longitude_importance': 0.0181800546627505, 'worldpop_pop_count_1km_mosaic_mean_importance': 0.12302423794118902, 'latitude_importance': 0.0885176195631212, 'esa_landcover_categorical_urban_importance': 0.18334295333947653}",0.795463237436894,sub-geo_all
255f5c1493064dc59c1b5c25c474279b,GH_2014_DHS_small_all - all-geo - RF,1.6.1,self,eqai,all-geo,RF,GH_2014_DHS_small_all,small_all,all,small,"{'esa_landcover_categorical_irrigated_cropland_importance': 0.004526896892954758, 'viirs_median_importance': 0.17027982068052294, 'udel_precip_v501_sum_sum_importance': 0.01849124490014239, 'esa_landcover_categorical_sparse_vegetation_importance': 0.0, 'modis_lst_mod11c3_006_day_annual_mean_mean_importance': 0.038040743803288396, 'longitude_importance': 0.01012980411014269, 'worldpop_pop_count_1km_mosaic_mean_importance': 0.09194338812163584, 'esa_landcover_categorical_water_bodies_importance': 0.002147112726782635, 'srtm_slope_500m_na_mean_importance': 0.00740970283034409, 'esa_landcover_categorical_no_data_importance': 0.0, 'esa_landcover_categorical_urban_importance': 0.11934938300180216, 'viirs_min_importance': 0.017785700665964195, 'accessibility_to_cities_2015_v1_0_mean_importance': 0.032913730500103384, 'esa_landcover_categorical_cropland_importance': 0.01302505591120259, 'udel_precip_v501_mean_mean_importance': 0.010834234476288625, 'esa_landcover_categorical_mosaic_cropland_importance': 0.008360131070869496, 'latitude_importance': 0.06088181773627725, 'udel_air_temp_v501_mean_mean_importance': 0.040343784336181895, 'ltdr_avhrr_ndvi_v5_yearly_mean_importance': 0.015881065146853716, 'viirs_sum_importance': 0.034041172056339525, 'esa_landcover_categorical_wetland_importance': 1.3598039413531826e-05, 'srtm_elevation_500m_na_mean_importance': 0.009096574838339276, 'viirs_mean_importance': 0.15777386116506897, 'esa_landcover_categorical_count_importance': 0.05480896129109463, 'esa_landcover_categorical_bare_areas_importance': 3.234641424618181e-05, 'esa_landcover_categorical_grassland_importance': 0.0016187199307854886, 'dist_to_water_na_mean_importance': 0.00691690680518722, 'esa_landcover_categorical_snow_ice_importance': 0.0, 'viirs_max_importance': 0.042224119561941026, 'esa_landcover_categorical_forest_importance': 0.003408652354002106, 'esa_landcover_categorical_shrubland_importance': 0.005274784474852712, 'esa_landcover_categorical_rainfed_cropland_importance': 0.008821884613388842, 'gpw_v4r11_density_2015_mean_importance': 0.013624801543983456}",0.7995838420641249,all-geo_all
afe16fbb7ce94069b2f1f6a7ff93c229,GH_2014_DHS_small_all - sub-osm-all-geo - RF,1.6.1,self,eqai,sub-osm-all-geo,RF,GH_2014_DHS_small_all,small_all,all,small,"{'all_buildings_totalarea_importance': 0.011285506374824967, 'all_roads_nearestdist_importance': 0.009479768747000598, 'all_buildings_count_importance': 0.010607783347447997, 'all_buildings_ratio_importance': 0.02779164454627162, 'all_buildings_avgarea_importance': 0.01839070737152756, 'all_roads_length_importance': 0.020669496361780698, 'dist_to_water_na_mean_importance': 0.010456255631555274, 'ltdr_avhrr_ndvi_v5_yearly_mean_importance': 0.025947603430970592, 'viirs_max_importance': 0.06884802126539041, 'viirs_median_importance': 0.21985502190626754, 'udel_precip_v501_sum_sum_importance': 0.047065733978775705, 'accessibility_to_cities_2015_v1_0_mean_importance': 0.06163617831221959, 'esa_landcover_categorical_cropland_importance': 0.018944384773579535, 'esa_landcover_categorical_forest_importance': 0.00476434437055538, 'srtm_elevation_500m_na_mean_importance': 0.012638339116114698, 'modis_lst_mod11c3_006_day_annual_mean_mean_importance': 0.0533851795869437, 'longitude_importance': 0.012665990161121755, 'worldpop_pop_count_1km_mosaic_mean_importance': 0.11162402874911388, 'latitude_importance': 0.07782945750468738, 'esa_landcover_categorical_urban_importance': 0.1761145544638511}",0.794984126341902,sub-osm-all-geo_all
7bfef8fd03574e5aaf46611b3b371e0d,GH_2014_DHS_small_all - sub-osm - RF,1.6.1,self,eqai,sub-osm,RF,GH_2014_DHS_small_all,small_all,all,small,"{'all_buildings_totalarea_importance': 0.1690778157515784, 'all_roads_nearestdist_importance': 0.08844504086694224, 'all_buildings_count_importance': 0.14077347045061997, 'all_buildings_ratio_importance': 0.2254248619780065, 'all_buildings_avgarea_importance': 0.1949624342374148, 'all_roads_length_importance': 0.18131637671543813}",0.575900476106057,sub-osm_all
cfe7e13442df4dbcadb613d5b81a50eb,GH_2014_DHS_small_all - sub-osm-ntl - RF,1.6.1,self,eqai,sub-osm-ntl,RF,GH_2014_DHS_small_all,small_all,all,small,"{'all_buildings_totalarea_importance': 0.03615287070736652, 'all_roads_nearestdist_importance': 0.02662434185933505, 'all_buildings_count_importance': 0.035812624712162865, 'all_buildings_ratio_importance': 0.06610845715052344, 'all_buildings_avgarea_importance': 0.04940656117096869, 'all_roads_length_importance': 0.04319877214059347, 'viirs_min_importance': 0.057979415173455964, 'viirs_mean_importance': 0.23777013283894505, 'viirs_max_importance': 0.11724311078867178, 'viirs_sum_importance': 0.11439267457132489, 'viirs_median_importance': 0.21531103888665215}",0.7007247404775374,sub-osm-ntl_all
0c76f04921c04fd18d76471ab3f1d1d0,GH_2014_DHS_small_all - loc - RF,1.6.1,self,eqai,loc,RF,GH_2014_DHS_small_all,small_all,all,small,"{'longitude_importance': 0.3706930435059001, 'latitude_importance': 0.6293069564940998}",0.5678700018698011,loc_all
1c73d57b60764e48ab44c270984286f0,GH_2014_DHS_small_all - all - RF,1.6.1,self,eqai,all,RF,GH_2014_DHS_small_all,small_all,all,small,"{'all_transport_count_importance': 0.0006664144593668937, 'nocars_roads_length_importance': 0.0018754099910462565, 'residential_buildings_totalarea_importance': 0.0022434239444647126, 'health_buildings_ratio_importance': 0.0010518996529748391, 'recreational_buildings_avgarea_importance': 5.371179818225473e-05, 'ground_transport_count_importance': 0.0007636348040551759, 'health_buildings_totalarea_importance': 0.0006940391380673573, 'entertainment_pois_count_importance': 0.0013673973206155532, 'nocars_roads_nearestdist_importance': 0.0034104403073359738, 'religious_buildings_totalarea_importance': 0.0008402057986846196, 'commercial_buildings_ratio_importance': 0.0007397236006194028, 'education_pois_count_importance': 0.0013969262950152019, 'air_transport_count_importance': 0.00023206815043683244, 'major_roads_count_importance': 0.0016676156821858266, 'water_traffic_count_importance': 0.00014053825925471197, 'services_pois_count_importance': 0.001171363333463149, 'links_roads_length_importance': 0.001463615594814152, 'recreational_buildings_count_importance': 8.609395770769427e-06, 'unknown_roads_nearestdist_importance': 0.0030866805118928507, 'health_pois_count_importance': 0.0008812745161722156, 'religious_buildings_avgarea_importance': 0.0008555817882173206, 'education_buildings_totalarea_importance': 0.0010516247636677743, 'commercial_buildings_totalarea_importance': 0.000671819959581755, 'health_buildings_avgarea_importance': 0.0008836249341666743, 'landmark_pois_count_importance': 0.0006251420427447188, 'commercial_buildings_count_importance': 0.0006412676009986179, 'all_roads_count_importance': 0.004686233868638277, 'all_buildings_totalarea_importance': 0.002847368488945436, 'small_roads_nearestdist_importance': 0.002489240122474738, 'religious_buildings_ratio_importance': 0.0011148167425871686, 'residential_buildings_ratio_importance': 0.0023808355109146456, 'industrial_buildings_ratio_importance': 0.00026618673741873416, 'buffer_area_importance': 0.013893768059253438, 'unknown_roads_length_importance': 5.4829463789739565e-06, 'government_buildings_ratio_importance': 0.00010401635593093651, 'all_buildings_count_importance': 0.0031156221452827942, 'retail_pois_count_importance': 0.0009355118079142454, 'driving_traffic_count_importance': 0.0013073602906527395, 'service_traffic_count_importance': 0.0015292796718611875, 'major_roads_nearestdist_importance': 0.0022715917977596378, 'major_roads_length_importance': 0.0024126248793608133, 'links_roads_count_importance': 0.0008577224384539396, 'recreational_buildings_totalarea_importance': 5.8863989686570566e-05, 'all_pois_count_importance': 0.0014085356188488416, 'minor_roads_count_importance': 0.00806487065270674, 'all_roads_nearestdist_importance': 0.002168700749844302, 'residential_buildings_avgarea_importance': 0.0019329140839530775, 'government_buildings_count_importance': 0.00011299035860072351, 'health_buildings_count_importance': 0.0007625490845297457, 'all_buildings_avgarea_importance': 0.0064537724737466625, 'religious_buildings_count_importance': 0.0006861059661514617, 'minor_roads_nearestdist_importance': 0.0022907098157534875, 'food_pois_count_importance': 0.00110305294311503, 'education_buildings_ratio_importance': 0.00108912435766559, 'unknown_roads_count_importance': 6.007489795914826e-06, 'industrial_buildings_count_importance': 0.00023118061307406313, 'other_pois_count_importance': 4.378523261133928e-06, 'industrial_buildings_avgarea_importance': 0.0003141262596290836, 'small_roads_length_importance': 0.00226200291425772, 'government_buildings_totalarea_importance': 8.451865533792337e-05, 'lodging_pois_count_importance': 0.0012758444983555623, 'nocars_roads_count_importance': 0.0028523775978574113, 'all_traffic_count_importance': 0.0018702706578276039, 'commercial_buildings_avgarea_importance': 0.0004588320710999666, 'residential_buildings_count_importance': 0.0015090902096523131, 'small_roads_count_importance': 0.0016356743386810606, 'links_roads_nearestdist_importance': 0.004013217566425758, 'all_roads_length_importance': 0.002864883901909207, 'education_buildings_avgarea_importance': 0.0007503545363072345, 'education_buildings_count_importance': 0.0008427923329657477, 'minor_roads_length_importance': 0.010229440746178589, 'all_buildings_ratio_importance': 0.006635261909206187, 'industrial_buildings_totalarea_importance': 0.0002425458066873173, 'government_buildings_avgarea_importance': 3.439080671837505e-05, 'recreational_buildings_ratio_importance': 2.9034336991068734e-05, 'water_transport_count_importance': 1.972611183642952e-05, 'esa_landcover_categorical_irrigated_cropland_importance': 0.002759014529640099, 'viirs_median_importance': 0.20681855507798283, 'udel_precip_v501_sum_sum_importance': 0.007930129033727402, 'esa_landcover_categorical_sparse_vegetation_importance': 0.0, 'modis_lst_mod11c3_006_day_annual_mean_mean_importance': 0.03130930793719761, 'longitude_importance': 0.004612830265106363, 'worldpop_pop_count_1km_mosaic_mean_importance': 0.05644943032042015, 'esa_landcover_categorical_water_bodies_importance': 0.0010439044873129636, 'srtm_slope_500m_na_mean_importance': 0.003727464464825503, 'esa_landcover_categorical_no_data_importance': 0.0, 'esa_landcover_categorical_urban_importance': 0.11163991090514065, 'viirs_min_importance': 0.01472843870528247, 'accessibility_to_cities_2015_v1_0_mean_importance': 0.0232937156420218, 'esa_landcover_categorical_cropland_importance': 0.00946071896169822, 'udel_precip_v501_mean_mean_importance': 0.007684440861713515, 'esa_landcover_categorical_mosaic_cropland_importance': 0.0051917345741703145, 'latitude_importance': 0.05576877331389484, 'udel_air_temp_v501_mean_mean_importance': 0.03462125338939018, 'ltdr_avhrr_ndvi_v5_yearly_mean_importance': 0.012836119796840087, 'viirs_sum_importance': 0.026123558076771473, 'esa_landcover_categorical_wetland_importance': 1.2688904517018376e-05, 'srtm_elevation_500m_na_mean_importance': 0.0047013584948127456, 'viirs_mean_importance': 0.14584895988796828, 'esa_landcover_categorical_count_importance': 0.047020547713110435, 'esa_landcover_categorical_bare_areas_importance': 2.3080082949820823e-05, 'esa_landcover_categorical_grassland_importance': 0.000920898792010052, 'dist_to_water_na_mean_importance': 0.0030773366397270534, 'esa_landcover_categorical_snow_ice_importance': 0.0, 'viirs_max_importance': 0.03197684679786327, 'esa_landcover_categorical_forest_importance': 0.0018434115543895133, 'esa_landcover_categorical_shrubland_importance': 0.003338228832980333, 'esa_landcover_categorical_rainfed_cropland_importance': 0.005950699027157407, 'gpw_v4r11_density_2015_mean_importance': 0.006286785443096321}",0.7931527555903828,all_all
8a4feb14da5a47afb03ae800f94b6df9,GH_2014_DHS_small_all - all-osm - RF,1.6.1,self,eqai,all-osm,RF,GH_2014_DHS_small_all,small_all,all,small,"{'all_transport_count_importance': 0.007224814936412681, 'nocars_roads_length_importance': 0.011938093937916219, 'residential_buildings_totalarea_importance': 0.005166575958344674, 'health_buildings_ratio_importance': 0.0021390494540667144, 'recreational_buildings_avgarea_importance': 6.930376112058889e-05, 'ground_transport_count_importance': 0.004472490567493749, 'health_buildings_totalarea_importance': 0.0020613563602803293, 'entertainment_pois_count_importance': 0.015376891829022703, 'nocars_roads_nearestdist_importance': 0.009361844466598308, 'religious_buildings_totalarea_importance': 0.0046030396413851826, 'commercial_buildings_ratio_importance': 0.002239342833828403, 'education_pois_count_importance': 0.00665210772431078, 'air_transport_count_importance': 0.0004913634527845682, 'major_roads_count_importance': 0.02157260745044704, 'water_traffic_count_importance': 0.00015795393649108003, 'services_pois_count_importance': 0.0052412591059958265, 'links_roads_length_importance': 0.0021596567139782748, 'recreational_buildings_count_importance': 2.2204270957539052e-05, 'unknown_roads_nearestdist_importance': 0.009597858233289666, 'health_pois_count_importance': 0.0017315137376984224, 'religious_buildings_avgarea_importance': 0.0032949844404981357, 'education_buildings_totalarea_importance': 0.0021672169412882986, 'commercial_buildings_totalarea_importance': 0.0022936437970888703, 'health_buildings_avgarea_importance': 0.001713326962953808, 'landmark_pois_count_importance': 0.0009326546318938688, 'commercial_buildings_count_importance': 0.002624946441177885, 'all_roads_count_importance': 0.05397565118397503, 'all_buildings_totalarea_importance': 0.011486471761703877, 'small_roads_nearestdist_importance': 0.007774964583447319, 'religious_buildings_ratio_importance': 0.01247510454731493, 'residential_buildings_ratio_importance': 0.011993186303646278, 'industrial_buildings_ratio_importance': 0.0007415013433464179, 'buffer_area_importance': 0.19574603528072118, 'unknown_roads_length_importance': 1.5949105992540116e-05, 'government_buildings_ratio_importance': 4.378641879062021e-05, 'all_buildings_count_importance': 0.019740799206064957, 'retail_pois_count_importance': 0.0022421760105664126, 'driving_traffic_count_importance': 0.0037097109193086637, 'service_traffic_count_importance': 0.006056831764872343, 'major_roads_nearestdist_importance': 0.009543157971702215, 'major_roads_length_importance': 0.01971469180281935, 'links_roads_count_importance': 0.0013728937902031993, 'recreational_buildings_totalarea_importance': 0.00011687838595042224, 'all_pois_count_importance': 0.025240588261626267, 'minor_roads_count_importance': 0.14020308829917005, 'all_roads_nearestdist_importance': 0.008497363895724757, 'residential_buildings_avgarea_importance': 0.005472723507476034, 'government_buildings_count_importance': 7.623750854874962e-05, 'health_buildings_count_importance': 0.0015770798658239144, 'all_buildings_avgarea_importance': 0.04607033044306344, 'religious_buildings_count_importance': 0.0011847262735658018, 'minor_roads_nearestdist_importance': 0.009907306913685967, 'food_pois_count_importance': 0.0038407820624259807, 'education_buildings_ratio_importance': 0.005367629575186527, 'unknown_roads_count_importance': 1.064167924663069e-05, 'industrial_buildings_count_importance': 0.0008315925707861671, 'other_pois_count_importance': 2.417900803852057e-05, 'industrial_buildings_avgarea_importance': 0.0009175164206751326, 'small_roads_length_importance': 0.00976781506783279, 'government_buildings_totalarea_importance': 6.802580938579686e-05, 'lodging_pois_count_importance': 0.003043639872238833, 'nocars_roads_count_importance': 0.009744417599399402, 'all_traffic_count_importance': 0.010293999172445775, 'commercial_buildings_avgarea_importance': 0.0017376112770283196, 'residential_buildings_count_importance': 0.005251389898910302, 'small_roads_count_importance': 0.01095412433342272, 'links_roads_nearestdist_importance': 0.012981673305435771, 'all_roads_length_importance': 0.02655720326425865, 'education_buildings_avgarea_importance': 0.0016441059431658894, 'education_buildings_count_importance': 0.0023688038259432045, 'minor_roads_length_importance': 0.08060401488311512, 'all_buildings_ratio_importance': 0.09302264577093988, 'industrial_buildings_totalarea_importance': 0.000535842933415345, 'government_buildings_avgarea_importance': 4.7026718064979195e-05, 'recreational_buildings_ratio_importance': 7.862820059464439e-05, 'water_transport_count_importance': 2.135387160924112e-05}",0.6590543484973128,all-osm_all
60988bc549c54305a42a9e0c967a1bcc,GH_2014_DHS_small_all - ntl - RF,1.6.1,self,eqai,ntl,RF,GH_2014_DHS_small_all,small_all,all,small,"{'viirs_min_importance': 0.11944892921463113, 'viirs_mean_importance': 0.24987727719002906, 'viirs_max_importance': 0.20159954516227974, 'viirs_sum_importance': 0.2045297484968538, 'viirs_median_importance': 0.2245444999362062}",0.6486757974888472,ntl_all
